#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,MonthSeason,MonthYear
1,Justin Verlander,HOU,10.29,1.29,8.00,0.00,30.5%,3.8%,26.7%,.178,0.79,.261,72.7%,50,31,69,1.93,1.26,0.67,2.74,2.70,5,8
2,George Kirby,SEA,10.43,0.92,11.33,0.00,28.3%,2.5%,25.8%,.261,1.13,.370,80.0%,58,33,75,2.15,1.31,0.84,2.97,2.80,5,8
3,Jacob deGrom,NYM,13.62,0.74,18.33,0.74,43.0%,2.3%,40.6%,.136,0.55,.209,75.9%,52,37,40,1.98,1.41,0.58,1.56,1.48,5,8
4,Zac Gallen,ARI,9.90,2.25,4.40,0.00,31.0%,7.0%,23.9%,.153,0.75,.230,90.3%,16,45,67,0.68,1.74,-1.06,2.66,2.81,5,8
5,Shane Bieber,CLE,9.45,1.08,8.75,0.27,27.3%,3.1%,24.2%,.210,0.90,.284,76.9%,42,44,59,1.62,1.76,-0.14,2.35,2.56,5,8
6,Jeffrey Springs,TBR,10.73,2.28,4.71,0.33,29.5%,6.3%,23.2%,.219,1.08,.310,66.4%,79,51,64,2.93,1.96,0.97,2.56,2.88,5,8
7,Aaron Nola,PHI,10.69,1.13,9.50,0.56,28.4%,3.0%,25.4%,.250,1.13,.341,65.3%,103,53,63,4.22,2.11,2.11,2.50,2.78,5,8
8,Jordan Montgomery,STL,8.22,1.17,7.00,0.29,24.6%,3.5%,21.1%,.193,0.82,.250,81.3%,45,57,72,1.76,2.20,-0.44,2.84,2.97,5,8
9,Blake Snell,SDP,12.94,1.97,6.57,0.84,34.1%,5.2%,28.9%,.244,1.19,.359,80.5%,73,56,62,2.81,2.21,0.61,2.47,2.53,5,8
10,Kevin Gausman,TOR,10.31,0.98,10.50,0.74,29.2%,2.8%,26.4%,.245,1.04,.330,80.5%,70,56,71,2.70,2.29,0.41,2.81,2.79,5,8
11,Drew Rasmussen,TBR,8.65,1.05,8.25,0.52,26.4%,3.2%,23.2%,.157,0.67,.198,84.2%,43,60,76,1.57,2.30,-0.72,3.01,3.03,5,8
12,Max Scherzer,NYM,9.74,1.55,6.29,0.44,26.8%,4.3%,22.6%,.216,0.98,.290,75.2%,70,62,98,2.66,2.40,0.26,3.91,3.37,5,8
13,Jesus Luzardo,MIA,7.93,2.23,3.56,0.25,22.5%,6.3%,16.2%,.188,0.94,.240,61.3%,76,63,88,2.97,2.45,0.52,3.52,3.75,5,8
14,Julio Urias,LAD,10.20,2.10,4.86,0.60,29.3%,6.0%,23.3%,.176,0.87,.236,99.2%,23,63,80,0.90,2.51,-1.61,3.18,3.07,5,8
15,Dean Kremer,BAL,5.91,1.13,5.25,0.28,17.9%,3.4%,14.5%,.230,0.94,.275,76.9%,58,66,88,2.25,2.58,-0.33,3.47,3.81,5,8
16,Chris Bassitt,NYM,5.94,1.35,4.40,0.00,15.9%,3.6%,12.3%,.256,1.14,.308,83.3%,43,68,95,1.62,2.60,-0.98,3.80,3.80,5,8
17,Drew Smyly,CHC,7.50,1.80,4.17,0.30,21.4%,5.1%,16.2%,.202,0.93,.253,94.4%,22,69,109,0.90,2.68,-1.78,4.37,4.21,5,8
18,Adam Wainwright,STL,7.03,2.04,3.44,0.23,19.3%,5.6%,13.7%,.220,1.06,.271,77.5%,64,70,103,2.50,2.71,-0.21,4.10,4.11,5,8
19,Robbie Ray,SEA,11.18,3.00,3.73,0.82,33.1%,8.9%,24.2%,.168,0.91,.232,93.0%,44,73,72,1.64,2.81,-1.17,2.84,2.99,5,8
20,Sandy Alcantara,MIA,7.18,1.73,4.14,0.50,20.0%,4.8%,15.2%,.246,1.13,.299,78.5%,69,72,89,2.72,2.81,-0.09,3.56,3.78,5,8
21,Luis Castillo,SEA,11.08,2.27,4.88,0.85,31.0%,6.3%,24.6%,.224,1.07,.311,81.8%,77,73,67,2.84,2.83,0.01,2.67,2.87,5,8
22,Kyle Gibson,PHI,8.62,2.01,4.29,0.57,23.4%,5.5%,18.0%,.235,1.12,.299,76.0%,56,71,83,2.30,2.89,-0.59,3.29,3.46,5,8
23,Carlos Rodon,SFG,10.48,1.91,5.50,0.95,28.9%,5.3%,23.7%,.206,0.99,.268,76.6%,80,77,87,3.18,2.90,0.28,3.46,3.20,5,8
24,Alex Cobb,SFG,9.31,3.10,3.00,0.62,24.8%,8.3%,16.5%,.261,1.34,.342,80.1%,78,78,74,3.10,2.98,0.13,2.95,3.37,5,8
25,Logan Webb,SFG,7.46,3.34,2.23,0.26,19.2%,8.6%,10.6%,.250,1.34,.311,60.9%,72,82,87,2.83,3.11,-0.28,3.46,3.69,5,8
26,Patrick Sandoval,LAA,8.35,3.06,2.73,0.56,24.2%,8.9%,15.3%,.180,0.96,.228,79.5%,35,80,90,1.39,3.27,-1.88,3.56,3.75,5,8
27,Triston McKenzie,CLE,10.01,2.09,4.78,1.16,29.7%,6.2%,23.4%,.199,0.93,.250,75.9%,78,83,83,3.03,3.27,-0.24,3.27,3.15,5,8
28,Noah Syndergaard,PHI,5.28,1.47,3.60,0.59,14.1%,3.9%,10.2%,.301,1.37,.340,68.9%,108,81,104,4.40,3.28,1.13,4.17,4.64,5,8
29,Edward Cabrera,MIA,10.48,4.13,2.54,0.64,30.0%,11.8%,18.2%,.137,0.92,.183,87.3%,48,84,90,1.91,3.29,-1.38,3.57,3.66,5,8
30,Gerrit Cole,NYY,9.61,1.83,5.25,1.14,27.5%,5.2%,22.2%,.208,0.97,.258,75.0%,83,83,83,3.20,3.32,-0.11,3.28,3.17,5,8
