#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,MonthSeason,MonthYear
31,Domingo German,NYY,5.71,1.56,3.67,0.52,16.3%,4.4%,11.9%,.214,0.95,.245,81.3%,54,84,108,2.08,3.37,-1.30,4.25,4.37,5,8
32,Jose Quintana,STL,6.14,3.68,1.67,0.31,15.9%,9.5%,6.3%,.289,1.53,.344,68.8%,87,88,102,3.38,3.42,-0.04,4.09,4.62,5,8
33,Merrill Kelly,ARI,8.63,2.78,3.10,0.84,24.0%,7.8%,16.3%,.229,1.14,.286,76.9%,81,88,88,3.34,3.42,-0.08,3.50,3.73,5,8
34,Cal Quantrill,CLE,6.39,1.89,3.38,0.71,19.0%,5.6%,13.4%,.158,0.76,.175,81.4%,55,87,103,2.13,3.43,-1.30,4.08,4.18,5,8
35,Lance Lynn,CHW,10.31,0.74,14.00,1.47,29.6%,2.1%,27.5%,.206,0.85,.250,89.8%,63,84,70,2.45,3.44,-0.99,2.77,2.63,5,8
36,Framber Valdez,HOU,8.41,2.80,3.00,0.76,23.6%,7.9%,15.7%,.213,1.08,.264,89.4%,53,88,82,2.04,3.45,-1.41,3.23,3.24,5,8
37,Johnny Cueto,CHW,4.29,1.26,3.40,0.50,11.7%,3.4%,8.3%,.268,1.18,.294,70.4%,84,85,116,3.28,3.48,-0.20,4.58,4.84,5,8
38,Alek Manoah,TOR,10.01,3.94,2.54,0.61,26.0%,10.2%,15.7%,.200,1.18,.267,74.6%,86,86,100,3.34,3.48,-0.15,3.96,3.91,5,8
39,Tyler Anderson,LAD,5.54,2.65,2.09,0.48,15.2%,7.3%,7.9%,.223,1.13,.254,74.6%,73,88,119,2.89,3.54,-0.65,4.75,4.84,5,8
40,Charlie Morton,ATL,12.46,2.37,5.25,1.48,34.4%,6.6%,27.9%,.198,0.99,.266,84.6%,79,91,69,3.26,3.57,-0.31,2.75,2.61,5,8
41,Luis Garcia,HOU,7.76,2.79,2.78,0.93,20.0%,7.2%,12.8%,.302,1.52,.364,67.8%,137,93,111,5.28,3.66,1.61,4.36,4.39,5,8
42,Brady Singer,KCR,8.03,2.19,3.67,0.97,21.7%,5.9%,15.8%,.250,1.19,.301,84.5%,73,95,89,2.92,3.71,-0.79,3.50,3.69,5,8
43,Cristian Javier,HOU,10.13,2.53,4.00,1.41,28.8%,7.2%,21.6%,.172,0.91,.200,90.9%,66,95,97,2.53,3.74,-1.21,3.84,3.52,5,8
44,Lucas Giolito,CHW,9.66,3.41,2.83,1.14,24.5%,8.6%,15.8%,.291,1.55,.371,66.8%,146,92,85,5.68,3.74,1.94,3.37,3.73,5,8
45,Joe Musgrove,SDP,9.26,1.06,8.75,1.32,24.0%,2.7%,21.2%,.270,1.21,.330,69.2%,109,95,90,4.24,3.76,0.48,3.59,3.26,5,8
46,Jordan Lyles,BAL,6.88,2.12,3.25,1.06,17.7%,5.4%,12.2%,.302,1.47,.349,83.3%,82,98,117,3.18,3.82,-0.64,4.60,4.40,5,8
47,Joe Ryan,MIN,11.30,2.76,4.10,1.38,29.1%,7.1%,22.0%,.236,1.22,.309,75.7%,108,100,97,4.13,3.88,0.25,3.84,3.46,5,8
48,Matt Manning,DET,7.79,2.78,2.80,1.11,20.1%,7.2%,12.9%,.264,1.36,.309,75.5%,109,101,111,4.18,3.92,0.26,4.37,4.34,5,8
49,Kyle Wright,ATL,8.44,1.97,4.29,1.41,24.0%,5.6%,18.4%,.220,1.03,.253,92.3%,61,100,74,2.53,3.93,-1.39,2.96,3.14,5,8
