#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,MonthSeason,MonthYear
31,Blake Snell,SDP,14.03,5.26,2.67,1.05,36.4%,13.6%,22.7%,.200,1.32,.308,87.2%,72,82,80,2.81,3.27,-0.46,3.19,3.32,4,7
32,Logan Gilbert,SEA,8.26,1.91,4.33,0.95,21.7%,5.0%,16.7%,.254,1.24,.306,77.9%,86,85,89,3.18,3.29,-0.11,3.53,3.80,4,7
33,Nestor Cortes,NYY,8.46,1.63,5.20,0.98,22.8%,4.4%,18.4%,.241,1.12,.291,86.3%,68,82,101,2.60,3.29,-0.69,3.97,3.82,4,7
34,Julio Urias,LAD,8.68,1.29,6.75,0.96,24.8%,3.7%,21.1%,.186,0.82,.222,78.0%,73,83,94,2.89,3.33,-0.43,3.73,3.32,4,7
35,Chris Bassitt,NYM,7.82,2.13,3.67,0.71,21.4%,5.8%,15.5%,.221,1.07,.268,76.3%,85,86,89,3.20,3.35,-0.15,3.55,3.66,4,7
36,Jose Urquidy,HOU,6.82,2.18,3.13,0.82,20.0%,6.4%,13.6%,.171,0.85,.191,75.6%,71,89,114,2.73,3.51,-0.78,4.48,4.39,4,7
37,Zac Gallen,ARI,8.49,2.43,3.50,0.91,24.6%,7.0%,17.5%,.183,0.91,.219,72.6%,74,91,89,3.03,3.55,-0.52,3.53,3.60,4,7
38,Jon Gray,TEX,10.98,2.37,4.63,1.48,29.6%,6.4%,23.2%,.214,1.09,.267,76.9%,76,90,73,2.97,3.61,-0.64,2.88,3.05,4,7
39,Lucas Giolito,CHW,8.67,3.00,2.89,1.00,22.6%,7.8%,14.8%,.264,1.37,.325,64.0%,128,89,99,5.00,3.63,1.37,3.89,4.00,4,7
40,Zack Wheeler,PHI,7.71,1.65,4.67,1.10,22.8%,4.9%,17.9%,.190,0.86,.214,85.5%,61,89,89,2.48,3.63,-1.15,3.54,3.66,4,7
41,Logan Webb,SFG,6.34,2.58,2.45,0.70,17.4%,7.1%,10.3%,.231,1.15,.265,78.4%,65,96,93,2.58,3.66,-1.08,3.73,3.97,4,7
42,Andre Pallante,STL,8.89,1.71,5.20,1.37,22.6%,4.3%,18.3%,.336,1.59,.413,71.4%,141,95,67,5.47,3.68,1.79,2.66,2.99,4,7
43,Brad Keller,KCR,6.91,4.40,1.57,0.31,18.0%,11.5%,6.6%,.217,1.29,.265,69.1%,94,95,111,3.77,3.71,0.06,4.39,4.62,4,7
44,Mitch Keller,PIT,8.13,1.74,4.67,1.16,22.6%,4.8%,17.7%,.259,1.16,.310,86.4%,65,94,81,2.61,3.76,-1.15,3.23,3.48,4,7
45,Adrian Sampson,CHC,6.06,2.20,2.75,0.83,15.7%,5.7%,10.0%,.267,1.32,.302,67.8%,110,96,112,4.41,3.79,0.62,4.50,4.58,4,7
46,Jake Odorizzi,HOU,7.94,1.59,5.00,1.27,21.4%,4.3%,17.1%,.243,1.13,.280,69.3%,115,97,109,4.45,3.82,0.63,4.28,4.10,4,7
47,Charlie Morton,ATL,10.50,3.60,2.92,1.20,29.7%,10.2%,19.5%,.183,1.03,.231,76.6%,80,100,91,3.30,3.91,-0.61,3.61,3.51,4,7
48,Pablo Lopez,MIA,9.00,3.19,2.82,0.87,24.0%,8.5%,15.5%,.239,1.23,.304,69.6%,118,100,95,4.65,3.92,0.73,3.81,3.75,4,7
49,German Marquez,COL,7.11,2.27,3.13,1.14,19.4%,6.2%,13.2%,.231,1.14,.261,72.4%,80,93,86,3.69,3.93,-0.24,3.41,3.87,4,7
50,Taijuan Walker,NYM,8.22,2.05,4.00,1.17,22.8%,5.7%,17.1%,.221,1.04,.259,85.0%,78,102,94,2.93,3.96,-1.03,3.76,3.68,4,7
51,James Kaprielian,OAK,5.46,3.21,1.70,0.64,15.5%,9.1%,6.4%,.182,1.00,.200,87.8%,52,105,131,1.93,4.01,-2.08,5.14,5.13,4,7
52,Aaron Ashby,MIL,10.87,3.51,3.10,1.40,27.0%,8.7%,18.3%,.260,1.44,.333,67.9%,95,100,86,3.86,4.01,-0.15,3.43,3.59,4,7
53,Tony Gonsolin,LAD,7.92,1.47,5.40,1.47,22.3%,4.1%,18.2%,.226,1.01,.253,68.0%,111,101,93,4.40,4.06,0.34,3.73,3.62,4,7
54,Kyle Freeland,COL,7.45,2.17,3.43,1.24,20.0%,5.8%,14.2%,.259,1.24,.298,60.5%,120,97,91,5.59,4.08,1.51,3.61,3.92,4,7
55,Johnny Cueto,CHW,3.97,2.38,1.67,0.79,11.1%,6.7%,4.4%,.248,1.18,.262,87.0%,54,104,125,2.12,4.26,-2.14,4.90,5.08,4,7
