#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,MonthSeason,MonthYear
1,Dylan Cease,CHW,14.82,4.61,3.21,0.33,39.8%,12.4%,27.4%,.192,1.21,.340,72.8%,8,44,53,0.33,1.83,-1.50,2.12,2.80,3,2022-06-01
2,Max Fried,ATL,9.45,1.35,7.00,0.27,27.6%,3.9%,23.6%,.221,0.96,.302,78.4%,52,48,65,2.16,1.85,0.31,2.57,2.81,3,2022-06-01
3,Carlos Rodon,SFG,10.25,2.00,5.13,0.25,29.5%,5.8%,23.7%,.183,0.89,.258,85.0%,32,50,74,1.25,1.86,-0.61,2.94,3.02,3,2022-06-01
4,Aaron Nola,PHI,9.00,0.84,10.75,0.63,26.2%,2.4%,23.8%,.214,0.88,.274,77.6%,61,59,77,2.51,2.37,0.14,3.08,3.06,3,2022-06-01
5,Logan Webb,SFG,9.20,2.37,3.88,0.30,25.8%,6.7%,19.2%,.216,1.05,.291,75.9%,53,63,74,2.08,2.39,-0.31,2.94,3.24,3,2022-06-01
6,Taijuan Walker,NYM,7.88,2.15,3.67,0.24,22.1%,6.0%,16.1%,.229,1.09,.292,75.8%,70,63,82,2.63,2.42,0.21,3.26,3.60,3,2022-06-01
7,Shane McClanahan,TBR,11.45,1.09,10.50,1.09,34.4%,3.3%,31.1%,.161,0.70,.208,80.5%,37,66,58,1.36,2.51,-1.14,2.32,2.28,3,2022-06-01
8,Shane Bieber,CLE,10.13,1.93,5.25,0.72,28.6%,5.4%,23.1%,.237,1.10,.319,73.4%,81,64,71,3.13,2.55,0.58,2.81,3.06,3,2022-06-01
9,Shohei Ohtani,LAA,11.53,2.12,5.43,0.91,32.8%,6.0%,26.7%,.202,0.98,.279,96.8%,38,63,63,1.52,2.57,-1.06,2.51,2.68,3,2022-06-01
10,Jon Gray,TEX,10.51,2.87,3.67,0.48,29.7%,8.1%,21.6%,.194,1.01,.273,80.6%,61,64,78,2.39,2.58,-0.19,3.07,3.23,3,2022-06-01
11,Ross Stripling,TOR,6.04,1.27,4.75,0.32,18.1%,3.8%,14.3%,.198,0.85,.235,84.1%,41,65,91,1.59,2.65,-1.07,3.61,3.92,3,2022-06-01
12,Sandy Alcantara,MIA,6.42,1.51,4.25,0.38,18.8%,4.4%,14.4%,.197,0.88,.234,76.5%,48,70,82,1.89,2.74,-0.85,3.25,3.38,3,2022-06-01
13,Zack Wheeler,PHI,10.92,1.82,6.00,0.91,30.3%,5.0%,25.2%,.216,1.01,.292,79.1%,59,70,64,2.43,2.81,-0.38,2.54,2.69,3,2022-06-01
