#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,MonthSeason,MonthYear
1,Kevin Gausman,TOR,11.31,0.00,31.00,0.00,32.6%,0.0%,32.6%,.263,1.01,.391,72.0%,57,14,46,2.19,0.60,1.59,1.86,2.17,1,4
2,Carlos Rodon,SFG,14.87,3.13,4.75,0.00,43.2%,9.1%,34.1%,.139,0.83,.268,85.0%,30,27,61,1.17,0.98,0.19,2.40,2.14,1,4
3,Kyle Wright,ATL,12.75,2.25,5.67,0.00,37.0%,6.5%,30.4%,.169,0.83,.286,87.0%,27,37,57,1.13,1.40,-0.28,2.27,2.29,1,4
4,Tarik Skubal,DET,8.71,1.31,6.67,0.00,22.7%,3.4%,19.3%,.271,1.26,.354,53.8%,102,41,75,3.92,1.61,2.31,2.97,3.27,1,4
5,Pablo Lopez,MIA,8.87,1.54,5.75,0.00,27.1%,4.7%,22.4%,.160,0.73,.224,94.1%,10,43,69,0.39,1.66,-1.27,2.73,3.04,1,4
6,Clayton Kershaw,LAD,11.74,0.78,15.00,0.78,35.3%,2.4%,32.9%,.171,0.70,.240,77.5%,59,51,55,2.35,2.03,0.32,2.18,2.09,1,4
7,Max Scherzer,NYM,11.88,2.88,4.13,0.36,35.1%,8.5%,26.6%,.129,0.76,.196,80.6%,48,54,76,1.80,2.07,-0.27,3.03,2.80,1,4
8,Merrill Kelly,ARI,8.26,2.22,3.71,0.00,22.8%,6.1%,16.7%,.208,1.02,.275,86.7%,31,55,89,1.27,2.12,-0.85,3.54,3.68,1,4
9,Max Fried,ATL,7.88,0.38,21.00,0.38,22.3%,1.1%,21.3%,.231,0.92,.290,66.4%,73,59,72,3.00,2.28,0.72,2.85,2.90,1,4
10,Jesus Luzardo,MIA,12.39,3.98,3.11,0.44,34.1%,11.0%,23.2%,.178,1.08,.273,68.0%,79,60,72,3.10,2.33,0.77,2.85,3.15,1,4
11,Joe Musgrove,SDP,9.00,0.72,12.50,0.72,26.3%,2.1%,24.2%,.215,0.88,.273,67.7%,56,61,64,2.16,2.39,-0.23,2.54,2.88,1,4
12,Logan Gilbert,SEA,8.87,1.61,5.50,0.40,25.9%,4.7%,21.2%,.188,0.85,.246,96.8%,11,62,83,0.40,2.40,-1.99,3.27,3.29,1,4
13,Tyler Mahle,CIN,9.67,4.43,2.18,0.00,23.5%,10.8%,12.7%,.286,1.66,.388,54.1%,149,59,106,6.45,2.44,4.01,4.23,4.29,1,4
14,Eric Lauer,MIL,13.11,1.93,6.80,1.16,36.6%,5.4%,31.2%,.205,0.99,.294,90.4%,48,63,61,1.93,2.51,-0.58,2.43,2.37,1,4
15,Dylan Cease,CHW,11.45,4.09,2.80,0.41,30.4%,10.9%,19.6%,.195,1.18,.283,73.2%,84,61,79,3.27,2.52,0.75,3.14,3.44,1,4
16,Martin Perez,TEX,6.86,2.14,3.20,0.00,19.3%,6.0%,13.3%,.211,1.00,.267,65.2%,77,64,96,3.00,2.59,0.41,3.79,3.82,1,4
17,Tylor Megill,NYM,8.68,1.93,4.50,0.64,25.2%,5.6%,19.6%,.178,0.86,.222,84.9%,51,71,78,1.93,2.76,-0.83,3.10,3.38,1,4
18,Logan Webb,SFG,5.93,1.78,3.33,0.30,15.9%,4.8%,11.1%,.275,1.29,.323,74.5%,83,74,86,3.26,2.82,0.45,3.41,3.59,1,4
19,Shane McClanahan,TBR,14.00,2.33,6.00,1.33,39.3%,6.5%,32.7%,.202,1.00,.302,80.4%,81,74,43,3.00,2.82,0.18,1.71,2.05,1,4
20,Miles Mikolas,STL,7.58,1.21,6.25,0.61,21.6%,3.4%,18.1%,.191,0.84,.229,90.9%,39,75,92,1.52,2.91,-1.39,3.68,3.60,1,4
21,Dylan Bundy,MIN,8.02,1.27,6.33,0.84,22.6%,3.6%,19.0%,.210,0.94,.250,75.6%,77,76,83,2.95,2.97,-0.02,3.28,3.41,1,4
22,Joe Ryan,MIN,9.78,2.35,4.17,0.78,30.1%,7.2%,22.9%,.132,0.70,.163,98.6%,31,76,91,1.17,2.98,-1.81,3.59,3.21,1,4
23,Corbin Burnes,MIL,11.57,2.10,5.50,1.05,34.7%,6.3%,28.4%,.149,0.74,.196,95.2%,43,75,64,1.75,3.00,-1.24,2.52,2.52,1,4
24,Carlos Carrasco,NYM,9.41,1.64,5.75,0.82,25.6%,4.4%,21.1%,.214,1.00,.271,61.3%,119,78,87,4.50,3.02,1.48,3.46,3.30,1,4
25,Justin Verlander,HOU,9.69,1.38,7.00,1.04,29.8%,4.3%,25.5%,.157,0.69,.190,94.6%,45,77,79,1.73,3.04,-1.31,3.13,2.89,1,4
26,Shane Bieber,CLE,8.90,1.84,4.83,0.92,25.4%,5.3%,20.2%,.204,0.95,.250,79.8%,63,78,84,2.45,3.08,-0.62,3.31,3.41,1,4
27,Alek Manoah,TOR,9.00,2.52,3.57,0.72,25.8%,7.2%,18.6%,.169,0.88,.210,94.1%,37,77,101,1.44,3.11,-1.67,3.97,3.69,1,4
28,Chris Bassitt,NYM,9.75,2.63,3.71,0.75,28.0%,7.5%,20.4%,.179,0.92,.232,84.9%,59,81,88,2.25,3.15,-0.90,3.49,3.35,1,4
29,Walker Buehler,LAD,7.66,2.19,3.50,0.73,21.2%,6.1%,15.2%,.217,1.05,.261,82.6%,65,83,100,2.55,3.32,-0.76,4.00,3.97,1,4
30,Sandy Alcantara,MIA,7.11,3.55,2.00,0.36,20.2%,10.1%,10.1%,.227,1.18,.284,84.5%,45,86,105,1.78,3.35,-1.57,4.18,4.44,1,4
