#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,MonthSeason,MonthYear
1,Zack Wheeler,PHI,11.02,1.38,8.00,0.28,31.5%,3.9%,27.6%,.231,1.01,.338,79.8%,40,41,63,1.65,1.61,0.04,2.48,2.57,2,5
2,Gerrit Cole,NYY,12.03,1.34,9.00,0.80,33.6%,3.7%,29.9%,.209,0.95,.296,71.9%,83,51,56,3.21,2.04,1.16,2.25,2.38,2,5
3,Kevin Gausman,TOR,9.66,1.49,6.50,0.50,26.2%,4.0%,22.1%,.238,1.10,.314,75.3%,71,53,74,2.72,2.18,0.55,2.93,3.07,2,5
4,Martin Perez,TEX,7.02,1.91,3.67,0.00,20.8%,5.7%,15.1%,.193,0.90,.248,84.2%,16,54,88,0.64,2.19,-1.55,3.49,3.66,2,5
5,Tarik Skubal,DET,10.16,1.74,5.83,0.58,30.4%,5.2%,25.2%,.193,0.87,.264,90.9%,38,58,67,1.45,2.27,-0.82,2.68,2.81,2,5
6,Shane McClanahan,TBR,11.20,1.44,7.80,0.86,33.6%,4.3%,29.3%,.189,0.83,.261,100.0%,31,61,49,1.15,2.35,-1.20,1.95,2.29,2,5
7,Jameson Taillon,NYY,6.32,0.86,7.33,0.29,18.0%,2.5%,15.6%,.203,0.86,.242,78.9%,52,62,92,2.01,2.51,-0.50,3.65,3.84,2,5
8,Nick Pivetta,BOS,8.22,1.41,5.83,0.47,24.0%,4.1%,19.9%,.187,0.83,.235,79.5%,52,63,88,2.11,2.51,-0.40,3.50,3.46,2,5
9,Frankie Montas,OAK,10.29,1.80,5.71,0.77,29.2%,5.1%,24.1%,.215,1.00,.287,84.4%,63,66,66,2.31,2.54,-0.23,2.61,2.85,2,5
10,Carlos Carrasco,NYM,6.90,1.20,5.75,0.30,18.4%,3.2%,15.2%,.286,1.27,.347,72.5%,95,68,91,3.60,2.61,0.99,3.61,3.80,2,5
11,Yusei Kikuchi,TOR,10.46,3.71,2.82,0.34,28.7%,10.2%,18.5%,.177,1.05,.250,79.7%,61,65,91,2.36,2.63,-0.26,3.58,3.60,2,5
12,Jose Quintana,PIT,7.00,3.00,2.33,0.00,18.8%,8.0%,10.7%,.206,1.11,.259,71.0%,49,67,103,2.00,2.67,-0.67,4.09,4.30,2,5
13,Aaron Nola,PHI,10.91,1.36,8.00,1.09,30.5%,3.8%,26.7%,.210,0.94,.275,73.0%,80,72,70,3.27,2.90,0.37,2.76,2.70,2,5
14,Joe Musgrove,SDP,9.00,2.45,3.67,0.55,24.6%,6.7%,17.9%,.211,1.06,.273,87.7%,42,73,92,1.64,2.90,-1.26,3.68,3.62,2,5
15,Shane Bieber,CLE,8.14,2.96,2.75,0.37,20.6%,7.5%,13.1%,.296,1.52,.373,71.0%,105,74,93,4.07,2.95,1.12,3.69,3.96,2,5
16,Framber Valdez,HOU,6.91,2.09,3.30,0.42,19.5%,5.9%,13.6%,.209,1.00,.252,80.1%,60,75,75,2.30,2.95,-0.65,2.97,3.23,2,5
17,Corbin Burnes,MIL,10.38,1.15,9.00,1.15,30.0%,3.3%,26.7%,.203,0.87,.258,89.7%,51,76,71,2.08,3.01,-0.93,2.82,2.70,2,5
18,Dylan Cease,CHW,13.64,3.69,3.69,1.14,35.3%,9.6%,25.7%,.230,1.29,.343,74.2%,102,74,76,3.98,3.05,0.93,3.00,2.88,2,5
19,Tyler Wells,BAL,5.28,0.88,6.00,0.59,15.1%,2.5%,12.6%,.224,0.95,.250,72.5%,76,79,114,2.93,3.08,-0.15,4.50,4.62,2,5
20,Alek Manoah,TOR,7.84,0.58,13.50,0.87,22.1%,1.6%,20.5%,.231,0.94,.276,79.1%,53,77,83,2.03,3.11,-1.08,3.29,3.39,2,5
21,Sandy Alcantara,MIA,9.14,2.55,3.58,0.64,26.4%,7.4%,19.0%,.177,0.90,.228,74.1%,54,81,85,2.13,3.14,-1.01,3.40,3.36,2,5
22,Patrick Sandoval,LAA,6.99,4.45,1.57,0.00,17.6%,11.2%,6.4%,.236,1.41,.295,65.9%,104,77,105,4.13,3.15,0.98,4.14,4.35,2,5
23,Jordan Lyles,BAL,8.76,2.43,3.60,0.73,22.8%,6.3%,16.5%,.267,1.32,.336,68.4%,94,82,91,3.65,3.19,0.45,3.58,3.71,2,5
24,Nestor Cortes,NYY,9.19,2.51,3.67,0.84,26.6%,7.3%,19.4%,.158,0.84,.192,88.2%,51,80,90,1.95,3.21,-1.26,3.56,3.51,2,5
25,Alex Cobb,SFG,10.48,3.18,3.30,0.95,26.6%,8.1%,18.5%,.298,1.55,.397,52.8%,153,85,66,6.04,3.22,2.82,2.63,2.97,2,5
26,Zac Gallen,ARI,8.92,2.04,4.38,0.76,24.3%,5.6%,18.8%,.212,1.02,.266,78.2%,75,84,87,3.06,3.25,-0.20,3.45,3.37,2,5
27,JT Brubaker,PIT,9.55,3.62,2.64,0.66,24.4%,9.2%,15.1%,.224,1.28,.289,72.3%,65,81,93,2.63,3.26,-0.63,3.72,3.84,2,5
28,Tyler Anderson,LAD,9.28,0.56,16.50,1.41,25.8%,1.6%,24.2%,.246,1.03,.295,84.6%,78,82,86,3.09,3.27,-0.18,3.41,3.32,2,5
29,Max Fried,ATL,8.76,2.43,3.60,0.97,23.2%,6.5%,16.8%,.241,1.22,.295,81.2%,77,86,77,3.16,3.38,-0.22,3.06,3.53,2,5
30,Walker Buehler,LAD,7.41,2.38,3.11,0.79,19.2%,6.2%,13.0%,.279,1.38,.333,75.3%,94,87,88,3.71,3.50,0.21,3.52,3.79,2,5
