#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,MonthSeason,MonthYear
1,Shohei Ohtani,LAA,10.18,2.61,3.91,0.00,30.3%,7.7%,22.5%,.162,0.84,.241,84.8%,30,43,71,1.18,1.80,-0.61,2.81,3.03,6,9
2,Jose Quintana,STL,7.56,1.08,7.00,0.00,23.1%,3.3%,19.8%,.181,0.75,.239,88.5%,21,49,81,0.81,1.88,-1.07,3.22,3.35,6,9
3,Aaron Nola,PHI,11.80,1.83,6.43,0.52,33.6%,5.2%,28.4%,.190,0.90,.278,78.8%,58,49,56,2.36,1.95,0.41,2.23,2.49,6,9
4,Blake Snell,SDP,12.09,2.57,4.70,0.51,35.1%,7.5%,27.6%,.169,0.89,.253,81.6%,53,52,70,2.06,2.03,0.03,2.77,2.67,6,9
5,Clayton Kershaw,LAD,10.76,1.76,6.13,0.66,31.2%,5.1%,26.1%,.181,0.85,.247,90.9%,39,57,62,1.54,2.26,-0.72,2.46,2.72,6,9
6,Framber Valdez,HOU,10.61,2.65,4.00,0.48,27.2%,6.8%,20.4%,.258,1.34,.352,65.7%,94,59,58,3.62,2.34,1.28,2.31,2.68,6,9
7,Triston McKenzie,CLE,9.54,1.16,8.20,0.70,27.3%,3.3%,24.0%,.200,0.88,.257,80.5%,54,60,80,2.09,2.39,-0.29,3.18,3.07,6,9
8,Logan Gilbert,SEA,10.25,2.00,5.13,0.50,29.1%,5.7%,23.4%,.191,0.92,.261,83.9%,54,62,75,2.00,2.39,-0.39,2.98,3.02,6,9
9,Alex Cobb,SFG,8.38,2.33,3.60,0.23,22.2%,6.2%,16.0%,.272,1.32,.351,73.1%,88,65,76,3.49,2.44,1.05,3.02,3.20,6,9
10,Zac Gallen,ARI,11.03,1.88,5.88,0.94,32.6%,5.6%,27.1%,.169,0.81,.224,78.7%,63,68,69,2.58,2.64,-0.06,2.72,2.70,6,9
11,Jeffrey Springs,TBR,8.91,2.10,4.25,0.52,24.1%,5.7%,18.4%,.189,0.96,.240,83.3%,43,70,96,1.57,2.68,-1.10,3.77,3.66,6,9
12,Brayan Bello,BOS,8.90,3.45,2.58,0.29,22.1%,8.6%,13.6%,.281,1.53,.365,75.1%,63,68,89,2.59,2.70,-0.11,3.51,3.87,6,9
