Team,T. Staff,Sum of Pitchers WAR
HOU,19,26.300000000000008
PHI,27,25.8
ATL,13,24.099999999999994
LAD,32,24.000000000000004
NYM,23,20.9
TOR,9,19.900000000000016
NYY,17,19.89999999999999
CLE,19,19.400000000000006
SFG,24,19.29999999999999
SDP,14,18.799999999999997
CHW,14,17.7
SEA,15,17.600000000000012
STL,13,17.599999999999994
MIN,17,16.900000000000016
TBR,39,16.800000000000008
MIL,16,16.699999999999992
LAA,16,16.099999999999994
MIA,8,13.999999999999995
COL,8,13.400000000000006
BOS,26,11.500000000000004
BAL,12,11.300000000000004
TEX,14,9.500000000000007
DET,15,9.100000000000001
ARI,23,8.400000000000004
KCR,13,8.299999999999999
PIT,10,7.599999999999998
CHC,16,7.2
CIN,8,5.7
OAK,9,2.4999999999999973
WSN,12,1.0999999999999988
