Team,T. Staff,StartersCSW%,RelieversCSW%,AllPitchersCSW%
ARI,23,0.262,0.268,0.265
ATL,13,0.283,0.29,0.286
BAL,12,0.259,0.276,0.266
BOS,26,0.271,0.28,0.275
CHC,16,0.263,0.284,0.273
CHW,14,0.272,0.286,0.278
CIN,8,0.269,0.278,0.273
CLE,19,0.266,0.287,0.274
COL,8,0.246,0.268,0.255
DET,15,0.244,0.274,0.257
HOU,19,0.275,0.297,0.282
KCR,13,0.251,0.27,0.259
LAA,16,0.279,0.275,0.277
LAD,32,0.285,0.287,0.286
MIA,8,0.281,0.288,0.284
MIL,16,0.292,0.302,0.296
MIN,17,0.268,0.282,0.275
NYM,23,0.284,0.302,0.291
NYY,17,0.289,0.298,0.292
OAK,9,0.254,0.275,0.262
PHI,27,0.28,0.281,0.28
PIT,10,0.269,0.27,0.269
SDP,14,0.285,0.286,0.285
SEA,15,0.253,0.294,0.268
SFG,24,0.295,0.276,0.286
STL,13,0.257,0.275,0.264
TBR,39,0.291,0.287,0.289
TEX,14,0.267,0.281,0.273
TOR,9,0.276,0.282,0.278
WSN,12,0.254,0.268,0.26
