Team,T. Staff,2022 Payroll
NYM,23,282000000.00
LAD,32,260000000.00
NYY,17,249000000.00
PHI,27,242000000.00
BOS,26,221000000.00
SDP,14,214000000.00
CHW,14,196000000.00
ATL,13,187000000.00
LAA,16,180000000.00
HOU,19,179000000.00
TOR,9,175000000.00
STL,13,163000000.00
SFG,24,162000000.00
CHC,16,146000000.00
TEX,14,146000000.00
MIN,17,142000000.00
MIL,16,137000000.00
COL,8,136000000.00
DET,15,135000000.00
WSN,12,134000000.00
CIN,8,122000000.00
SEA,15,118000000.00
ARI,23,93000000.00
KCR,13,88000000.00
TBR,39,86000000.00
MIA,8,84000000.00
CLE,19,69000000.00
BAL,12,63000000.00
PIT,10,59000000.00
OAK,9,50000000.00
