Team,T. Staff,Sum of Pitchers WAR
MIN,17,8.8
HOU,19,8.7
LAD,32,8.099999999999998
ATL,13,7.400000000000001
NYM,23,7.100000000000001
PHI,27,6.399999999999999
CLE,19,6.299999999999999
NYY,17,6.1999999999999975
CHW,14,5.700000000000001
BAL,12,4.700000000000002
SDP,14,4.6000000000000005
SEA,15,4.6
COL,8,4.500000000000002
BOS,26,4.299999999999999
TOR,9,4.299999999999996
TBR,39,4.2
STL,13,4.099999999999996
DET,15,3.700000000000001
MIL,16,3.300000000000002
PIT,10,1.8999999999999995
TEX,14,1.799999999999999
SFG,24,1.7999999999999985
KCR,13,1.6999999999999997
LAA,16,1.1999999999999997
CIN,8,0.8999999999999997
OAK,9,0.5999999999999996
WSN,12,0.2999999999999998
MIA,8,0.1999999999999998
ARI,23,-0.6999999999999998
CHC,16,-1.7999999999999994
