Team,T. Staff,Sum of Pitchers WAR
PHI,27,19.4
HOU,19,17.599999999999998
SFG,24,17.5
ATL,13,16.7
LAD,32,15.9
TOR,9,15.6
LAA,16,14.900000000000002
SDP,14,14.2
NYM,23,13.800000000000002
MIA,8,13.799999999999997
NYY,17,13.7
STL,13,13.500000000000004
MIL,16,13.399999999999997
CLE,19,13.100000000000001
SEA,15,13
TBR,39,12.599999999999998
CHW,14,12
ARI,23,9.100000000000001
CHC,16,8.999999999999998
COL,8,8.9
MIN,17,8.1
TEX,14,7.7
BOS,26,7.200000000000001
BAL,12,6.600000000000001
KCR,13,6.6000000000000005
PIT,10,5.699999999999999
DET,15,5.4
CIN,8,4.799999999999999
OAK,9,1.9000000000000001
WSN,12,0.7999999999999998
