#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,MonthSeason,MonthYear
61,Dylan Bundy,MIN,.300,0.84,20.3%,36.5%,43.2%,12.5%,12.5%,21,7.77,113,265,378,43.2%,31.1%,25.7%,16.2%,56.8%,27.0%,4,7
62,Chris Flexen,SEA,.217,0.83,25.6%,33.7%,40.7%,17.1%,8.6%,20,6.51,173,276,449,37.2%,37.2%,25.6%,20.9%,58.1%,20.9%,4,7
63,Madison Bumgarner,ARI,.298,0.82,24.5%,34.0%,41.5%,15.4%,7.7%,22,6.39,172,330,502,42.3%,32.0%,25.8%,14.4%,47.4%,38.1%,4,7
64,James Kaprielian,OAK,.200,0.82,13.4%,39.0%,47.6%,5.1%,5.1%,13,4.18,150,273,423,40.2%,34.1%,25.6%,15.9%,48.8%,35.4%,4,7
65,Brandon Woodruff,MIL,.315,0.78,20.8%,34.7%,44.4%,12.5%,0.0%,20,6.00,176,323,499,38.4%,31.5%,30.1%,20.5%,57.5%,21.9%,4,7
66,Kyle Gibson,PHI,.207,0.75,12.5%,37.5%,50.0%,4.5%,13.6%,15,4.94,158,280,438,44.3%,36.4%,19.3%,11.4%,56.8%,31.8%,4,7
67,Josiah Gray,WSN,.328,0.73,12.3%,37.0%,50.7%,10.8%,24.3%,7,2.36,190,291,481,43.8%,23.3%,32.9%,28.8%,39.7%,31.5%,4,7
68,Carlos Rodon,SFG,.296,0.73,16.9%,34.9%,48.2%,10.0%,7.5%,15,3.65,201,402,603,26.2%,46.4%,27.4%,13.1%,50.0%,36.9%,4,7
69,Yu Darvish,SDP,.266,0.69,21.4%,32.1%,46.4%,7.7%,12.8%,14,3.71,158,363,521,44.0%,29.8%,26.2%,17.9%,52.4%,29.8%,4,7
70,Tyler Wells,BAL,.309,0.68,21.9%,31.5%,46.6%,11.8%,14.7%,9,3.24,148,265,413,41.1%,32.9%,26.0%,13.7%,47.9%,38.4%,4,7
71,Jordan Lyles,BAL,.292,0.67,20.0%,32.0%,48.0%,4.2%,10.4%,14,3.86,233,347,580,39.6%,39.6%,20.8%,17.8%,58.4%,23.8%,4,7
72,Cole Irvin,OAK,.186,0.66,14.4%,34.0%,51.5%,12.0%,2.0%,16,4.24,135,291,426,39.8%,31.6%,28.6%,16.3%,46.9%,36.7%,4,7
73,Blake Snell,SDP,.308,0.64,24.1%,29.6%,46.3%,4.0%,12.0%,19,6.66,191,301,492,27.3%,45.5%,27.3%,7.3%,54.5%,38.2%,4,7
74,Jose Urquidy,HOU,.191,0.63,15.2%,32.6%,52.2%,10.4%,6.3%,23,6.27,160,350,510,39.1%,32.6%,28.3%,19.6%,54.3%,26.1%,4,7
75,Nestor Cortes,NYY,.291,0.62,23.2%,29.3%,47.6%,7.7%,7.7%,27,8.78,142,293,435,32.9%,36.6%,30.5%,19.5%,53.7%,26.8%,4,7
76,Eric Lauer,MIL,.235,0.58,16.7%,30.6%,52.8%,7.9%,10.5%,14,4.61,190,307,497,36.1%,41.7%,22.2%,19.4%,44.4%,36.1%,4,7
77,Kutter Crawford,BOS,.247,0.54,27.0%,25.7%,47.3%,2.9%,5.7%,7,2.25,126,281,407,29.3%,40.0%,30.7%,13.3%,53.3%,33.3%,4,7
78,Jake Odorizzi,HOU,.280,0.52,22.1%,26.7%,51.2%,11.4%,9.1%,16,5.08,141,311,452,26.7%,46.5%,26.7%,15.1%,62.8%,22.1%,4,7
79,Joe Ryan,MIN,.212,0.44,13.9%,26.4%,59.7%,14.0%,16.3%,10,3.38,136,284,420,34.2%,38.4%,27.4%,15.1%,47.9%,37.0%,4,7
80,Max Scherzer,NYM,.292,0.33,27.8%,18.1%,54.2%,20.5%,5.1%,7,1.95,142,324,466,36.5%,35.1%,28.4%,20.3%,43.2%,36.5%,4,7
