#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,MonthSeason,MonthYear
61,Alek Manoah,TOR,.259,0.95,20.8%,38.7%,40.6%,16.3%,4.7%,29,6.75,201,376,577,44.0%,32.1%,23.9%,13.8%,65.1%,21.1%,3,6
62,Zach Davies,ARI,.233,0.95,13.0%,42.4%,44.6%,19.5%,4.9%,6,1.71,171,298,469,37.0%,34.8%,28.3%,26.1%,51.1%,22.8%,3,6
63,Brady Singer,KCR,.282,0.95,15.6%,41.1%,43.3%,5.1%,17.9%,11,3.45,155,285,440,37.0%,39.1%,23.9%,13.0%,64.1%,22.8%,3,6
64,Zach Plesac,CLE,.238,0.94,19.5%,39.1%,41.4%,5.6%,8.3%,10,3.00,163,312,475,47.1%,26.4%,26.4%,12.6%,54.0%,33.3%,3,6
65,Luis Severino,NYY,.242,0.93,13.8%,41.5%,44.6%,3.4%,13.8%,13,3.90,170,309,479,45.5%,36.4%,18.2%,9.1%,53.0%,37.9%,3,6
66,Chad Kuhl,COL,.293,0.92,22.3%,37.2%,40.4%,10.5%,5.3%,6,1.84,184,299,483,39.4%,36.2%,24.5%,14.9%,52.1%,33.0%,3,6
67,Jordan Lyles,BAL,.305,0.90,19.2%,38.4%,42.4%,11.9%,9.5%,14,4.40,184,294,478,40.4%,33.3%,26.3%,20.2%,48.5%,31.3%,3,6
68,Eric Lauer,MIL,.274,0.87,22.0%,36.3%,41.8%,2.6%,21.1%,14,4.55,166,313,479,42.4%,37.0%,20.7%,17.4%,48.9%,33.7%,3,6
69,Jose Urquidy,HOU,.193,0.85,19.1%,37.1%,43.8%,10.3%,15.4%,23,7.06,162,308,470,43.8%,33.7%,22.5%,14.6%,50.6%,34.8%,3,6
70,Sean Manaea,SDP,.270,0.84,20.3%,36.5%,43.2%,9.4%,9.4%,24,7.45,165,308,473,41.6%,33.8%,24.7%,20.8%,50.6%,28.6%,3,6
71,Kyle Hendricks,CHC,.325,0.83,20.5%,36.1%,43.4%,2.8%,8.3%,20,6.51,136,286,422,43.4%,32.5%,24.1%,15.7%,54.2%,30.1%,3,6
72,Johnny Cueto,CHW,.263,0.83,18.4%,36.9%,44.7%,0.0%,17.4%,20,5.09,194,351,545,37.9%,40.8%,21.4%,13.6%,51.5%,35.0%,3,6
73,Kyle Freeland,COL,.240,0.82,23.4%,34.6%,42.1%,4.4%,8.9%,26,7.09,177,288,465,45.4%,32.4%,22.2%,5.6%,59.3%,35.2%,3,6
74,Logan Gilbert,SEA,.311,0.82,24.5%,34.0%,41.5%,4.5%,11.4%,23,5.80,205,385,590,41.7%,30.6%,27.8%,7.4%,56.5%,36.1%,3,6
75,Cole Irvin,OAK,.274,0.81,22.7%,34.5%,42.7%,6.4%,12.8%,7,1.78,176,344,520,36.6%,36.6%,26.8%,5.4%,62.5%,32.1%,3,6
76,Julio Urias,LAD,.212,0.78,17.4%,36.2%,46.4%,9.4%,9.4%,19,5.97,141,306,447,39.1%,33.3%,27.5%,24.6%,50.7%,24.6%,3,6
77,Lucas Giolito,CHW,.365,0.78,22.0%,34.1%,44.0%,2.5%,17.5%,19,6.33,173,288,461,43.5%,34.8%,21.7%,8.7%,51.1%,40.2%,3,6
78,Luis Garcia,HOU,.243,0.77,26.7%,32.0%,41.3%,3.2%,19.4%,15,4.88,157,298,455,39.5%,40.8%,19.7%,7.9%,56.6%,35.5%,3,6
79,Dean Kremer,BAL,.289,0.77,17.9%,35.7%,46.4%,7.7%,2.6%,12,3.86,149,270,419,35.7%,32.1%,32.1%,14.3%,56.0%,29.8%,3,6
80,Tyler Wells,BAL,.164,0.74,13.2%,36.8%,50.0%,13.2%,10.5%,30,10.38,133,257,390,48.1%,27.3%,24.7%,15.6%,58.4%,26.0%,3,6
81,Nick Pivetta,BOS,.245,0.73,19.8%,34.0%,46.2%,12.2%,8.2%,26,5.85,212,400,612,39.6%,38.7%,21.7%,17.0%,49.1%,34.0%,3,6
82,Tony Gonsolin,LAD,.155,0.69,17.6%,33.8%,48.6%,2.8%,8.3%,10,3.10,163,277,440,36.5%,39.2%,24.3%,13.5%,55.4%,31.1%,3,6
83,Tyler Mahle,CIN,.310,0.67,16.7%,33.3%,50.0%,17.8%,8.9%,23,6.15,187,349,536,45.1%,29.7%,25.3%,22.0%,50.5%,27.5%,3,6
84,Corey Kluber,TBR,.238,0.65,20.5%,31.3%,48.2%,22.5%,10.0%,12,3.81,115,282,397,40.5%,34.5%,25.0%,23.8%,48.8%,27.4%,3,6
85,Keegan Thompson,CHC,.303,0.62,25.0%,28.8%,46.3%,8.1%,10.8%,17,5.60,165,283,448,36.3%,37.5%,26.3%,13.8%,45.0%,41.3%,3,6
86,Chris Flexen,SEA,.312,0.51,23.9%,25.7%,50.5%,12.7%,3.6%,22,6.00,216,328,544,28.8%,37.8%,33.3%,19.8%,49.5%,30.6%,3,6
87,Triston McKenzie,CLE,.272,0.48,14.4%,27.8%,57.8%,11.5%,19.2%,12,3.68,156,293,449,41.8%,31.9%,26.4%,13.2%,41.8%,45.1%,3,6
88,Rony Garcia,DET,.232,0.44,24.3%,23.0%,52.7%,12.8%,12.8%,26,9.24,153,255,408,27.0%,41.9%,31.1%,17.6%,51.4%,31.1%,3,6
89,Hunter Greene,CIN,.284,0.35,23.9%,19.7%,56.3%,12.5%,12.5%,13,3.94,199,337,536,38.9%,29.2%,31.9%,12.5%,59.7%,27.8%,3,6
