#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,MonthSeason,MonthYear
1,Framber Valdez,HOU,.252,4.22,23.0%,62.3%,14.8%,11.1%,11.1%,23,4.81,199,419,618,40.0%,36.0%,24.0%,18.4%,55.2%,26.4%,2,2022-05-01
2,Alex Cobb,SFG,.397,3.47,17.3%,64.2%,18.5%,0.0%,20.0%,19,6.04,158,310,468,44.4%,29.6%,25.9%,24.7%,48.1%,27.2%,2,2022-05-01
3,Patrick Sandoval,LAA,.295,2.95,11.8%,65.9%,22.4%,5.3%,0.0%,12,3.81,173,289,462,44.3%,33.0%,22.7%,18.2%,48.9%,33.0%,2,2022-05-01
4,Walker Buehler,LAD,.333,2.15,21.3%,53.7%,25.0%,7.4%,11.1%,32,8.47,204,344,548,38.0%,38.0%,24.1%,18.5%,51.9%,29.6%,2,2022-05-01
5,Patrick Corbin,WSN,.331,2.13,21.8%,53.2%,25.0%,12.9%,19.4%,10,2.60,179,352,531,35.5%,40.3%,24.2%,15.3%,44.4%,40.3%,2,2022-05-01
6,Drew Rasmussen,TBR,.269,2.10,19.8%,54.3%,25.9%,9.5%,14.3%,21,6.59,169,321,490,43.2%,34.6%,22.2%,11.1%,58.0%,30.9%,2,2022-05-01
7,Shane McClanahan,TBR,.261,2.00,25.0%,50.0%,25.0%,0.0%,16.7%,18,5.17,149,315,464,40.3%,33.3%,26.4%,9.7%,68.1%,22.2%,2,2022-05-01
8,Logan Webb,SFG,.250,1.96,18.1%,54.2%,27.7%,17.4%,17.4%,26,7.55,149,319,468,40.5%,42.9%,16.7%,15.5%,56.0%,28.6%,2,2022-05-01
9,Dane Dunning,TEX,.325,1.95,17.7%,54.4%,27.8%,9.1%,13.6%,7,2.22,169,298,467,49.4%,33.7%,16.9%,12.0%,54.2%,33.7%,2,2022-05-01
10,Michael Lorenzen,LAA,.258,1.90,15.2%,55.6%,29.3%,10.3%,6.9%,23,6.34,164,311,475,40.4%,36.4%,23.2%,18.2%,58.6%,23.2%,2,2022-05-01
11,Max Fried,ATL,.295,1.89,27.1%,47.7%,25.2%,7.4%,14.8%,25,6.08,202,377,579,37.6%,39.4%,22.9%,13.8%,52.3%,33.9%,2,2022-05-01
12,Shane Bieber,CLE,.373,1.76,23.7%,48.7%,27.6%,9.5%,4.8%,12,4.44,139,241,380,42.1%,31.6%,26.3%,18.4%,56.6%,25.0%,2,2022-05-01
13,Martin Perez,TEX,.248,1.76,11.3%,56.5%,32.2%,5.4%,0.0%,18,3.83,204,374,578,39.3%,41.0%,19.7%,15.4%,62.4%,22.2%,2,2022-05-01
14,Kyle Wright,ATL,.263,1.72,18.1%,51.8%,30.1%,4.0%,12.0%,9,2.73,163,288,451,41.0%,43.4%,15.7%,16.9%,56.6%,26.5%,2,2022-05-01
15,Ranger Suarez,PHI,.321,1.63,18.4%,50.6%,31.0%,11.1%,14.8%,25,7.58,221,350,571,37.5%,33.0%,29.5%,19.3%,54.5%,26.1%,2,2022-05-01
16,Sandy Alcantara,MIA,.228,1.62,14.4%,52.9%,32.7%,20.6%,8.8%,19,4.04,204,415,619,36.5%,44.2%,19.2%,24.0%,47.1%,28.8%,2,2022-05-01
17,Zac Gallen,ARI,.266,1.61,16.5%,51.5%,32.0%,6.5%,9.7%,22,5.60,206,365,571,44.3%,29.9%,25.8%,14.4%,58.8%,26.8%,2,2022-05-01
18,Frankie Montas,OAK,.287,1.57,18.2%,50.0%,31.8%,21.4%,10.7%,3,0.77,169,358,527,41.1%,38.9%,20.0%,16.7%,52.2%,31.1%,2,2022-05-01
19,Jordan Montgomery,NYY,.274,1.57,23.0%,47.0%,30.0%,13.3%,16.7%,19,5.13,160,313,473,41.0%,30.0%,29.0%,18.0%,59.0%,23.0%,2,2022-05-01
20,Paul Blackburn,OAK,.238,1.55,22.5%,47.1%,30.4%,12.9%,9.7%,14,3.67,190,314,504,36.5%,36.5%,26.9%,17.3%,56.7%,26.0%,2,2022-05-01
21,Jose Quintana,PIT,.259,1.54,18.5%,49.4%,32.1%,11.5%,0.0%,8,2.67,169,272,441,42.0%,37.0%,21.0%,21.0%,51.9%,27.2%,2,2022-05-01
22,Carlos Carrasco,NYM,.347,1.52,23.2%,46.3%,30.5%,17.2%,3.4%,23,6.90,135,293,428,49.0%,28.1%,22.9%,22.9%,46.9%,30.2%,2,2022-05-01
23,JT Brubaker,PIT,.289,1.50,16.7%,50.0%,33.3%,23.1%,7.7%,4,1.32,161,272,433,42.3%,30.8%,26.9%,23.1%,51.3%,25.6%,2,2022-05-01
24,German Marquez,COL,.364,1.47,17.8%,48.9%,33.3%,6.7%,13.3%,14,4.34,168,303,471,38.0%,35.9%,26.1%,14.1%,54.3%,31.5%,2,2022-05-01
25,Kevin Gausman,TOR,.314,1.42,16.3%,49.0%,34.6%,13.9%,5.6%,28,6.94,174,414,588,37.5%,37.5%,25.0%,18.3%,46.2%,35.6%,2,2022-05-01
26,Jordan Lyles,BAL,.336,1.36,22.7%,44.5%,32.7%,19.4%,8.3%,23,5.59,225,373,598,44.5%,37.3%,18.2%,19.1%,49.1%,31.8%,2,2022-05-01
27,Brad Keller,KCR,.305,1.34,18.3%,46.8%,34.9%,10.5%,13.2%,9,2.70,176,289,465,40.0%,40.0%,20.0%,11.8%,58.2%,30.0%,2,2022-05-01
