#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Year,YearDate
1,Joan Adon,WSN,.500,8.00,18.2%,72.7%,9.1%,0.0%,100.0%,5,8.44,37,57,94,54.5%,18.2%,27.3%,9.1%,45.5%,45.5%,2021.0,2021-01-01
2,Aaron Bummer,CHW,.298,6.00,11.2%,76.1%,12.7%,11.8%,17.6%,23,3.67,367,595,962,30.6%,40.3%,29.1%,27.6%,44.0%,28.4%,2021.0,2021-01-01
3,Cooper Criswell,LAA,.600,6.00,30.0%,60.0%,10.0%,0.0%,0.0%,0,0.00,15,26,41,40.0%,50.0%,10.0%,0.0%,60.0%,40.0%,2021.0,2021-01-01
4,Jace Fry,CHW,.450,5.00,14.3%,71.4%,14.3%,0.0%,33.3%,4,5.40,61,75,136,42.9%,28.6%,28.6%,19.0%,52.4%,28.6%,2021.0,2021-01-01
5,Framber Valdez,HOU,.268,4.73,14.9%,70.3%,14.9%,3.6%,21.4%,86,5.75,816,1274,2090,45.8%,35.2%,19.0%,14.8%,54.0%,31.2%,2021.0,2021-01-01
6,Richard Bleier,MIA,.280,4.40,19.6%,65.5%,14.9%,8.0%,16.0%,23,3.57,177,508,685,46.5%,31.4%,22.1%,22.1%,47.7%,30.2%,2021.0,2021-01-01
7,Tanner Anderson,PIT,.278,4.33,11.1%,72.2%,16.7%,0.0%,0.0%,0,0.00,19,45,64,44.4%,44.4%,11.1%,16.7%,44.4%,38.9%,2021.0,2021-01-01
8,Jordan Hicks,STL,.208,4.25,12.5%,70.8%,16.7%,0.0%,0.0%,2,1.80,96,111,207,41.7%,25.0%,33.3%,20.8%,58.3%,20.8%,2021.0,2021-01-01
9,Adam Kolarek,OAK,.333,4.17,18.4%,65.8%,15.8%,16.7%,33.3%,4,4.00,71,119,190,29.3%,46.3%,24.4%,12.2%,63.4%,24.4%,2021.0,2021-01-01
10,Pedro Strop,CHC,.400,4.00,20.0%,80.0%,0.0%,0.0%,0.0%,2,9.00,20,25,45,80.0%,0.0%,20.0%,20.0%,60.0%,20.0%,2021.0,2021-01-01
11,Jace Peterson,MIL,.500,4.00,37.5%,50.0%,12.5%,0.0%,0.0%,0,0.00,17,23,40,37.5%,50.0%,12.5%,37.5%,50.0%,12.5%,2021.0,2021-01-01
12,Colten Brewer,BOS,.800,4.00,20.0%,80.0%,0.0%,0.0%,0.0%,1,9.00,18,12,30,20.0%,60.0%,20.0%,20.0%,20.0%,60.0%,2021.0,2021-01-01
13,Pat Valaika,BAL,.000,4.00,0.0%,80.0%,20.0%,0.0%,0.0%,2,13.50,1,6,7,60.0%,20.0%,20.0%,0.0%,80.0%,20.0%,2021.0,2021-01-01
14,Clay Holmes,- - -,.273,3.84,13.4%,68.7%,17.9%,9.4%,15.6%,29,3.73,409,715,1124,39.8%,33.7%,26.5%,28.7%,49.7%,21.5%,2021.0,2021-01-01
15,Emmanuel Clase,CLE,.262,3.74,14.4%,67.6%,18.1%,2.9%,5.9%,19,2.45,335,722,1057,39.7%,34.4%,25.9%,13.8%,62.4%,23.8%,2021.0,2021-01-01
16,Conner Menez,SFG,.333,3.71,25.0%,59.1%,15.9%,28.6%,28.6%,3,1.93,79,168,247,50.0%,29.5%,20.5%,11.4%,61.4%,27.3%,2021.0,2021-01-01
17,Zack Britton,NYY,.313,3.40,12.0%,68.0%,20.0%,10.0%,20.0%,9,4.42,145,192,337,38.0%,34.0%,28.0%,26.0%,50.0%,24.0%,2021.0,2021-01-01
18,Kyle Ryan,CHC,.311,3.38,25.5%,57.4%,17.0%,0.0%,37.5%,7,4.73,93,132,225,41.7%,39.6%,18.8%,14.6%,47.9%,37.5%,2021.0,2021-01-01
19,John Nogowski,PIT,.500,3.33,18.8%,62.5%,18.8%,0.0%,0.0%,2,6.00,5,30,35,56.3%,18.8%,25.0%,12.5%,43.8%,43.8%,2021.0,2021-01-01
20,Logan Webb,SFG,.309,3.29,20.6%,60.9%,18.5%,5.6%,12.5%,93,5.64,773,1441,2214,39.3%,36.5%,24.1%,19.0%,54.8%,26.1%,2021.0,2021-01-01
21,Brusdar Graterol,LAD,.311,3.16,23.3%,58.3%,18.4%,26.3%,10.5%,15,4.05,161,361,522,29.8%,40.4%,29.8%,29.8%,48.1%,22.1%,2021.0,2021-01-01
22,Mark Melancon,SDP,.284,3.06,25.1%,56.4%,18.4%,6.1%,12.1%,15,2.09,377,676,1053,39.4%,39.4%,21.1%,23.3%,50.6%,26.1%,2021.0,2021-01-01
23,Brett Phillips,TBR,.400,3.00,20.0%,60.0%,20.0%,0.0%,0.0%,0,0.00,11,12,23,40.0%,40.0%,20.0%,20.0%,80.0%,0.0%,2021.0,2021-01-01
24,Andrew Vasquez,LAD,.333,3.00,0.0%,100.0%,0.0%,0.0%,0.0%,2,10.80,7,20,27,0.0%,100.0%,0.0%,33.3%,66.7%,0.0%,2021.0,2021-01-01
