#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,MonthSeason,MonthYear
1,Framber Valdez,HOU,.352,4.06,19.6%,64.5%,15.9%,11.8%,11.8%,28,6.75,207,378,585,47.7%,36.4%,15.9%,16.8%,44.9%,38.3%,6,9
2,Alex Cobb,SFG,.351,2.96,16.7%,62.3%,21.1%,4.2%,4.2%,28,6.52,237,401,638,39.1%,33.0%,27.8%,13.0%,58.3%,28.7%,6,9
3,Corbin Burnes,MIL,.269,2.46,21.7%,55.7%,22.6%,8.3%,16.7%,17,3.50,233,429,662,43.5%,37.0%,19.4%,18.5%,60.2%,21.3%,6,9
4,Brady Singer,KCR,.300,2.22,18.7%,56.0%,25.3%,17.4%,13.0%,23,6.54,159,313,472,39.8%,34.4%,25.8%,12.9%,54.8%,32.3%,6,9
5,Martin Perez,TEX,.313,1.93,24.1%,50.0%,25.9%,0.0%,0.0%,11,2.65,210,350,560,42.6%,35.7%,21.7%,13.9%,58.3%,27.8%,6,9
6,Brayan Bello,BOS,.365,1.92,21.6%,51.5%,26.8%,7.7%,3.8%,9,2.59,203,336,539,42.3%,35.1%,22.7%,16.5%,56.7%,26.8%,6,9
7,Jose Urena,COL,.333,1.89,24.3%,49.5%,26.2%,7.4%,7.4%,4,1.08,210,336,546,51.0%,27.9%,21.2%,12.5%,59.6%,27.9%,6,9
8,Mitch Keller,PIT,.272,1.83,26.9%,47.3%,25.8%,0.0%,8.3%,9,2.31,204,357,561,28.7%,39.4%,31.9%,16.0%,61.7%,22.3%,6,9
9,Nick Lodolo,CIN,.239,1.83,10.5%,57.9%,31.6%,12.5%,20.8%,15,3.72,215,381,596,35.5%,43.4%,21.1%,11.8%,59.2%,28.9%,6,9
10,Marcus Stroman,CHC,.253,1.77,15.7%,53.9%,30.4%,9.7%,12.9%,13,3.16,184,353,537,35.9%,38.8%,25.2%,22.3%,54.4%,23.3%,6,9
11,Ranger Suarez,PHI,.276,1.69,16.5%,52.4%,31.1%,3.1%,15.6%,10,2.84,196,309,505,42.7%,32.0%,25.2%,11.7%,56.3%,32.0%,6,9
12,Shohei Ohtani,LAA,.241,1.65,19.8%,50.0%,30.2%,15.4%,0.0%,16,3.79,201,373,574,43.0%,36.0%,20.9%,16.3%,61.6%,22.1%,6,9
13,Kyle Bradish,BAL,.219,1.61,18.1%,50.5%,31.4%,9.1%,6.1%,16,3.82,243,374,617,38.7%,40.6%,20.8%,17.0%,57.5%,25.5%,6,9
14,Sandy Alcantara,MIA,.281,1.57,18.8%,49.6%,31.6%,10.8%,16.2%,13,2.72,164,430,594,42.5%,30.0%,27.5%,23.3%,51.7%,25.0%,6,9
15,Lance McCullers Jr.,HOU,.276,1.56,19.0%,49.4%,31.6%,4.0%,12.0%,13,3.69,184,313,497,45.6%,31.6%,22.8%,19.0%,60.8%,20.3%,6,9
16,Shane Bieber,CLE,.252,1.56,17.3%,50.4%,32.3%,7.0%,16.3%,25,4.69,218,448,666,43.3%,36.6%,20.1%,9.7%,55.2%,35.1%,6,9
17,Aaron Nola,PHI,.278,1.50,25.9%,44.4%,29.6%,8.3%,8.3%,18,4.72,163,364,527,44.4%,25.9%,29.6%,12.3%,59.3%,28.4%,6,9
18,Jordan Montgomery,STL,.319,1.45,22.4%,45.9%,31.6%,3.2%,16.1%,18,4.91,175,365,540,37.4%,34.3%,28.3%,13.1%,50.5%,36.4%,6,9
19,Eduardo Rodriguez,DET,.274,1.42,16.2%,49.2%,34.6%,6.7%,17.8%,19,4.17,228,414,642,41.7%,37.1%,21.2%,13.6%,57.6%,28.8%,6,9
20,Pablo Lopez,MIA,.293,1.35,16.7%,47.9%,35.4%,23.5%,11.8%,14,3.71,193,347,540,41.7%,32.3%,26.0%,18.8%,58.3%,22.9%,6,9
21,Clayton Kershaw,LAD,.247,1.34,23.5%,43.9%,32.7%,15.6%,9.4%,33,7.24,176,408,584,48.0%,25.0%,27.0%,19.0%,59.0%,22.0%,6,9
22,Jose Quintana,STL,.239,1.33,19.5%,46.0%,34.5%,13.3%,0.0%,13,3.51,178,315,493,28.4%,43.2%,28.4%,20.5%,53.4%,26.1%,6,9
23,Luis Castillo,SEA,.295,1.29,10.1%,50.6%,39.3%,5.7%,8.6%,31,8.29,187,359,546,44.0%,30.8%,25.3%,12.1%,57.1%,30.8%,6,9
24,Chris Bassitt,NYM,.270,1.26,17.2%,46.2%,36.6%,8.8%,11.8%,24,6.48,191,341,532,45.2%,28.0%,26.9%,21.5%,50.5%,28.0%,6,9
25,Lucas Giolito,CHW,.284,1.25,30.0%,38.9%,31.1%,3.6%,7.1%,14,3.74,197,364,561,37.8%,28.9%,33.3%,13.3%,55.6%,31.1%,6,9
26,Taijuan Walker,NYM,.297,1.22,16.7%,45.8%,37.5%,13.9%,13.9%,18,4.67,186,345,531,45.8%,34.4%,19.8%,16.7%,54.2%,29.2%,6,9
27,Miles Mikolas,STL,.233,1.20,18.1%,44.7%,37.2%,5.7%,11.4%,12,3.18,176,361,537,38.3%,31.9%,29.8%,12.8%,57.4%,29.8%,6,9
28,German Marquez,COL,.258,1.19,11.5%,48.1%,40.4%,4.8%,16.7%,17,4.37,182,332,514,31.7%,48.1%,20.2%,8.7%,52.9%,38.5%,6,9
29,Logan Gilbert,SEA,.261,1.19,21.3%,42.7%,36.0%,3.1%,6.3%,21,5.25,206,361,567,44.4%,26.7%,28.9%,13.3%,50.0%,36.7%,6,9
30,Dean Kremer,BAL,.271,1.14,19.8%,42.7%,37.4%,14.3%,8.2%,14,3.00,220,427,647,40.9%,31.8%,27.3%,15.2%,61.4%,23.5%,6,9
