Name,Type,NewTeamoffSeason21,NewTeamDeadline22,DateDeadline,NewTeam,LatestTeamName
Aaron Sanchez,Reliever,Yes,Yes,9/1/2022,Yes,MIN
Alex Cobb,Starter,Yes,No,9/1/2022,Yes,SFG
Andrew Heaney,Starter,Yes,No,9/1/2022,Yes,LAD
Chad Kuhl,Starter,Yes,No,9/1/2022,Yes,COL
Chase Anderson,Reliever,Yes,No,9/1/2022,Yes,CIN
Chris Archer,Starter,Yes,No,9/1/2022,Yes,MIN
Corey Kluber,Starter,Yes,No,9/1/2022,Yes,TBR
Drew Smyly,Starter,Yes,No,9/1/2022,Yes,CHC
Dylan Bundy,Starter,Yes,No,9/1/2022,Yes,MIN
Eduardo Rodriguez,Starter,Yes,No,9/1/2022,Yes,DET
Garrett Richards,Reliever,Yes,No,8/1/2022,Yes,TEX
Johnny Cueto,Starter,Yes,No,9/1/2022,Yes,CHW
Jon Gray,Starter,Yes,No,9/1/2022,Yes,TEX
Jordan Lyles,Starter,Yes,No,9/1/2022,Yes,BAL
Kevin Gausman,Starter,Yes,No,9/1/2022,Yes,TOR
Marcus Stroman,Starter,Yes,No,9/1/2022,Yes,CHC
Matt Moore,Reliever,Yes,No,9/1/2022,Yes,TEX
Matthew Boyd,Reliever,Yes,No,9/1/2022,Yes,SEA
Max Scherzer,Starter,Yes,No,9/1/2022,Yes,NYM
Michael Pineda,Reliever,Yes,No,9/1/2022,Yes,DET
Michael Wacha,Starter,Yes,No,9/1/2022,Yes,BOS
Noah Syndergaard,Starter,Yes,Yes,9/1/2022,Yes,PHI
Rich Hill,Starter,Yes,No,9/1/2022,Yes,BOS
Robbie Ray,Starter,Yes,No,9/1/2022,Yes,SEA
Steven Brault,Reliever,Yes,No,8/1/2022,Yes,CHC
Steven Matz,Reliever,Yes,No,9/1/2022,Yes,STL
Tyler Anderson,Starter,Yes,No,9/1/2022,Yes,LAD
Vince Velasquez,Reliever,Yes,No,9/1/2022,Yes,CHW
Yusei Kikuchi,Starter,Yes,No,9/1/2022,Yes,TOR
Zach Davies,Starter,Yes,No,9/1/2022,Yes,ARI
Zack Greinke,Starter,Yes,No,9/1/2022,Yes,KCR
Adonis Medina,Reliever,Yes,No,9/1/2022,Yes,NYM
Cionel Perez,Reliever,Yes,No,9/1/2022,Yes,BAL
Daniel Castano,Reliever,No,No,7/1/2022,No,MIA
Dillon Peters,Reliever,No,No,8/1/2022,No,PIT
Drew Smith,Reliever,No,No,9/1/2022,No,NYM
Erik Swanson,Reliever,No,No,9/1/2022,No,SEA
Gabe Speier,Reliever,No,No,6/1/2022,No,KCR
Hunter Harvey,Reliever,No,No,9/1/2022,No,WSN
J.P. Feyereisen,Reliever,No,No,6/1/2022,No,TBR
Jalen Beeks,Reliever,No,No,9/1/2022,No,TBR
Jarlin Garcia,Reliever,No,No,9/1/2022,No,SFG
John Schreiber,Reliever,No,No,9/1/2022,No,BOS
Jorge Alcala,Reliever,No,No,4/1/2022,No,MIN
Jose Quijada,Reliever,No,No,9/1/2022,No,LAA
Justus Sheffield,Reliever,No,No,9/1/2022,No,SEA
Marcos Diplan,Reliever,No,No,5/1/2022,No,BAL
Mauricio Llovera,Reliever,No,No,7/1/2022,No,SFG
Mike Brosseau,Reliever,No,No,7/1/2022,No,MIL
Patrick Sandoval,Starter,No,No,9/1/2022,No,LAA
Phil Bickford,Reliever,No,No,9/1/2022,No,LAD
Ronald Bolanos,Reliever,No,No,6/1/2022,No,KCR
Ryan Borucki,Reliever,No,Yes,8/1/2022,Yes,SEA
Ryan Castellani,Reliever,No,No,4/1/2022,No,OAK
Ryan Helsley,Reliever,No,No,9/1/2022,No,STL
Ryan Thompson,Reliever,No,No,8/1/2022,No,TBR
Tanner Banks,Reliever,No,No,9/1/2022,No,CHW
Tanner Rainey,Reliever,No,No,7/1/2022,No,WSN
Trevor Stephan,Reliever,No,No,9/1/2022,No,CLE
Wyatt Mills,Reliever,No,Yes,9/1/2022,Yes,KCR
Zack Littell,Reliever,No,No,9/1/2022,No,SFG
A.J. Alexy,Reliever,No,No,9/1/2022,No,TEX
A.J. Ladwig,Reliever,No,No,8/1/2022,No,MIA
A.J. Minter,Reliever,No,No,9/1/2022,No,ATL
A.J. Puk,Reliever,No,No,9/1/2022,No,OAK
Aaron Ashby,Starter,No,No,9/1/2022,No,MIL
Aaron Brooks,Reliever,No,No,4/1/2022,No,STL
Aaron Bummer,Reliever,No,No,9/1/2022,No,CHW
Aaron Civale,Starter,No,No,9/1/2022,No,CLE
Aaron Fletcher,Reliever,No,No,7/1/2022,No,PIT
Aaron Loup,Reliever,No,No,9/1/2022,No,LAA
Aaron Nola,Starter,No,No,9/1/2022,No,PHI
Adam Cimber,Reliever,No,No,9/1/2022,No,TOR
Adam Kolarek,Reliever,No,No,5/1/2022,No,OAK
Adam Oller,Starter,No,No,9/1/2022,No,OAK
Adam Ottavino,Reliever,No,No,9/1/2022,No,NYM
Adam Wainwright,Starter,No,No,9/1/2022,No,STL
Adbert Alzolay,Reliever,No,No,9/1/2022,No,CHC
Adrian Houser,Starter,No,No,9/1/2022,No,MIL
Adrian Martinez,Starter,No,No,9/1/2022,No,OAK
Adrian Morejon,Reliever,No,No,9/1/2022,No,SDP
Adrian Sampson,Starter,No,No,9/1/2022,No,CHC
Albert Abreu,Reliever,No,Yes,9/1/2022,Yes,NYY
Albert Pujols,Reliever,No,No,5/1/2022,No,STL
Alcides Escobar,Reliever,No,No,7/1/2022,No,WSN
Alec Mills,Reliever,No,No,7/1/2022,No,CHC
Alejo Lopez,Reliever,No,No,9/1/2022,No,CIN
Alek Manoah,Starter,No,No,9/1/2022,No,TOR
Alex Claudio,Reliever,No,No,9/1/2022,No,NYM
Alex Colome,Reliever,No,No,9/1/2022,No,COL
Alex Faedo,Starter,No,No,7/1/2022,No,DET
Alex Lange,Reliever,No,No,9/1/2022,No,DET
Alex Vesia,Reliever,No,No,9/1/2022,No,LAD
Alex Wood,Starter,No,No,8/1/2022,No,SFG
Alex Young,Reliever,No,Yes,9/1/2022,Yes,SFG
Alexander Wells,Reliever,No,No,4/1/2022,No,BAL
Alexis Diaz,Reliever,No,No,9/1/2022,No,CIN
Amir Garrett,Reliever,No,No,9/1/2022,No,KCR
Anderson Espinoza,Reliever,No,No,8/1/2022,No,CHC
Anderson Severino,Reliever,No,No,4/1/2022,No,CHW
Andre Jackson,Reliever,No,No,9/1/2022,No,LAD
Andre Pallante,Reliever,No,No,9/1/2022,No,STL
Andrelton Simmons,Reliever,No,No,5/1/2022,No,CHC
Andres Machado,Reliever,No,No,9/1/2022,No,WSN
Andres Munoz,Reliever,No,No,9/1/2022,No,SEA
Andrew Bellatti,Reliever,No,No,9/1/2022,No,PHI
Andrew Chafin,Reliever,No,No,9/1/2022,No,DET
Andrew Kittredge,Reliever,No,No,6/1/2022,No,TBR
Andrew Knizner,Reliever,No,No,8/1/2022,No,STL
Andrew Nardi,Reliever,No,No,9/1/2022,No,MIA
Andrew Vasquez,Reliever,No,Yes,9/1/2022,Yes,SFG
Andrew Wantz,Reliever,No,No,9/1/2022,No,LAA
Aneurys Zabala,Reliever,No,No,8/1/2022,No,MIA
Angel De Jesus,Reliever,No,No,9/1/2022,No,DET
Angel Rondon,Reliever,No,No,5/1/2022,No,STL
Angel Zerpa,Reliever,No,No,7/1/2022,No,KCR
Anibal Sanchez,Starter,No,No,9/1/2022,No,WSN
Anthony Banda,Reliever,No,Yes,9/1/2022,Yes,NYY
Anthony Bass,Reliever,No,Yes,9/1/2022,Yes,TOR
Anthony Bender,Reliever,No,No,8/1/2022,No,MIA
Anthony Castro,Reliever,No,No,7/1/2022,No,CLE
Anthony DeSclafani,Reliever,No,No,6/1/2022,No,SFG
Anthony Gose,Reliever,No,No,7/1/2022,No,CLE
Anthony Kay,Reliever,No,No,4/1/2022,No,TOR
Anthony Misiewicz,Reliever,No,Yes,9/1/2022,Yes,KCR
Antonio Senzatela,Starter,No,No,8/1/2022,No,COL
Archie Bradley,Reliever,No,No,6/1/2022,No,LAA
Arodys Vizcaino,Reliever,No,No,6/1/2022,No,KCR
Aroldis Chapman,Reliever,No,No,9/1/2022,No,NYY
Art Warren,Reliever,No,No,9/1/2022,No,CIN
