Name,Team,Type,ChangedTeaminOffSeason
Aaron Fletcher,PIT,Reliever,Yes
Aaron Loup,LAA,Reliever,Yes
Adam Cimber,TOR,Reliever,Yes
Adam Ottavino,NYM,Reliever,Yes
Adonis Medina,NYM,Reliever,Yes
Alex Claudio,NYM,Reliever,Yes
Alex Cobb,SFG,Starter,Yes
Alex Colome,COL,Reliever,Yes
Amir Garrett,KCR,Reliever,Yes
Andrew Bellatti,PHI,Reliever,Yes
Andrew Chafin,DET,Reliever,Yes
Andrew Heaney,LAD,Starter,Yes
Anthony Castro,CLE,Reliever,Yes
Archie Bradley,LAA,Reliever,Yes
Ashton Goudeau,COL,Reliever,Yes
Austin Brice,PIT,Reliever,Yes
Austin Pruitt,OAK,Reliever,Yes
Austin Wynns,SFG,Reliever,Yes
Brad Hand,PHI,Reliever,Yes
Brooks Raley,TBR,Reliever,Yes
Bryan Baker,BAL,Reliever,Yes
Bryse Wilson,PIT,Starter,Yes
Buck Farmer,CIN,Reliever,Yes
Carl Edwards Jr.,WSN,Reliever,Yes
Carlos Rodon,SFG,Starter,Yes
Cesar Valdez,LAA,Reliever,Yes
Chad Kuhl,COL,Starter,Yes
Chase Anderson,CIN,Reliever,Yes
Chasen Shreve,NYM,Reliever,Yes
Chris Archer,MIN,Starter,Yes
Chris Bassitt,NYM,Starter,Yes
Chris Ellis,BAL,Reliever,Yes
Chris Paddack,MIN,Reliever,Yes
Cionel Perez,BAL,Reliever,Yes
Clay Holmes,NYY,Reliever,Yes
Cole Sulser,MIA,Reliever,Yes
Collin McHugh,ATL,Reliever,Yes
Conner Menez,CHC,Reliever,Yes
Connor Overton,CIN,Reliever,Yes
Cooper Criswell,TBR,Reliever,Yes
Corey Kluber,TBR,Starter,Yes
Corey Knebel,PHI,Reliever,Yes
Cory Abbott,WSN,Reliever,Yes
Craig Kimbrel,LAD,Reliever,Yes
Daniel Hudson,LAD,Reliever,Yes
Darin Ruf,NYM,Reliever,Yes
Darren O'Day,ATL,Reliever,Yes
Dennis Santana,TEX,Reliever,Yes
Diego Castillo,SEA,Reliever,Yes
Domingo Tapia,OAK,Reliever,Yes
Drew Rasmussen,TBR,Starter,Yes
Drew Smyly,CHC,Starter,Yes
Dusten Knight,TBR,Reliever,Yes
Dylan Bundy,MIN,Starter,Yes
Eduardo Rodriguez,DET,Starter,Yes
Edwin Uceta,ARI,Reliever,Yes
Emilio Pagan,MIN,Reliever,Yes
Enyel De Los Santos,CLE,Reliever,Yes
Erasmo Ramirez,WSN,Reliever,Yes
Evan Phillips,LAD,Reliever,Yes
Francisco Perez,WSN,Reliever,Yes
Garrett Richards,TEX,Reliever,Yes
Greg Holland,TEX,Reliever,Yes
Hansel Robles,BOS,Reliever,Yes
Hanser Alberto,LAD,Reliever,Yes
Hector Neris,HOU,Reliever,Yes
Hunter Harvey,WSN,Reliever,Yes
Hunter Strickland,CIN,Reliever,Yes
Ian Kennedy,ARI,Reliever,Yes
J.B. Wendelken,ARI,Reliever,Yes
J.P. Feyereisen,TBR,Reliever,Yes
JC Mejia,MIL,Reliever,Yes
JT Chargois,TBR,Reliever,Yes
Jack Mayfield,LAA,Reliever,Yes
Jakob Junis,SFG,Starter,Yes
James Norwood,PHI,Reliever,Yes
Jason Adam,TBR,Reliever,Yes
Javy Guerra,WSN,Reliever,Yes
Jay Jackson,ATL,Reliever,Yes
Jerad Eickhoff,PIT,Reliever,Yes
Jesus Luzardo,MIA,Starter,Yes
Jesus Tinoco,TEX,Reliever,Yes
Jhon Romero,MIN,Reliever,Yes
Jimmy Herget,LAA,Reliever,Yes
Joe Kelly,CHW,Reliever,Yes
Joe Smith,MIN,Reliever,Yes
Joely Rodriguez,NYM,Reliever,Yes
Joey Krehbiel,BAL,Reliever,Yes
Johnny Cueto,CHW,Starter,Yes
Jon Gray,TEX,Starter,Yes
Jordan Lyles,BAL,Starter,Yes
