#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
61,Daniel Lynch,KCR,1,2,0,6,6,32.0,6.75,2.81,1.13,.314,77.3%,41.0%,10.0%,94.2,3.94, ,4.27,4.50,0.3,5,8
62,Martin Perez,TEX,1,3,0,6,6,34.0,9.79,5.03,1.06,.315,73.8%,49.5%,15.4%,92.9,4.24, ,4.23,3.83,0.3,5,8
63,Dylan Cease,CHW,1,2,0,5,5,30.1,8.60,3.56,1.48,.157,81.0%,28.4%,11.4%,97.0,3.26, ,4.53,4.54,0.3,5,8
64,Marcus Stroman,CHC,0,1,0,6,6,34.0,6.09,2.91,1.06,.269,65.1%,62.0%,16.0%,93.4,3.97, ,4.35,3.91,0.2,5,8
65,Tommy Henry,ARI,3,3,0,6,6,31.2,6.54,4.55,0.85,.295,71.4%,41.7%,8.1%,91.5,4.83, ,4.60,5.10,0.2,5,8
66,Kris Bubic,KCR,0,4,0,6,6,31.0,6.68,4.06,1.16,.382,70.0%,38.1%,11.4%,92.3,5.52, ,4.66,4.66,0.2,5,8
67,Marco Gonzales,SEA,4,2,0,6,6,33.2,5.35,2.14,1.07,.339,70.2%,41.9%,8.5%,89.1,5.08, ,4.45,4.97,0.2,5,8
68,Miles Mikolas,STL,2,2,0,6,6,36.0,6.00,1.00,1.75,.287,56.8%,47.1%,18.9%,93.9,5.75, ,4.72,3.72,0.2,5,8
69,Brandon Woodruff,MIL,0,0,0,5,5,30.0,9.30,2.40,1.80,.253,93.5%,33.3%,16.7%,96.6,2.70, ,4.45,3.62,0.2,5,8
70,Adam Oller,OAK,1,2,0,5,5,29.2,3.64,3.94,0.61,.247,79.5%,33.3%,4.2%,93.2,3.03, ,4.50,6.01,0.2,5,8
71,Jose Urquidy,HOU,3,1,0,5,5,31.2,8.24,1.99,1.71,.205,89.4%,35.7%,15.4%,93.5,3.13, ,4.79,4.15,0.1,5,8
72,James Kaprielian,OAK,1,4,0,6,6,29.0,7.14,5.28,0.93,.330,63.5%,29.6%,6.0%,94.3,5.59, ,4.73,5.94,0.1,5,8
73,Alex Wood,SFG,1,4,0,6,6,30.0,9.60,1.50,1.80,.337,49.2%,39.6%,16.2%,90.6,8.40, ,4.78,4.01,0.1,5,8
74,Mike Clevinger,SDP,3,2,0,6,6,32.0,5.63,3.09,1.41,.235,80.0%,26.2%,9.3%,93.1,3.94, ,5.21,5.67,0.1,5,8
75,Corey Kluber,TBR,2,1,0,5,5,29.2,7.28,0.61,2.12,.297,77.2%,33.3%,15.9%,88.8,4.85, ,4.87,3.99,0.1,5,8
76,Eric Lauer,MIL,3,2,0,5,5,30.0,6.60,4.20,1.50,.247,90.9%,33.7%,13.5%,93.1,3.00, ,5.21,4.87,0.0,5,8
77,Tyler Alexander,DET,1,4,0,6,6,30.2,5.28,2.05,1.76,.283,67.5%,34.3%,14.3%,90.0,5.58, ,5.17,4.65,-0.1,5,8
78,Kutter Crawford,BOS,1,3,0,6,6,29.2,8.19,3.94,1.82,.375,60.5%,34.4%,14.3%,94.0,7.58, ,5.34,4.80,-0.1,5,8
79,Zach Davies,ARI,0,0,0,6,6,28.1,5.72,3.81,1.59,.217,85.7%,48.2%,15.6%, ,3.49, ,5.41,4.79,-0.1,5,8
80,Jameson Taillon,NYY,2,2,0,6,6,31.2,7.11,1.99,2.27,.195,67.3%,46.3%,22.9%,93.8,4.83, ,5.48,3.83,-0.2,5,8
81,Jose Urena,COL,2,2,0,6,6,29.0,5.59,4.66,1.86,.309,64.9%,51.0%,18.2%,96.2,7.14, ,6.11,5.11,-0.2,5,8
82,Ryan Feltner,COL,1,3,0,6,6,30.0,6.90,3.90,2.10,.284,68.2%,42.1%,18.9%,94.2,6.00, ,5.91,4.71,-0.2,5,8
83,Anibal Sanchez,WSN,1,2,0,6,6,30.2,5.58,4.40,2.05,.200,87.0%,37.8%,18.4%,89.5,3.82, ,6.60,5.47,-0.3,5,8
