#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
61,Eric Lauer,MIL,1,0,0,5,5,27.1,8.89,3.95,1.32,.235,83.3%,30.6%,10.5%,93.1,2.96, ,4.36,4.51,0.2,4,2022-07-01
62,Dylan Bundy,MIN,2,1,0,5,5,24.1,7.77,2.22,1.48,.300,59.1%,36.5%,12.5%,89.2,5.92, ,4.26,4.07,0.2,4,2022-07-01
63,Miles Mikolas,STL,3,3,0,6,6,37.2,5.26,1.67,1.43,.239,72.8%,46.6%,15.0%,93.6,3.58, ,4.57,4.07,0.2,4,2022-07-01
64,Kyle Wright,ATL,4,0,0,5,5,30.2,7.04,1.76,1.47,.272,90.0%,53.1%,20.0%,95.1,2.64, ,4.35,3.44,0.2,4,2022-07-01
65,Zach Thompson,PIT,0,3,0,5,5,27.0,4.67,3.00,1.00,.326,61.9%,45.9%,10.3%,92.0,6.33, ,4.52,4.67,0.2,4,2022-07-01
66,Martin Perez,TEX,3,0,0,5,5,31.2,8.53,3.41,1.42,.229,83.3%,53.4%,17.9%,92.5,3.41, ,4.50,3.76,0.2,4,2022-07-01
67,Tyler Wells,BAL,1,2,0,5,5,25.0,9.00,2.52,1.80,.309,65.4%,31.5%,14.7%,93.4,5.76, ,4.55,3.97,0.2,4,2022-07-01
68,Chris Flexen,SEA,3,0,0,5,5,27.2,5.86,3.90,0.98,.217,94.0%,33.7%,8.6%,92.2,1.95, ,4.63,5.09,0.2,4,2022-07-01
69,Sonny Gray,MIN,2,2,0,5,5,24.1,7.40,2.96,1.11,.311,65.1%,39.5%,11.1%,92.5,5.92, ,4.55,4.59,0.1,4,2022-07-01
70,Jordan Montgomery,NYY,0,2,0,6,6,29.1,10.13,2.76,1.84,.308,71.9%,40.7%,20.0%,93.2,4.91, ,4.44,3.30,0.1,4,2022-07-01
71,Jordan Lyles,BAL,3,1,0,6,6,32.2,7.44,3.31,1.38,.292,84.6%,32.0%,10.4%,91.9,3.58, ,4.64,4.83,0.1,4,2022-07-01
72,Lance Lynn,CHW,0,3,0,6,6,31.2,9.09,1.99,1.99,.308,58.5%,36.7%,17.5%,92.6,6.54, ,4.82,3.82,0.1,4,2022-07-01
73,Kris Bubic,KCR,1,1,0,6,6,35.2,7.07,4.04,1.26,.248,80.0%,46.7%,13.2%,91.5,3.28, ,4.80,4.55,0.1,4,2022-07-01
74,Adam Wainwright,STL,1,3,0,5,5,32.1,6.40,2.23,1.67,.231,80.4%,46.4%,18.8%,88.4,3.90, ,5.03,4.08,0.0,4,2022-07-01
75,Robbie Ray,SEA,2,2,0,5,5,25.0,12.24,2.88,2.52,.362,80.2%,47.7%,38.9%,94.2,5.40, ,4.99,2.42,0.0,4,2022-07-01
76,Joe Ryan,MIN,1,1,0,5,5,26.2,9.11,2.70,2.36,.212,69.3%,26.4%,16.3%,91.6,5.06, ,5.51,4.49,-0.1,4,2022-07-01
77,Glenn Otto,TEX,0,4,0,6,6,29.2,6.98,3.64,1.52,.282,66.7%,51.7%,15.6%,91.9,5.76, ,5.47,4.88,-0.1,4,2022-07-01
78,Josiah Gray,WSN,1,3,0,5,5,26.2,12.15,3.38,3.04,.328,73.9%,37.0%,24.3%,94.8,6.75, ,6.04,3.71,-0.2,4,2022-07-01
79,Kyle Gibson,PHI,2,1,0,5,5,27.1,5.27,2.63,1.98,.207,74.2%,37.5%,13.6%,92.1,4.94, ,6.00,5.53,-0.2,4,2022-07-01
80,Sean Manaea,SDP,3,2,0,5,5,25.0,7.92,3.96,2.52,.321,69.3%,40.5%,23.3%, ,5.40, ,6.31,4.45,-0.3,4,2022-07-01
