#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
31,Luis Severino,NYY,1,2,0,5,5,30.0,12.00,3.00,1.20,.242,76.9%,41.5%,13.8%,95.8,3.30, ,3.18,2.88,0.6,3,2022-06-01
32,Chris Bassitt,NYM,2,3,0,5,5,30.2,10.27,2.05,1.17,.299,59.9%,45.0%,12.9%,93.9,4.70, ,3.21,3.01,0.6,3,2022-06-01
33,Chad Kuhl,COL,1,3,0,5,5,29.1,5.83,3.38,0.61,.293,75.3%,37.2%,5.3%,92.1,3.38, ,3.83,4.86,0.6,3,2022-06-01
34,Hunter Greene,CIN,1,3,0,6,6,29.2,11.22,2.43,1.52,.284,59.3%,19.7%,12.5%,98.5,5.46, ,3.82,3.63,0.6,3,2022-06-01
35,Jameson Taillon,NYY,4,0,0,6,6,33.1,8.10,1.62,1.08,.350,73.1%,34.9%,10.5%,94.1,4.59, ,3.59,3.72,0.6,3,2022-06-01
36,Joe Musgrove,SDP,3,2,0,5,5,34.0,9.00,2.12,1.32,.207,83.3%,55.2%,22.7%,93.3,2.91, ,3.82,2.87,0.6,3,2022-06-01
37,Chris Flexen,SEA,2,2,0,6,6,33.0,5.73,3.27,0.55,.312,73.0%,25.7%,3.6%,91.6,4.09, ,3.72,5.40,0.6,3,2022-06-01
38,Corey Kluber,TBR,2,2,0,5,5,28.1,7.62,0.95,1.27,.238,79.4%,31.3%,10.0%,88.2,2.54, ,3.68,3.93,0.6,3,2022-06-01
39,Charlie Morton,ATL,1,0,0,5,5,30.2,13.21,2.35,1.47,.292,82.1%,45.7%,25.0%,95.3,3.52, ,3.37,2.22,0.5,3,2022-06-01
40,Merrill Kelly,ARI,3,2,0,5,5,30.0,7.20,3.00,0.60,.279,69.3%,51.1%,7.1%,92.7,3.60, ,3.38,3.90,0.5,3,2022-06-01
41,Sean Manaea,SDP,1,0,0,5,5,29.0,9.00,3.72,0.93,.270,71.4%,36.5%,9.4%, ,3.72, ,3.70,3.99,0.5,3,2022-06-01
42,Frankie Montas,OAK,1,3,0,5,5,31.0,8.13,2.61,0.87,.303,66.1%,44.0%,9.4%,96.6,3.19, ,3.44,3.71,0.5,3,2022-06-01
43,Tyler Anderson,LAD,2,1,0,5,5,28.1,6.04,2.22,0.64,.262,67.3%,41.9%,5.7%,91.1,3.81, ,3.75,4.66,0.5,3,2022-06-01
44,Jordan Montgomery,NYY,2,0,0,5,5,32.0,6.47,1.41,0.84,.260,72.3%,51.5%,11.1%,92.8,3.66, ,3.64,3.67,0.5,3,2022-06-01
45,Alex Wood,SFG,2,3,0,6,6,30.1,7.71,2.08,0.89,.310,60.3%,50.0%,11.1%, ,5.34, ,3.57,3.61,0.5,3,2022-06-01
46,Framber Valdez,HOU,3,1,0,5,5,32.0,8.44,3.09,0.84,.253,76.2%,69.8%,17.6%,93.0,2.81, ,3.68,3.24,0.5,3,2022-06-01
47,Michael Wacha,BOS,3,0,0,5,5,29.2,6.98,2.43,0.91,.295,79.9%,38.5%,9.1%,93.5,3.03, ,3.79,4.12,0.5,3,2022-06-01
48,Tony Gonsolin,LAD,4,0,0,5,5,29.0,7.76,2.17,0.93,.155,100.0%,33.8%,8.3%,93.1,1.24, ,3.66,4.16,0.4,3,2022-06-01
49,Robbie Ray,SEA,2,1,0,6,6,37.0,9.00,3.16,0.97,.233,87.6%,44.7%,9.3%,93.4,2.19, ,3.82,4.13,0.4,3,2022-06-01
50,Dakota Hudson,STL,3,2,0,6,6,35.1,4.84,3.31,0.51,.278,64.8%,52.3%,6.9%,92.1,4.58, ,3.96,4.44,0.4,3,2022-06-01
51,Zach Plesac,CLE,1,1,0,5,5,30.0,7.20,2.10,0.90,.238,86.3%,39.1%,8.3%,92.6,2.10, ,3.71,4.19,0.4,3,2022-06-01
52,Graham Ashcraft,CIN,3,2,0,6,6,33.0,6.55,1.36,1.36,.296,64.9%,53.6%,18.5%,97.2,5.45, ,4.26,3.51,0.4,3,2022-06-01
53,Logan Gilbert,SEA,4,1,0,6,6,35.2,8.07,2.02,1.26,.311,81.6%,34.0%,11.4%,96.4,3.28, ,3.81,3.82,0.4,3,2022-06-01
54,JT Brubaker,PIT,2,3,0,6,6,34.1,8.39,2.62,1.05,.349,73.4%,42.5%,10.0%,92.6,4.46, ,3.99,4.20,0.4,3,2022-06-01
55,Tarik Skubal,DET,2,4,0,6,6,32.1,9.46,3.34,1.11,.333,61.9%,45.1%,11.8%,94.0,5.85, ,3.82,3.77,0.4,3,2022-06-01
56,Justin Steele,CHC,2,0,0,5,5,29.2,6.37,2.73,0.91,.301,78.2%,60.0%,15.0%,92.3,3.03, ,3.92,3.61,0.4,3,2022-06-01
57,Ranger Suarez,PHI,2,2,0,5,5,31.0,6.39,3.19,0.87,.283,69.8%,61.7%,14.3%,93.2,3.77, ,4.02,3.76,0.4,3,2022-06-01
58,Madison Bumgarner,ARI,1,5,0,6,6,31.0,7.55,2.90,0.87,.381,72.8%,43.9%,8.3%,91.1,4.06, ,3.85,4.32,0.4,3,2022-06-01
59,Jeffrey Springs,TBR,1,0,0,5,5,26.2,10.80,2.03,1.69,.324,92.3%,40.3%,18.5%,91.5,3.04, ,3.83,2.89,0.4,3,2022-06-01
60,Jose Quintana,PIT,0,2,0,6,6,30.0,8.70,2.40,1.50,.337,75.0%,36.6%,15.2%,91.3,4.80, ,4.15,3.61,0.4,3,2022-06-01
