#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
1,Kevin Gausman,TOR,1,1,0,4,4,24.2,11.31,0.00,0.00,.391,72.0%,38.1%,0.0%,94.6,2.19, ,0.60,1.86,1.5,1,2022-04-01
2,Carlos Rodon,SFG,3,0,0,4,4,23.0,14.87,3.13,0.00,.268,85.0%,34.1%,0.0%,96.3,1.17, ,0.98,2.40,1.3,1,2022-04-01
3,Kyle Wright,ATL,3,0,0,4,4,24.0,12.75,2.25,0.00,.286,87.0%,52.1%,0.0%,95.4,1.13, ,1.40,2.27,1.1,1,2022-04-01
4,Pablo Lopez,MIA,3,0,0,4,4,23.1,8.87,1.54,0.00,.224,94.1%,44.8%,0.0%,93.0,0.39, ,1.66,2.73,1.0,1,2022-04-01
5,Merrill Kelly,ARI,2,1,0,5,5,28.1,8.26,2.22,0.00,.275,86.7%,46.3%,0.0%,92.4,1.27, ,2.12,3.54,1.0,1,2022-04-01
6,Clayton Kershaw,LAD,3,0,0,4,4,23.0,11.74,0.78,0.78,.240,77.5%,48.1%,10.0%,90.9,2.35, ,2.03,2.18,0.9,1,2022-04-01
7,Max Scherzer,NYM,3,0,0,4,4,25.0,11.88,2.88,0.36,.196,80.6%,35.3%,4.0%,94.2,1.80, ,2.07,3.03,0.9,1,2022-04-01
8,Tarik Skubal,DET,1,2,0,4,4,20.2,8.71,1.31,0.00,.354,53.8%,50.8%,0.0%,94.5,3.92, ,1.61,2.97,0.9,1,2022-04-01
9,Joe Musgrove,SDP,3,0,0,4,4,25.0,9.00,0.72,0.72,.273,67.7%,43.9%,10.0%,92.3,2.16, ,2.39,2.54,0.9,1,2022-04-01
10,Max Fried,ATL,2,2,0,4,4,24.0,7.88,0.38,0.38,.290,66.4%,55.1%,5.6%,94.9,3.00, ,2.28,2.85,0.8,1,2022-04-01
11,Tyler Mahle,CIN,1,3,0,5,5,22.1,9.67,4.43,0.00,.388,54.1%,35.8%,0.0%,93.5,6.45, ,2.44,4.23,0.8,1,2022-04-01
12,Miles Mikolas,STL,1,1,0,5,5,29.2,7.58,1.21,0.61,.229,90.9%,45.9%,6.1%,93.1,1.52, ,2.91,3.68,0.8,1,2022-04-01
13,Tylor Megill,NYM,4,0,0,5,5,28.0,8.68,1.93,0.64,.222,84.9%,44.4%,8.3%,95.8,1.93, ,2.76,3.10,0.8,1,2022-04-01
14,Logan Webb,SFG,3,1,0,5,5,30.1,5.93,1.78,0.30,.323,74.5%,61.6%,4.8%,92.6,3.26, ,2.82,3.41,0.7,1,2022-04-01
15,Logan Gilbert,SEA,3,0,0,4,4,22.1,8.87,1.61,0.40,.246,96.8%,37.9%,4.5%,95.7,0.40, ,2.40,3.27,0.7,1,2022-04-01
16,Eric Lauer,MIL,2,0,0,4,4,23.1,13.11,1.93,1.16,.294,90.4%,28.8%,12.0%,94.1,1.93, ,2.51,2.43,0.7,1,2022-04-01
17,Dylan Cease,CHW,2,1,0,4,4,22.0,11.45,4.09,0.41,.283,73.2%,50.9%,5.6%,96.6,3.27, ,2.52,3.14,0.7,1,2022-04-01
18,Jesus Luzardo,MIA,2,1,0,4,4,20.1,12.39,3.98,0.44,.273,68.0%,35.6%,6.3%,97.3,3.10, ,2.33,2.85,0.7,1,2022-04-01
19,Martin Perez,TEX,0,2,0,4,4,21.0,6.86,2.14,0.00,.267,65.2%,55.0%,0.0%,93.0,3.00, ,2.59,3.79,0.6,1,2022-04-01
20,Shane McClanahan,TBR,1,2,0,5,5,27.0,14.00,2.33,1.33,.302,80.4%,56.1%,26.7%,97.5,3.00, ,2.82,1.71,0.6,1,2022-04-01
21,Shane Bieber,CLE,1,1,0,5,5,29.1,8.90,1.84,0.92,.250,79.8%,39.0%,9.7%,91.4,2.45, ,3.08,3.31,0.6,1,2022-04-01
22,Justin Verlander,HOU,2,1,0,4,4,26.0,9.69,1.38,1.04,.190,94.6%,36.7%,10.7%,95.2,1.73, ,3.04,3.13,0.6,1,2022-04-01
23,Joe Ryan,MIN,3,1,0,4,4,23.0,9.78,2.35,0.78,.163,98.6%,36.7%,7.4%,92.4,1.17, ,2.98,3.59,0.6,1,2022-04-01
24,Corbin Burnes,MIL,1,0,0,4,4,25.2,11.57,2.10,1.05,.196,95.2%,44.4%,16.7%, ,1.75, ,3.00,2.52,0.6,1,2022-04-01
25,Chris Bassitt,NYM,3,1,0,4,4,24.0,9.75,2.63,0.75,.232,84.9%,45.6%,8.7%,92.5,2.25, ,3.15,3.49,0.6,1,2022-04-01
26,Sean Manaea,SDP,2,2,0,5,5,30.0,9.00,3.30,0.90,.234,68.3%,40.0%,8.6%, ,3.60, ,3.51,3.94,0.5,1,2022-04-01
27,Alek Manoah,TOR,4,0,0,4,4,25.0,9.00,2.52,0.72,.210,94.1%,34.4%,6.3%,94.3,1.44, ,3.11,3.97,0.5,1,2022-04-01
28,Sandy Alcantara,MIA,2,0,0,4,4,25.1,7.11,3.55,0.36,.284,84.5%,50.0%,4.3%,97.5,1.78, ,3.35,4.18,0.5,1,2022-04-01
29,Walker Buehler,LAD,2,1,0,4,4,24.2,7.66,2.19,0.73,.261,82.6%,41.4%,6.9%,95.2,2.55, ,3.32,4.00,0.5,1,2022-04-01
30,Dylan Bundy,MIN,3,1,0,4,4,21.1,8.02,1.27,0.84,.250,75.6%,48.4%,9.1%,89.7,2.95, ,2.97,3.28,0.5,1,2022-04-01
