#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,MonthSeason,MonthYear
31,Cal Quantrill,CLE,1,2,0,5,5,31.2,6.54,2.56,0.57,.293,72.6%,36.6%,5.0%,93.5,3.69, ,3.52,4.57,0.6,2,5
32,Kyle Freeland,COL,1,2,0,6,6,33.2,6.68,3.48,0.80,.321,71.1%,42.2%,7.7%,90.2,4.28, ,4.12,4.68,0.5,2,5
33,Alex Cobb,SFG,2,2,0,6,6,28.1,10.48,3.18,0.95,.397,52.8%,64.2%,20.0%,95.0,6.04, ,3.22,2.63,0.5,2,5
34,Justin Verlander,HOU,4,1,0,5,5,31.2,7.67,1.71,1.42,.229,95.8%,39.1%,13.5%,94.8,2.27, ,4.12,3.80,0.5,2,5
35,Pablo Lopez,MIA,1,2,0,6,6,35.2,9.59,2.78,1.26,.275,85.3%,46.9%,14.7%,92.7,2.78, ,3.73,3.32,0.5,2,5
36,Logan Gilbert,SEA,2,2,0,6,6,36.2,9.33,3.44,0.98,.258,75.5%,38.5%,11.1%,96.0,3.44, ,3.77,3.80,0.5,2,5
37,Logan Webb,SFG,2,0,0,5,5,31.0,8.71,2.32,1.16,.250,73.9%,54.2%,17.4%,92.7,3.77, ,3.82,3.24,0.4,2,5
38,Miles Mikolas,STL,2,2,0,5,5,31.0,6.39,2.32,0.87,.292,72.6%,41.8%,9.7%,93.5,3.77, ,3.82,4.05,0.4,2,5
39,Drew Rasmussen,TBR,4,1,0,6,6,28.2,8.16,2.83,0.94,.269,76.4%,54.3%,14.3%,95.5,3.45, ,3.60,3.33,0.4,2,5
40,Charlie Morton,ATL,2,1,0,6,6,31.1,8.90,3.16,0.86,.326,70.1%,33.0%,8.8%,95.2,4.60, ,3.91,4.27,0.4,2,5
41,Jordan Montgomery,NYY,1,0,0,6,6,33.1,7.02,1.08,1.35,.274,82.8%,47.0%,16.7%,92.5,3.24, ,3.95,3.34,0.4,2,5
42,Adam Wainwright,STL,3,1,0,5,5,32.0,6.19,2.25,0.84,.189,88.2%,45.2%,8.1%,88.7,1.69, ,3.71,4.20,0.4,2,5
43,Triston McKenzie,CLE,3,2,0,5,5,34.0,7.41,1.85,1.32,.157,94.7%,26.1%,10.6%,92.4,2.12, ,4.08,4.22,0.4,2,5
44,Dane Dunning,TEX,0,2,0,5,5,28.1,9.53,3.81,0.95,.325,69.6%,54.4%,13.6%, ,4.76, ,3.85,3.63,0.4,2,5
45,Robbie Ray,SEA,2,3,0,5,5,30.1,12.46,2.67,1.78,.294,65.2%,32.9%,19.4%,93.9,5.34, ,3.90,2.85,0.4,2,5
46,German Marquez,COL,1,4,0,5,5,29.0,8.38,3.41,1.24,.364,56.6%,48.9%,13.3%,95.2,6.83, ,4.29,4.02,0.4,2,5
47,Kyle Wright,ATL,1,3,0,5,5,29.2,8.19,3.64,0.91,.263,67.1%,51.8%,12.0%,95.5,3.94, ,3.92,3.86,0.3,2,5
48,Paul Blackburn,OAK,2,1,0,6,6,34.1,6.03,2.62,0.79,.238,83.8%,47.1%,9.7%,91.7,2.62, ,4.05,4.25,0.3,2,5
49,Erick Fedde,WSN,2,2,0,6,6,29.0,7.14,4.66,0.93,.302,80.4%,44.3%,9.1%, ,3.72, ,4.42,4.76,0.3,2,5
50,Ranger Suarez,PHI,2,3,0,6,6,29.2,9.10,4.25,1.21,.321,69.3%,50.6%,14.8%,93.7,4.85, ,4.36,3.96,0.3,2,5
51,Carlos Rodon,SFG,1,4,0,5,5,27.0,8.67,4.00,1.00,.359,67.0%,38.8%,10.7%,96.4,5.67, ,3.96,4.06,0.3,2,5
52,Julio Urias,LAD,2,4,0,6,6,35.0,6.94,1.03,1.80,.294,83.3%,36.2%,14.6%,93.0,3.09, ,4.51,3.94,0.3,2,5
53,Tyler Mahle,CIN,1,2,0,6,6,31.1,9.77,4.31,1.44,.215,64.5%,33.7%,12.5%,93.9,4.88, ,4.55,4.37,0.3,2,5
54,Ian Anderson,ATL,1,2,0,5,5,28.1,6.04,3.81,0.95,.276,74.7%,40.0%,9.1%,93.6,4.13, ,4.42,4.77,0.3,2,5
55,Luis Severino,NYY,1,1,0,5,5,29.0,9.93,2.17,1.55,.247,80.8%,36.0%,15.2%,96.2,3.41, ,4.18,3.63,0.2,2,5
56,Lucas Giolito,CHW,3,1,0,5,5,28.1,11.75,3.49,1.91,.354,85.4%,32.9%,21.4%,93.4,4.13, ,4.42,3.13,0.2,2,5
57,Zach Davies,ARI,1,2,0,6,6,30.0,6.90,2.70,1.50,.264,65.6%,40.0%,13.5%, ,4.50, ,4.75,4.41,0.2,2,5
58,Patrick Corbin,WSN,1,4,0,6,6,34.2,6.49,2.86,1.56,.331,65.8%,53.2%,19.4%,91.8,5.97, ,4.96,4.03,0.2,2,5
59,Jakob Junis,SFG,1,1,0,5,5,27.0,5.67,2.00,1.33,.222,76.9%,44.7%,13.8%, ,3.67, ,4.56,4.22,0.1,2,5
60,Zack Greinke,KCR,0,3,0,6,6,29.2,5.76,2.12,1.82,.317,58.5%,42.7%,13.6%,88.6,6.67, ,5.17,4.74,0.1,2,5
