Name,Type,Team,CSW%,diff
Aaron Sanchez,Reliever,MIN,0.2535,
Aaron Sanchez,Reliever,WSN,0.257,0.003500000000000003
Albert Abreu,Reliever,'- - -,0.298,-0.0
Albert Abreu,Reliever,NYY,0.2649999999999999,-0.0615
Albert Abreu,Reliever,TEX,0.2365,-0.028499999999999914
Alex Young,Reliever,CLE,0.333,-0.0
Alex Young,Reliever,SFG,0.2905,-0.04250000000000004
Andrew Vasquez,Reliever,SFG,0.314,-0.0
Andrew Vasquez,Reliever,TOR,0.3993333333333333,0.08533333333333332
Anthony Banda,Reliever,NYY,0.251,-0.0
Anthony Banda,Reliever,PIT,0.2833333333333333,-0.022999999999999993
Anthony Banda,Reliever,TOR,0.228,-0.05533333333333332
Anthony Bass,Reliever,MIA,0.318,-0.0
Anthony Bass,Reliever,TOR,0.3275,0.009500000000000008
Anthony Misiewicz,Reliever,KCR,0.323,-0.0
Anthony Misiewicz,Reliever,SEA,0.1813333333333333,-0.14166666666666672
Austin Davis,Reliever,BOS,0.2761999999999999,-0.0
Austin Davis,Reliever,MIN,0.278,0.0018000000000001348
Austin Voth,Starter,BAL,0.2645,-0.0
Austin Voth,Starter,WSN,0.2555,-0.009000000000000008
Beau Sulser,Reliever,'- - -,0.266,-0.0
Beau Sulser,Reliever,BAL,0.171,-0.02200000000000002
Beau Sulser,Reliever,PIT,0.244,0.07299999999999998
Chi Chi Gonzalez,Reliever,'- - -,0.265,-0.0
Chi Chi Gonzalez,Reliever,MIL,0.293,-0.018000000000000016
Chi Chi Gonzalez,Reliever,NYY,0.247,-0.045999999999999985
Chris Devenski,Reliever,ARI,0.296,-0.0
Chris Devenski,Reliever,PHI,0.299,0.0030000000000000027
Chris Martin,Reliever,CHC,0.26675,-0.0
Chris Martin,Reliever,LAD,0.3135,0.046750000000000014
Chris Stratton,Reliever,PIT,0.282,-0.0
Chris Stratton,Reliever,STL,0.2605,-0.021499999999999964
Christian Bethancourt,Reliever,OAK,0.083,-0.0
Christian Bethancourt,Reliever,TBR,0.3095,0.22649999999999998
Colin Holderman,Reliever,NYM,0.2846666666666667,-0.0
Colin Holderman,Reliever,PIT,0.178,-0.10666666666666669
Dallas Keuchel,Starter,ARI,0.2535,-0.0
Dallas Keuchel,Starter,CHW,0.2309999999999999,0.013999999999999901
Dallas Keuchel,Starter,TEX,0.2674999999999999,0.036500000000000005
Daniel Norris,Reliever,CHC,0.3125,-0.0
Daniel Norris,Reliever,DET,0.304,-0.008500000000000008
Danny Young,Reliever,ATL,0.333,-0.0
Danny Young,Reliever,SEA,0.427,0.09399999999999997
David McKay,Reliever,'- - -,0.204,-0.0
David McKay,Reliever,NYY,0.286,0.08199999999999999
David Robertson,Reliever,CHC,0.345,-0.0
David Robertson,Reliever,PHI,0.3115,-0.033499999999999974
Derek Law,Reliever,'- - -,0.269,-0.0
Derek Law,Reliever,CIN,0.282,-0.0
Derek Law,Reliever,DET,0.269,-0.012999999999999956
Diego Castillo,Reliever,PIT,0.2205,-0.0
Diego Castillo,Reliever,SEA,0.2779999999999999,0.05749999999999991
Dinelson Lamet,Reliever,COL,0.3289999999999999,-0.0
Dinelson Lamet,Reliever,SDP,0.3083333333333333,-0.02066666666666661
Eric Stout,Reliever,CHC,0.305,-0.0
Eric Stout,Reliever,PIT,0.3,-0.0050000000000000044
Foster Griffin,Reliever,KCR,0.2985,-0.0
Foster Griffin,Reliever,TOR,0.296,-0.0025000000000000022
Frankie Montas,Starter,NYY,0.253,-0.0
Frankie Montas,Starter,OAK,0.248,-0.0050000000000000044
Garrett Cleavinger,Reliever,LAD,0.3186666666666666,-0.0
Garrett Cleavinger,Reliever,TBR,0.3695,0.0508333333333334
Heath Hembree,Reliever,LAD,0.264,-0.0
Heath Hembree,Reliever,PIT,0.27,0.006000000000000005
Ian Gibaut,Reliever,CIN,0.2883333333333334,-0.0
Ian Gibaut,Reliever,CLE,0.286,-0.0023333333333334094
Jacob Barnes,Reliever,DET,0.1989999999999999,-0.0
Jacob Barnes,Reliever,NYY,0.32,-0.05399999999999988
Jake Diekman,Reliever,BOS,0.3027499999999999,-0.0
Jake Diekman,Reliever,CHW,0.304,0.12100000000000011
Jake McGee,Reliever,'- - -,0.2195,-0.0
Jake McGee,Reliever,SFG,0.222,0.0012500000000000844
Jake McGee,Reliever,WSN,0.161,-0.0
Jake Odorizzi,Starter,ATL,0.2385,-0.058499999999999996
Jake Odorizzi,Starter,HOU,0.2303333333333333,-0.061
Jake Reed,Reliever,'- - -,0.347,-0.0
Jake Reed,Reliever,BAL,0.301,-0.008166666666666683
Jake Reed,Reliever,LAD,0.143,-0.0
Jake Reed,Reliever,NYM,0.279,-0.06799999999999995
Javy Guerra,Reliever,'- - -,0.217,-0.021999999999999964
Javy Guerra,Reliever,TBR,0.2565,0.13600000000000004
Jesse Chavez,Reliever,'- - -,0.292,-0.0
Jesse Chavez,Reliever,ATL,0.32275,0.03950000000000001
Jesse Chavez,Reliever,LAA,0.263,-0.0
Jeurys Familia,Reliever,BOS,0.2275,-0.02899999999999997
Jeurys Familia,Reliever,PHI,0.29275,-0.05974999999999997
Jharel Cotton,Reliever,MIN,0.2912,-0.0
Jharel Cotton,Reliever,SFG,0.264,0.06525
Jimmy Yacabonis,Reliever,MIA,0.3675,-0.0
Jimmy Yacabonis,Reliever,TBR,0.287,-0.027200000000000002
Joel Payamps,Reliever,'- - -,0.196,-0.0
Joel Payamps,Reliever,KCR,0.2455,-0.08050000000000002
Joel Payamps,Reliever,OAK,0.246,-0.0
Johan Oviedo,Reliever,PIT,0.249,0.13199999999999992
Johan Oviedo,Reliever,STL,0.31,-0.0
JoJo Romero,Reliever,PHI,0.206,0.04999999999999999
JoJo Romero,Reliever,STL,0.3379999999999999,0.0005000000000000004
Jordan Montgomery,Starter,NYY,0.29825,-0.0
Jordan Montgomery,Starter,STL,0.2615,0.061
Jorge Lopez,Reliever,BAL,0.30125,-0.0
Jorge Lopez,Reliever,MIN,0.2905,-0.036750000000000005
Jose Quintana,Starter,PIT,0.25975,-0.0
Jose Quintana,Starter,STL,0.241,-0.010750000000000037
Jose Urena,Starter,COL,0.2203333333333333,-0.0
Jose Urena,Starter,MIL,0.281,-0.01874999999999999
Josh Hader,Reliever,MIL,0.34225,-0.0
Josh Hader,Reliever,SDP,0.2915,0.06066666666666673
JP Sears,Reliever,NYY,0.3089999999999999,-0.0
JP Sears,Reliever,OAK,0.255,-0.05075000000000002
Junior Fernandez,Reliever,PIT,0.181,-0.0
Junior Fernandez,Reliever,STL,0.282,0.10099999999999998
Kervin Castro,Reliever,CHC,0.271,-0.0
Kervin Castro,Reliever,SFG,0.255,-0.016000000000000014
Logan Allen,Reliever,BAL,0.179,-0.0
Logan Allen,Reliever,CLE,0.296,0.11699999999999999
Lou Trivino,Reliever,NYY,0.283,-0.0
Lou Trivino,Reliever,OAK,0.26675,-0.016249999999999987
Louis Head,Reliever,BAL,0.232,-0.0
Louis Head,Reliever,MIA,0.239,0.0069999999999999785
Luis Castillo,Reliever,CIN,0.2763333333333333,-0.0
Luis Castillo,Reliever,DET,0.2465,0.016666666666666663
Luis Castillo,Reliever,SEA,0.293,0.046499999999999986
Luis Garcia,Reliever,HOU,0.286,-0.0
Luis Garcia,Reliever,SDP,0.2965,0.01050000000000001
Luis Ortiz,Reliever,PIT,0.316,-0.0
