Name,Team,Type,CSW%,F-Strike%,RE24,WAR,K-BB%,CSW%Diff,F-Strike%Diff,RE24Diff
A.J. Alexy,TEX,Reliever,25.2,60.2,-1.36,-0.0666666666666666,-6.533333333333334,,,
A.J. Ladwig,MIA,Reliever,17.1,80.0,-1.64,-0.2,0.0,-0.0,-0.0,-0.0
A.J. Minter,ATL,Reliever,30.71666666666667,67.21666666666667,2.1566666666666667,0.3333333333333333,29.33333333333333,-0.0,-0.0,-0.0
A.J. Puk,OAK,Reliever,30.883333333333336,61.68333333333334,-0.1916666666666666,0.0333333333333333,19.466666666666665,-0.0,-0.0,-0.0
Aaron Ashby,MIL,Starter,31.65,60.833333333333336,-1.7016666666666669,0.15,15.916666666666666,-0.0,-0.0,-0.0
Aaron Brooks,STL,Reliever,31.2,62.8,-3.95,-0.2,11.6,-0.0,-0.0,-0.0
Aaron Bummer,CHW,Reliever,32.55,51.05,-0.3824999999999999,0.075,18.55,-0.0,-0.0,-0.0
Aaron Civale,CLE,Starter,27.63333333333333,63.21666666666667,-1.3949999999999998,0.2166666666666666,18.1,-0.0,-0.0,-0.0
Aaron Fletcher,PIT,Reliever,26.55,52.6,-1.7500000000000002,-0.1,-1.4500000000000002,-0.0,-0.0,-0.0
Aaron Loup,LAA,Reliever,27.433333333333334,57.98333333333334,-0.4316666666666668,0.0499999999999999,12.116666666666667,-0.0,-0.0,-0.0
Aaron Nola,PHI,Starter,32.38333333333333,70.2,4.491666666666666,1.05,25.666666666666668,-0.0,-0.0,-0.0
Aaron Sanchez,WSN,Reliever,25.7,63.65,-5.505,-0.05,7.2,-0.0,-0.0,-0.0
Aaron Sanchez,MIN,Reliever,25.35,59.6,-1.24,0.15,14.6,-0.34999999999999787,-4.049999999999997,4.265
Adam Cimber,TOR,Reliever,27.133333333333336,65.3,0.525,0.15,15.533333333333331,-0.0,-0.0,-0.0
Adam Kolarek,OAK,Reliever,21.8,49.400000000000006,0.005,-0.1,0.95,-0.0,-0.0,-0.0
