Name,Year,Team,CSW%,F-Strike%,RE24,K-BB%,WAR,Type,NewTeamoffSeason21,CSW%Diff,F-Strike%Diff,RE24Diff,WARDiff,K-BB%Diff
A.J. Alexy,2021.0,TEX,22.9,54.6,0.71,0.0,0.0,Reliever,No,,,,,
A.J. Alexy,2022.0,TEX,25.0,60.5,-4.09,-7.9,-0.2,Reliever,No,2.1000000000000014,5.899999999999999,-4.8,-0.2,-7.9
A.J. Cole,2021.0,TOR,25.4,53.3,2.67,20.0,0.1,,,-0.0,-0.0,-0.0,-0.0,-0.0
A.J. Ladwig,2022.0,MIA,17.1,80.0,-1.64,0.0,-0.2,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
A.J. Minter,2021.0,ATL,30.7,63.8,7.3,16.7,1.3,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
A.J. Minter,2022.0,ATL,31.0,66.1,12.94,29.2,2.1,Reliever,No,0.3000000000000007,2.299999999999997,5.64,0.8,12.5
A.J. Puk,2021.0,OAK,26.7,56.9,-2.88,15.4,0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
A.J. Puk,2022.0,OAK,30.8,60.9,-1.15,18.9,0.3,Reliever,No,4.100000000000001,4.0,1.73,0.19999999999999998,3.4999999999999982
AJ Ramos,2021.0,LAA,27.4,56.3,2.75,6.3,0.1,,,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Ashby,2021.0,MIL,33.5,58.6,-2.32,20.3,0.4,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Ashby,2022.0,MIL,32.5,61.7,-10.2,16.6,0.9,Starter,No,-1.0,3.1000000000000014,-7.879999999999999,0.5,-3.6999999999999993
Aaron Brooks,2022.0,STL,31.2,62.8,-3.95,11.6,-0.2,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Bummer,2021.0,CHW,32.4,59.9,3.52,19.0,1.2,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Bummer,2022.0,CHW,31.3,53.0,-1.53,17.1,0.3,Reliever,No,-1.0999999999999979,-6.899999999999999,-5.05,-0.8999999999999999,-1.8999999999999986
Aaron Civale,2021.0,CLE,25.8,64.9,8.54,13.7,0.8,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Civale,2022.0,CLE,27.6,63.1,-8.37,18.7,1.3,Starter,No,1.8000000000000007,-1.8000000000000043,-16.909999999999997,0.5,5.0
Aaron Fletcher,2021.0,SEA,31.4,70.0,-3.16,5.0,-0.1,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Fletcher,2022.0,PIT,30.1,48.1,-3.5,3.8,-0.2,Reliever,No,-1.2999999999999972,-21.9,-0.33999999999999986,-0.1,-1.2000000000000002
Aaron Loup,2021.0,NYM,30.7,64.2,15.18,18.8,1.6,Reliever,No,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Loup,2022.0,LAA,27.4,58.1,-2.59,11.5,0.4,Reliever,No,-3.3000000000000007,-6.100000000000001,-17.77,-1.2000000000000002,-7.300000000000001
Aaron Nola,2021.0,PHI,31.2,66.6,-1.27,24.6,4.4,Starter,No,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Nola,2022.0,PHI,32.4,70.1,26.95,25.5,6.3,Starter,No,1.1999999999999993,3.5,28.22,1.8999999999999995,0.8999999999999986
Aaron Northcraft,2021.0,SDP,23.3,58.8,1.95,-8.8,-0.1,,,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Sanchez,2021.0,SFG,24.7,49.4,4.36,7.1,0.4,Reliever,Yes,-0.0,-0.0,-0.0,-0.0,-0.0
