Name,Year,Team,CSW%,F-Strike%,RE24,K-BB%,WAR,Type,NewTeamoffSeason21
A.J. Alexy,2021,TEX,22.90%,54.60%,0.71,0.00%,0,Reliever,No
A.J. Alexy,2022,TEX,25.00%,60.50%,-4.09,-7.90%,-0.2,Reliever,No
A.J. Minter,2021,ATL,30.70%,63.80%,7.3,16.70%,1.3,Reliever,No
A.J. Minter,2022,ATL,31.00%,66.10%,12.94,29.20%,2.1,Reliever,No
A.J. Puk,2021,OAK,26.70%,56.90%,-2.88,15.40%,0.1,Reliever,No
A.J. Puk,2022,OAK,30.80%,60.90%,-1.15,18.90%,0.3,Reliever,No
Aaron Ashby,2021,MIL,33.50%,58.60%,-2.32,20.30%,0.4,Starter,No
Aaron Ashby,2022,MIL,32.50%,61.70%,-10.2,16.60%,0.9,Starter,No
Aaron Bummer,2021,CHW,32.40%,59.90%,3.52,19.00%,1.2,Reliever,No
Aaron Bummer,2022,CHW,31.30%,53.00%,-1.53,17.10%,0.3,Reliever,No
Aaron Civale,2021,CLE,25.80%,64.90%,8.54,13.70%,0.8,Starter,No
Aaron Civale,2022,CLE,27.60%,63.10%,-8.37,18.70%,1.3,Starter,No
Aaron Fletcher,2021,SEA,31.40%,70.00%,-3.16,5.00%,-0.1,Reliever,No
Aaron Fletcher,2022,PIT,30.10%,48.10%,-3.5,3.80%,-0.2,Reliever,No
Aaron Loup,2021,NYM,30.70%,64.20%,15.18,18.80%,1.6,Reliever,No
Aaron Loup,2022,LAA,27.40%,58.10%,-2.59,11.50%,0.4,Reliever,No
Aaron Nola,2021,PHI,31.20%,66.60%,-1.27,24.60%,4.4,Starter,No
Aaron Nola,2022,PHI,32.40%,70.10%,26.95,25.50%,6.3,Starter,No
Aaron Sanchez,2021,SFG,24.70%,49.40%,4.36,7.10%,0.4,Reliever,Yes
Aaron Sanchez,2022,- - -,25.20%,61.90%,-13.49,9.80%,0.2,Reliever,Yes
Adam Cimber,2021,- - -,25.70%,60.50%,12.43,12.20%,1.2,Reliever,No
Adam Cimber,2022,TOR,26.80%,64.80%,3.15,15.40%,0.9,Reliever,No
Adam Kolarek,2021,OAK,25.80%,62.70%,-8.5,-2.00%,-0.2,Reliever,No
Adam Kolarek,2022,OAK,21.40%,55.70%,0.01,1.30%,-0.1,Reliever,No
Adam Ottavino,2021,BOS,31.70%,55.40%,6.57,13.00%,0.6,Reliever,No
Adam Ottavino,2022,NYM,32.80%,60.50%,10.81,24.40%,1.1,Reliever,No
Adam Wainwright,2021,STL,29.80%,64.30%,27.65,15.00%,3.8,Starter,No
Adam Wainwright,2022,STL,27.90%,62.60%,12.69,11.10%,2.8,Starter,No
Adbert Alzolay,2021,CHC,28.60%,63.60%,1.52,18.10%,0.9,Reliever,No
Adbert Alzolay,2022,CHC,31.60%,75.00%,0.93,32.70%,0.5,Reliever,No
Adonis Medina,2021,PHI,27.70%,41.70%,0.6,5.60%,0.1,Reliever,Yes
Adonis Medina,2022,NYM,24.90%,62.70%,-7.55,10.00%,0,Reliever,Yes
Adrian Houser,2021,MIL,23.30%,58.80%,15.2,6.80%,1.5,Starter,No
Adrian Houser,2022,MIL,23.40%,57.60%,-13.7,4.80%,1,Starter,No
Adrian Morejon,2021,SDP,30.00%,55.00%,0.15,5.00%,-0.2,Reliever,No
Adrian Morejon,2022,SDP,23.90%,61.00%,2.36,13.50%,0.2,Reliever,No
Adrian Sampson,2021,CHC,22.20%,54.50%,2.65,13.80%,-0.2,Starter,No
Adrian Sampson,2022,CHC,23.60%,57.70%,11.54,10.70%,1.5,Starter,No
Albert Abreu,2021,NYY,27.70%,57.10%,-4.47,10.30%,-0.6,Reliever,No
Albert Abreu,2022,- - -,27.70%,56.40%,-3.1,9.30%,-0.1,Reliever,No
Alec Mills,2021,CHC,25.80%,65.20%,-7.73,10.30%,1,Reliever,No
Alec Mills,2022,CHC,24.80%,69.00%,-12.14,9.50%,-0.6,Reliever,No
Alek Manoah,2021,TOR,28.20%,57.30%,13.58,19.00%,2,Starter,No
Alek Manoah,2022,TOR,27.50%,61.70%,40.24,16.40%,4.1,Starter,No
Alex Claudio,2021,LAA,27.80%,56.80%,-8.02,10.10%,-0.2,Reliever,No
Alex Claudio,2022,NYM,18.00%,38.50%,1.36,0.00%,0,Reliever,No
Alex Cobb,2021,LAA,30.00%,61.30%,3.68,16.50%,2.5,Starter,Yes
Alex Cobb,2022,SFG,29.40%,64.50%,0.37,17.10%,3.7,Starter,Yes
Alex Colome,2021,MIN,27.40%,54.80%,-9.61,12.10%,0.1,Reliever,No
Alex Colome,2022,COL,22.20%,53.00%,-9.35,4.70%,-0.1,Reliever,No
Alex Lange,2021,DET,29.10%,63.00%,-5.19,14.20%,0.1,Reliever,No
Alex Lange,2022,DET,34.40%,54.60%,-5.03,18.80%,0.7,Reliever,No
Alex Vesia,2021,LAD,32.00%,50.90%,3.53,19.90%,0.2,Reliever,No
Alex Vesia,2022,LAD,30.60%,60.40%,12.42,24.20%,1.5,Reliever,No
Alex Wood,2021,SFG,32.30%,64.60%,6.93,19.30%,2.5,Starter,No
Alex Wood,2022,SFG,28.90%,63.40%,-12.3,18.20%,1.7,Starter,No
Alex Young,2021,- - -,27.00%,55.70%,-20,6.50%,-1,Reliever,No
Alex Young,2022,- - -,29.20%,62.10%,1.69,8.60%,0.4,Reliever,No
Alexander Wells,2021,BAL,26.70%,60.40%,-9.51,5.10%,-0.1,Reliever,No
Alexander Wells,2022,BAL,31.80%,75.00%,0.34,37.50%,-0.1,Reliever,No
Amir Garrett,2021,CIN,33.10%,60.00%,-9.93,14.90%,0,Reliever,No
Amir Garrett,2022,KCR,27.70%,58.70%,3.99,8.70%,0.5,Reliever,No
Andre Jackson,2021,LAD,26.60%,62.00%,2.53,8.00%,0.1,Reliever,No
Andre Jackson,2022,LAD,25.00%,59.50%,0.94,11.90%,0.2,Reliever,No
Andres Machado,2021,WSN,25.80%,53.20%,-1.14,9.70%,0,Reliever,No
Andres Machado,2022,WSN,26.10%,60.90%,1.8,7.70%,-0.1,Reliever,No
Andres Munoz,2021,SEA,35.30%,50.00%,-0.1,-25.00%,0,Reliever,No
Andres Munoz,2022,SEA,35.60%,68.10%,13.24,32.70%,1.9,Reliever,No
Andrew Bellatti,2021,MIA,24.10%,63.20%,-1.96,10.50%,0,Reliever,No
Andrew Bellatti,2022,PHI,30.40%,55.70%,4.44,23.00%,1,Reliever,No
Andrew Chafin,2021,- - -,28.20%,62.40%,17.07,16.90%,1.4,Reliever,No
Andrew Chafin,2022,DET,30.00%,63.40%,5.59,19.80%,0.9,Reliever,No
Andrew Heaney,2021,- - -,28.50%,67.00%,-13.76,19.50%,1.1,Starter,Yes
Andrew Heaney,2022,LAD,32.50%,67.70%,0.42,29.40%,1.1,Starter,Yes
Andrew Kittredge,2021,TBR,31.80%,69.10%,10.24,22.00%,1.5,Reliever,No
Andrew Kittredge,2022,TBR,26.60%,70.70%,2.65,16.00%,-0.2,Reliever,No
Andrew Vasquez,2021,LAD,33.30%,83.30%,-0.4,50.00%,0.1,Reliever,No
Andrew Vasquez,2022,- - -,37.90%,59.00%,-0.16,15.40%,0,Reliever,No
