Name,Team,CSW%,F-Strike%,RE24,WAR,K-BB%,Type,NewTeamDeadline22,CSW%Diff,F-Strike%Diff,RE24Diff,WARDiff,K-BB%Diff
A.J. Alexy,TEX,25.2,60.2,-1.36,-0.066666667,-6.533333333,Reliever,No,,,,,
A.J. Ladwig,MIA,17.1,80,-1.64,-0.2,0,Reliever,No,0,0,0,0,0
A.J. Minter,ATL,30.71666667,67.21666667,2.156666667,0.333333333,29.33333333,Reliever,No,0,0,0,0,0
A.J. Puk,OAK,30.88333333,61.68333333,-0.191666667,0.033333333,19.46666667,Reliever,No,0,0,0,0,0
Aaron Ashby,MIL,31.65,60.83333333,-1.701666667,0.15,15.91666667,Starter,No,0,0,0,0,0
Aaron Brooks,STL,31.2,62.8,-3.95,-0.2,11.6,Reliever,No,0,0,0,0,0
Aaron Bummer,CHW,32.55,51.05,-0.3825,0.075,18.55,Reliever,No,0,0,0,0,0
Aaron Civale,CLE,27.63333333,63.21666667,-1.395,0.216666667,18.1,Starter,No,0,0,0,0,0
Aaron Fletcher,PIT,26.55,52.6,-1.75,-0.1,-1.45,Reliever,No,0,0,0,0,0
Aaron Loup,LAA,27.43333333,57.98333333,-0.431666667,0.05,12.11666667,Reliever,No,0,0,0,0,0
Aaron Nola,PHI,32.38333333,70.2,4.491666667,1.05,25.66666667,Starter,No,0,0,0,0,0
Aaron Sanchez,WSN,25.7,63.65,-5.505,-0.05,7.2,Reliever,Yes,0,0,0,0,0
Aaron Sanchez,MIN,25.35,59.6,-1.24,0.15,14.6,Reliever,Yes,-0.35,-4.05,4.265,0.2,7.4
Adam Cimber,TOR,27.13333333,65.3,0.525,0.15,15.53333333,Reliever,No,0,0,0,0,0
Adam Kolarek,OAK,21.8,49.4,0.005,-0.1,0.95,Reliever,No,0,0,0,0,0
Adam Oller,OAK,21.63333333,60.23333333,-3.068333333,-0.166666667,1.666666667,Starter,No,0,0,0,0,0
Adam Ottavino,NYM,32.75,59.91666667,1.801666667,0.15,24.2,Reliever,No,0,0,0,0,0
Adam Wainwright,STL,27.85,62.48333333,2.115,0.5,11.06666667,Starter,No,0,0,0,0,0
Adbert Alzolay,CHC,31.6,75,0.93,0.5,32.7,Reliever,No,0,0,0,0,0
Adonis Medina,NYM,23.53333333,66.23333333,-1.258333333,-0.016666667,20.23333333,Reliever,No,0,0,0,0,0
Adrian Houser,MIL,23.9,57.86,-2.74,0.2,5.02,Starter,No,0,0,0,0,0
Adrian Martinez,OAK,26.78,61.48,-2.992,-0.04,12.36,Starter,No,0,0,0,0,0
Adrian Morejon,SDP,23.925,60.6,0.5925,0.075,13.45,Reliever,No,0,0,0,0,0
Adrian Sampson,CHC,22.16,52.16,2.306,0.3,10.42,Starter,No,0,0,0,0,0
Albert Abreu,NYY,26.5,53.86666667,-0.846666667,0.066666667,12.43333333,Reliever,Yes,0,0,0,0,0
Albert Abreu,TEX,23.65,53.95,-0.95,-0.15,-3.95,Reliever,Yes,3.3,0.233333333,2.186666667,-0.066666667,-7.033333333
Albert Abreu,- - -,29.8,54.1,1.34,0,5.4,Reliever,Yes,6.15,0.15,2.29,0.15,9.35
Albert Pujols,STL,18.5,42.9,-3.54,-0.1,-14.3,Reliever,No,0,0,0,0,0
Alcides Escobar,WSN,16.7,50,-1.2,0,-10,Reliever,No,0,0,0,0,0
Alec Mills,CHC,19.7,59.75,-6.07,-0.25,29.25,Reliever,No,0,0,0,0,0
Alejo Lopez,CIN,18.45,87.5,-0.155,-0.05,0,Reliever,No,0,0,0,0,0
Alek Manoah,TOR,27.36666667,62.05,6.708333333,0.7,16.66666667,Starter,No,0,0,0,0,0
Alex Claudio,NYM,18,38.5,1.36,0,0,Reliever,No,0,0,0,0,0
Alex Cobb,SFG,29.61666667,64.08333333,0.061666667,0.616666667,17.93333333,Starter,No,0,0,0,0,0
Alex Colome,COL,21.98333333,53.55,-1.56,0.033333333,2.45,Reliever,No,0,0,0,0,0
Alex Faedo,DET,26.1,59.16666667,-2.303333333,0.133333333,3.733333333,Starter,No,0,0,0,0,0
Alex Lange,DET,34.36666667,54.35,-0.838333333,0.116666667,18.66666667,Reliever,No,0,0,0,0,0
Alex Vesia,LAD,30.75,60.31666667,2.07,0.233333333,25.48333333,Reliever,No,0,0,0,0,0
Alex Wood,SFG,29,63.28,-2.462,0.36,18.18,Starter,No,0,0,0,0,0
Alex Young,SFG,29.05,62.3,1.235,0.2,7.85,Reliever,Yes,0,0,0,0,0
Alex Young,CLE,33.3,50,-0.78,0,50,Reliever,Yes,4.25,-12.3,-2.015,-0.2,42.15
Alexander Wells,BAL,31.8,75,0.34,-0.1,37.5,Reliever,No,0,0,0,0,0
Alexis Diaz,CIN,29.78333333,60,2.595,0.183333333,18.33333333,Reliever,No,0,0,0,0,0
Amir Garrett,KCR,27.98333333,58.01666667,0.665,0.1,9.05,Reliever,No,0,0,0,0,0
Anderson Espinoza,CHC,23.16666667,38.46666667,0.033333333,-0.166666667,3.933333333,Reliever,No,0,0,0,0,0
Anderson Severino,CHW,31.6,47.1,-1.48,0,14.7,Reliever,No,0,0,0,0,0
Andre Jackson,LAD,25,59.5,0.94,0.2,11.9,Reliever,No,0,0,0,0,0
Andre Pallante,STL,24.55,59.6,1.341666667,0.1,6.45,Reliever,No,0,0,0,0,0
Andrelton Simmons,CHC,16,55.6,-4.45,0,-11.1,Reliever,No,0,0,0,0,0
Andres Machado,WSN,25.48333333,58.06666667,0.3,-0.016666667,7.916666667,Reliever,No,0,0,0,0,0
Andres Munoz,SEA,35.58333333,67.4,2.206666667,0.316666667,32.68333333,Reliever,No,0,0,0,0,0
Andrew Bellatti,PHI,30.66666667,57.23333333,0.74,0.183333333,24.36666667,Reliever,No,0,0,0,0,0
Andrew Chafin,DET,30.81666667,63.38333333,0.93,0.116666667,21.91666667,Reliever,No,0,0,0,0,0
Andrew Heaney,LAD,31.1,64.62,0.084,0.24,25.3,Starter,No,0,0,0,0,0
Andrew Kittredge,TBR,24.76666667,69.76666667,0.883333333,-0.066666667,12,Reliever,No,0,0,0,0,0
Andrew Knizner,STL,9.1,,-0.65,0,0,Reliever,No,0,0,0,0,0
Andrew Nardi,MIA,27.5,55.3,-6.245,-0.2,12.2,Reliever,No,0,,0,0,0
Andrew Vasquez,SFG,31.4,42.9,0.9,0.1,42.9,Reliever,Yes,0,0,0,0,0
Andrew Vasquez,TOR,39.93333333,66.5,-0.35,-0.033333333,9.633333333,Reliever,Yes,8.533333333,23.6,-1.25,-0.133333333,-33.26666667
Andrew Wantz,LAA,29.98,58.74,1.612,0,16.6,Reliever,No,0,0,0,0,0
Aneurys Zabala,MIA,33.95,45.85,0.195,0,16.65,Reliever,No,0,0,0,0,0
Angel De Jesus,DET,25.1,70.4,0.69,-0.033333333,3.966666667,Reliever,No,0,0,0,0,0
Angel Rondon,STL,19.8,50,2.5,0.1,5,Reliever,No,0,0,0,0,0
Angel Zerpa,KCR,23.9,59.1,1.97,-0.1,0,Reliever,No,0,0,0,0,0
Anibal Sanchez,WSN,22.43333333,55.8,0.29,-0.033333333,5.933333333,Starter,No,0,0,0,0,0
Anthony Banda,NYY,25.1,54.15,-2.29,0,-37.5,Reliever,Yes,0,0,0,0,0
Anthony Banda,PIT,28.33333333,51.16666667,-2.706666667,0.033333333,19.4,Reliever,Yes,-2.3,16.25,3.18,0,52.3
Anthony Banda,TOR,22.8,70.4,0.89,0,14.8,Reliever,Yes,-5.533333333,19.23333333,3.596666667,-0.033333333,-4.6
Anthony Bass,MIA,31.8,67.425,3.3275,0.35,19.9,Reliever,Yes,0,0,0,0,0
Anthony Bass,TOR,32.75,64.05,3.275,-0.05,17.6,Reliever,Yes,0.95,-3.375,-0.0525,-0.4,-2.3
Anthony Bender,MIA,32.7,61.73333333,0.276666667,-0.066666667,10.9,Reliever,No,0,0,0,0,0
Anthony Castro,CLE,26.975,55.925,-2.4075,-0.125,6.125,Reliever,No,0,0,0,0,0
Anthony DeSclafani,SFG,27.45,60.85,-5.985,0,12,Reliever,No,0,0,0,0,0
Anthony Gose,CLE,31.175,61.325,-0.335,-0.025,8.95,Reliever,No,0,0,0,0,0
Anthony Kay,TOR,30.8,60,-0.07,0,20,Reliever,No,0,0,0,0,0
Anthony Misiewicz,SEA,18.13333333,57.76666667,-0.436666667,0,-5.233333333,Reliever,Yes,0,0,0,0,0
Anthony Misiewicz,KCR,32.3,61.35,-1.285,0.05,3.55,Reliever,Yes,14.16666667,3.583333333,-0.848333333,0.05,8.783333333
Antonio Senzatela,COL,21.7,59.2,-0.5,0.3,6.66,Starter,No,0,0,0,0,0
Archie Bradley,LAA,27.73333333,58.93333333,-0.216666667,0.066666667,10.83333333,Reliever,No,0,0,0,0,0
Arodys Vizcaino,KCR,34.8,60.25,-0.8,-0.1,7.05,Reliever,No,0,0,0,0,0
Aroldis Chapman,NYY,30.94,54.32,-1.018,-0.06,8.94,Reliever,No,0,0,0,0,0
Art Warren,CIN,28.41666667,60.16666667,-2.276666667,-0.05,4.566666667,Reliever,No,0,0,0,0,0
Ashton Goudeau,COL,23.85,57.2,-2.085,0,6.65,Reliever,No,0,0,0,0,0
Austin Adams,SDP,31.3,55.6,1.19,0,-11.1,Reliever,No,0,0,0,0,0
Austin Brice,PIT,30.56666667,65.56666667,0.12,0,12.76666667,Reliever,No,0,0,0,0,0
Austin Davis,BOS,27.62,56.5,-2.424,0.06,12.56,Reliever,Yes,0,0,0,0,0
Austin Davis,MIN,27.8,40,-2.29,0,-10,Reliever,Yes,0.18,-16.5,0.134,-0.06,-22.56
Austin Gomber,COL,25.28333333,59.78333333,-1.418333333,0.183333333,12.03333333,Starter,No,0,0,0,0,0
Austin Pruitt,OAK,25.64,65.78,-1.276,-0.06,10.58,Reliever,No,0,0,0,0,0
Austin Voth,WSN,25.55,62.8,-5.605,-0.05,12.95,Starter,Yes,0,0,0,0,0
Austin Voth,BAL,26.45,61.25,2.3725,0.275,13.75,Starter,Yes,0.9,-1.55,7.9775,0.325,0.8
Austin Warren,LAA,22.86666667,55.33333333,-2.586666667,-0.066666667,8.733333333,Reliever,No,0,0,0,0,0
Austin Wynns,SFG,11.25,37.5,-1.035,-0.05,-8.35,Reliever,No,0,0,0,0,0
Bailey Falter,PHI,29.26666667,67,0.061666667,0.1,14.1,Starter,No,0,0,0,0,0
Bailey Ober,MIN,26.65,68.3,1.1575,0.375,17.775,Reliever,No,0,0,0,0,0
Beau Brieske,DET,21.325,57.675,0.065,0.05,8,Starter,No,0,0,0,0,0
Beau Sulser,- - -,26.6,71.8,-5.51,0,7.7,Reliever,Yes,0,0,0,0,0
Beau Sulser,BAL,17.1,70,-0.05,0,13.33333333,Reliever,Yes,-2.2,-26.3,6.2,0,-3.2
Beau Sulser,PIT,24.4,45.5,0.69,0,4.5,Reliever,Yes,7.3,-24.5,0.74,0,-8.833333333
Bennett Sousa,CHW,25.23333333,59.86666667,-3.473333333,-0.1,1.966666667,Reliever,No,0,0,0,0,0
Blake Snell,SDP,28.76,63.46,1.998333333,0.616666667,17.55,Starter,No,0,0,0,0,0
Blake Taylor,HOU,19.46666667,53.23333333,-0.213333333,-0.033333333,-17.03333333,Reliever,No,0,0,0,0,0
Blake Treinen,LAD,26.55,58.55,0.85,0,25,Reliever,No,0,0,0,0,0
Bowden Francis,TOR,22.2,66.7,0.2,0,33.3,Reliever,No,0,0,0,0,0
Brad Boxberger,MIL,30.81666667,67,0.823333333,0.116666667,14.85,Reliever,No,0,0,0,0,0
Brad Hand,PHI,29.16666667,57.25,-0.523333333,0.066666667,8.4,Reliever,No,0,0,0,0,0
Brad Keller,KCR,23.53333333,53.78333333,-3.676666667,0.116666667,7.783333333,Starter,No,0,0,0,0,0
Brady Singer,KCR,30.58333333,58.66666667,3.286666667,0.5,19.06666667,Starter,No,0,0,0,0,0
Brandon Bielak,HOU,25.56666667,49.33333333,0.246666667,-0.033333333,14.63333333,Reliever,No,0,0,0,0,0
Brandon Hughes,CHC,30.7,66.88,1.156,-0.06,19.36,Reliever,No,0,0,0,0,0
Brandon Woodruff,MIL,31.88333333,63.38333333,4.196666667,0.633333333,28.18333333,Starter,No,0,0,0,0,0
Braxton Garrett,MIA,30.85,65.9,1.075,0.375,17.225,Starter,No,0,0,0,0,0
Brayan Bello,BOS,27.83333333,62.56666667,-0.7,0.4,10.53333333,Reliever,No,0,0,0,0,0
Brendon Little,CHC,18.2,66.7,-2.75,-0.2,-16.7,Reliever,No,0,0,0,0,0
Brennan Bernardino,SEA,5.7,46.65,-1.275,-0.05,-21.65,Reliever,No,0,0,0,0,0
Brent Suter,MIL,27.61666667,62.33333333,0.161666667,-0.033333333,11.2,Reliever,No,0,0,0,0,0
Brett Martin,TEX,26.81666667,61.26666667,-0.94,0.016666667,9.183333333,Reliever,No,0,0,0,0,0
Brett Phillips,TBR,14.63333333,59.16666667,-2.073333333,-0.066666667,-6.666666667,Reliever,No,0,0,0,0,0
Brian Moran,LAA,20,60,-2.69,-0.1,-20,Reliever,No,0,0,0,0,0
Brian Serven,COL,12.5,66.7,0.64,0,-33.3,Reliever,No,0,0,0,0,0
Brock Burke,TEX,28.23333333,59.61666667,2,0.133333333,20.23333333,Reliever,No,0,0,0,0,0
Brooks Raley,TBR,29.96666667,63.86666667,0.955,0.166666667,20.6,Reliever,No,0,0,0,0,0
Bruce Zimmermann,BAL,24.74,61.48,-3.082,-0.1,8.82,Starter,No,0,0,0,0,0
Brusdar Graterol,LAD,25.8,69.51666667,1.011666667,0.133333333,18.55,Reliever,No,0,0,0,0,0
Bryan Abreu,HOU,30.73333333,56.26666667,0.786666667,0.233333333,25.9,Reliever,No,0,0,0,0,0
Bryan Baker,BAL,28.3,63.11666667,0.485,0.25,17.76666667,Reliever,No,0,0,0,0,0
Bryan Garcia,DET,28.56666667,55.13333333,0.646666667,-0.033333333,8.666666667,Reliever,No,0,0,0,0,0
Bryan Hoeing,MIA,23.1,50.4,-5.735,-0.2,2,Reliever,No,0,0,0,0,0
Bryan Shaw,CLE,24,61.01666667,-1.591666667,-0.066666667,9.466666667,Reliever,No,0,0,0,0,0
Bryce Elder,ATL,26.63333333,56.53333333,2.213333333,0.266666667,12.4,Reliever,No,0,0,0,0,0
Bryce Montes de Oca,NYM,28.6,84.2,-1.3,0.1,21.1,Reliever,No,0,0,0,0,0
Bryse Wilson,PIT,23.73333333,57.53333333,-3.246666667,0.016666667,8.783333333,Starter,No,0,0,0,0,0
Bubby Rossman,PHI,33.3,40,-1.49,-0.1,0,Reliever,No,0,0,0,0,0
Buck Farmer,CIN,28.3,63.58,0.59,0.22,13.58,Reliever,No,0,0,0,0,0
Cade Cavalli,WSN,22.2,56.5,-3.05,0.1,17.4,Reliever,No,0,0,0,0,0
Cal Quantrill,CLE,23.81666667,63.38333333,1.586666667,0.383333333,9.766666667,Starter,No,0,0,0,0,0
Caleb Ferguson,LAD,29.34,48.96,1.416,0.08,10.58,Reliever,No,0,0,0,0,0
Caleb Kilian,CHC,20.4,55.4,-9.16,0,-5.4,Reliever,No,0,0,0,0,0
Caleb Smith,ARI,26.45,61.93333333,-0.225,-0.116666667,7.466666667,Reliever,No,0,0,0,0,0
Caleb Thielbar,MIN,30.2,67.55,1.105,0.266666667,24.71666667,Reliever,No,0,0,0,0,0
Calvin Faucher,TBR,24.725,46.35,-1.915,-0.025,6.15,Reliever,No,0,0,0,0,0
Cam Alldred,PIT,31.3,75,0.11,0,25,Reliever,No,0,0,0,0,0
