Name,New team offseason 21,CSW%,F-Strike%,RE24,WAR,K-BB%,Year,CSW%Diff,F-Strike%Diff,RE24Diff,WARDiff,K-BB%Diff
A.J. Alexy,No,21.700000000000003,55.0,0.3599999999999999,0.0,2.15,2021,,,,,
A.J. Alexy,No,25.2,60.2,-1.36,-0.0666666666666666,-6.533333333333334,2022,3.4999999999999964,5.200000000000003,-1.72,-0.0666666666666666,-8.683333333333334
A.J. Cole,,25.4,53.3,2.67,0.1,20.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
A.J. Ladwig,No,17.1,80.0,-1.64,-0.2,0.0,2022,-0.0,-0.0,-0.0,-0.0,-0.0
A.J. Minter,No,30.816666666666663,63.383333333333326,1.2166666666666666,0.1833333333333333,16.9,2021,-0.0,-0.0,-0.0,-0.0,-0.0
A.J. Minter,No,30.71666666666667,67.21666666666667,2.1566666666666667,0.3333333333333333,29.33333333333333,2022,-0.09999999999999432,3.833333333333343,0.9400000000000002,0.15000000000000002,12.43333333333333
A.J. Puk,No,24.366666666666664,54.06666666666666,-0.9566666666666668,0.0333333333333333,11.933333333333335,2021,-0.0,-0.0,-0.0,-0.0,-0.0
A.J. Puk,No,30.883333333333336,61.68333333333334,-0.1916666666666666,0.0333333333333333,19.466666666666665,2022,6.516666666666673,7.616666666666674,0.7650000000000001,-0.0,7.53333333333333
AJ Ramos,,27.4,56.3,2.75,0.1,6.3,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Ashby,No,31.65,60.833333333333336,-1.7016666666666669,0.15,15.916666666666666,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Ashby,No,29.933333333333334,53.66666666666666,-0.7733333333333331,0.1333333333333333,6.0,2021,-1.716666666666665,-7.1666666666666785,0.9283333333333338,-0.01666666666666669,-9.916666666666666
Aaron Brooks,No,31.2,62.8,-3.95,-0.2,11.6,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Bummer,No,32.55,51.05,-0.3824999999999999,0.075,18.55,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Bummer,No,32.2,59.76666666666667,0.5866666666666667,0.2166666666666666,17.900000000000002,2021,-0.3499999999999943,8.716666666666676,0.9691666666666665,0.1416666666666666,-0.6499999999999986
Aaron Civale,No,27.63333333333333,63.21666666666667,-1.3949999999999998,0.2166666666666666,18.1,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Civale,No,25.975,65.225,2.135,0.2249999999999999,14.15,2021,-1.6583333333333279,2.0083333333333258,3.5299999999999994,0.008333333333333304,-3.950000000000001
Aaron Fletcher,No,26.55,52.6,-1.7500000000000002,-0.1,-1.4500000000000002,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Fletcher,No,31.4,70.0,-3.16,-0.1,5.0,2021,4.849999999999998,17.4,-1.41,-0.0,6.45
Aaron Loup,No,27.433333333333334,57.98333333333334,-0.4316666666666668,0.0499999999999999,12.116666666666667,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Loup,No,30.683333333333337,65.2,2.5316666666666667,0.2666666666666666,20.633333333333333,2021,3.2500000000000036,7.2166666666666615,2.9633333333333334,0.2166666666666667,8.516666666666666
Aaron Nola,No,32.38333333333333,70.2,4.491666666666666,1.05,25.666666666666668,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Nola,No,31.183333333333334,66.51666666666667,-0.2116666666666668,0.7333333333333334,24.6,2021,-1.1999999999999993,-3.683333333333337,-4.703333333333333,-0.31666666666666665,-1.0666666666666664
Aaron Northcraft,,23.45,58.0,0.975,-0.05,-7.65,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Sanchez,Yes,24.25,51.275,1.09,0.1,4.925,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Aaron Sanchez,Yes,25.525,61.625,-3.3725,0.0499999999999999,10.9,2022,1.2749999999999986,10.350000000000001,-4.4625,-0.05000000000000011,5.9750000000000005
Aaron Slegers,,24.5,64.34,-2.6380000000000003,-0.06,0.4200000000000002,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Adam Cimber,No,27.133333333333336,65.3,0.525,0.15,15.533333333333331,2022,-0.0,-0.0,-0.0,-0.0,-0.0
Adam Cimber,No,25.633333333333336,61.4,2.07,0.1666666666666666,11.733333333333334,2021,-1.5,-3.8999999999999986,1.545,0.016666666666666607,-3.799999999999997
Adam Conley,,29.35,71.05000000000001,2.56,0.05,13.25,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Adam Eaton,,19.0,60.0,0.53,0.0,0.0,2021,-0.0,-0.0,-0.0,-0.0,-0.0
Adam Kolarek,No,21.8,49.400000000000006,0.005,-0.1,0.95,2022,-0.0,-0.0,-0.0,-0.0,-0.0
