Name,Team,CSW%
A.J. Alexy,TEX,25.2
A.J. Ladwig,MIA,17.1
A.J. Minter,ATL,30.71666666666667
A.J. Puk,OAK,30.883333333333336
Aaron Ashby,MIL,31.650000000000002
Aaron Brooks,STL,31.2
Aaron Bummer,CHW,32.55
Aaron Civale,CLE,27.63333333333333
Aaron Fletcher,PIT,26.55
Aaron Loup,LAA,27.433333333333334
Aaron Nola,PHI,32.38333333333333
Aaron Sanchez,MIN,25.35
Aaron Sanchez,WSN,25.7
Adam Cimber,TOR,27.133333333333336
Adam Kolarek,OAK,21.8
Adam Oller,OAK,21.633333333333336
Adam Ottavino,NYM,32.75
Adam Wainwright,STL,27.849999999999998
Adbert Alzolay,CHC,31.6
Adonis Medina,NYM,23.53333333333333
Adrian Houser,MIL,23.9
Adrian Martinez,OAK,26.78
Adrian Morejon,SDP,23.925
Adrian Sampson,CHC,22.16
Albert Abreu,- - -,29.8
Albert Abreu,NYY,26.5
Albert Abreu,TEX,23.65
Albert Pujols,STL,18.5
Alcides Escobar,WSN,16.7
Alec Mills,CHC,19.700000000000003
Alejo Lopez,CIN,18.450000000000003
Alek Manoah,TOR,27.366666666666664
Alex Claudio,NYM,18.0
Alex Cobb,SFG,29.616666666666664
Alex Colome,COL,21.983333333333334
Alex Faedo,DET,26.099999999999998
Alex Lange,DET,34.36666666666667
Alex Vesia,LAD,30.75
Alex Wood,SFG,29.0
Alex Young,CLE,33.3
Alex Young,SFG,29.049999999999997
Alexander Wells,BAL,31.8
Alexis Diaz,CIN,29.78333333333333
Amir Garrett,KCR,27.983333333333334
Anderson Espinoza,CHC,23.166666666666668
Anderson Severino,CHW,31.6
Andre Jackson,LAD,25.0
Andre Pallante,STL,24.55
Andrelton Simmons,CHC,16.0
Andres Machado,WSN,25.483333333333334
Andres Munoz,SEA,35.583333333333336
Andrew Bellatti,PHI,30.666666666666668
Andrew Chafin,DET,30.816666666666666
Andrew Heaney,LAD,31.1
Andrew Kittredge,TBR,24.766666666666666
Andrew Knizner,STL,9.1
Andrew Nardi,MIA,27.5
Andrew Vasquez,SFG,31.4
Andrew Vasquez,TOR,39.93333333333333
Andrew Wantz,LAA,29.98
Aneurys Zabala,MIA,33.95
Angel De Jesus,DET,25.099999999999998
Angel Rondon,STL,19.8
