Name,Team,F-Strike%
A.J. Alexy,TEX,60.199999999999996
A.J. Ladwig,MIA,80.0
A.J. Minter,ATL,67.21666666666667
A.J. Puk,OAK,61.68333333333334
Aaron Ashby,MIL,60.833333333333336
Aaron Brooks,STL,62.8
Aaron Bummer,CHW,51.05
Aaron Civale,CLE,63.21666666666667
Aaron Fletcher,PIT,52.6
Aaron Loup,LAA,57.98333333333334
Aaron Nola,PHI,70.2
Aaron Sanchez,WSN,63.65
Aaron Sanchez,MIN,59.6
Adam Cimber,TOR,65.3
Adam Kolarek,OAK,49.400000000000006
Adam Oller,OAK,60.23333333333333
Adam Ottavino,NYM,59.916666666666664
Adam Wainwright,STL,62.48333333333333
Adbert Alzolay,CHC,75.0
Adonis Medina,NYM,66.23333333333333
Adrian Houser,MIL,57.86
Adrian Martinez,OAK,61.48
Adrian Morejon,SDP,60.6
Adrian Sampson,CHC,52.160000000000004
Albert Abreu,NYY,53.86666666666667
Albert Abreu,TEX,53.95
Albert Abreu,- - -,54.1
Albert Pujols,STL,42.9
Alcides Escobar,WSN,50.0
Alec Mills,CHC,59.75
Alejo Lopez,CIN,87.5
Alek Manoah,TOR,62.050000000000004
Alex Claudio,NYM,38.5
Alex Cobb,SFG,64.08333333333333
Alex Colome,COL,53.550000000000004
Alex Faedo,DET,59.166666666666664
Alex Lange,DET,54.35
Alex Vesia,LAD,60.31666666666666
Alex Wood,SFG,63.279999999999994
Alex Young,SFG,62.3
Alex Young,CLE,50.0
Alexander Wells,BAL,75.0
Alexis Diaz,CIN,60.0
Amir Garrett,KCR,58.01666666666667
Anderson Espinoza,CHC,38.46666666666667
Anderson Severino,CHW,47.1
Andre Jackson,LAD,59.5
Andre Pallante,STL,59.6
Andrelton Simmons,CHC,55.6
Andres Machado,WSN,58.06666666666666
Andres Munoz,SEA,67.39999999999999
Andrew Bellatti,PHI,57.23333333333333
Andrew Chafin,DET,63.38333333333333
Andrew Heaney,LAD,64.62
Andrew Kittredge,TBR,69.76666666666667
Andrew Knizner,STL,
Andrew Nardi,MIA,55.300000000000004
Andrew Vasquez,SFG,42.9
Andrew Vasquez,TOR,66.5
Andrew Wantz,LAA,58.739999999999995
Aneurys Zabala,MIA,45.85
Angel De Jesus,DET,70.39999999999999
Angel Rondon,STL,50.0
Angel Zerpa,KCR,59.1
Anibal Sanchez,WSN,55.800000000000004
Anthony Banda,NYY,54.15
Anthony Banda,PIT,51.166666666666664
Anthony Banda,TOR,70.4
Anthony Bass,MIA,67.425
Anthony Bass,TOR,64.05
Anthony Bender,MIA,61.73333333333333
Anthony Castro,CLE,55.925
Anthony DeSclafani,SFG,60.85
Anthony Gose,CLE,61.325
Anthony Kay,TOR,60.0
Anthony Misiewicz,SEA,57.76666666666667
Anthony Misiewicz,KCR,61.35
Antonio Senzatela,COL,59.2
Archie Bradley,LAA,58.93333333333334
Arodys Vizcaino,KCR,60.25
Aroldis Chapman,NYY,54.32000000000001
Art Warren,CIN,60.166666666666664
Ashton Goudeau,COL,57.2
Austin Adams,SDP,55.6
Austin Brice,PIT,65.56666666666666
Austin Davis,BOS,56.5
Austin Davis,MIN,40.0
Austin Gomber,COL,59.78333333333334
Austin Pruitt,OAK,65.78
Austin Voth,WSN,62.8
Austin Voth,BAL,61.25
Austin Warren,LAA,55.333333333333336
Austin Wynns,SFG,37.5
Bailey Falter,PHI,67.0
Bailey Ober,MIN,68.3
Beau Brieske,DET,57.675
Beau Sulser,- - -,71.8
Beau Sulser,BAL,70.0
Beau Sulser,PIT,45.5
Bennett Sousa,CHW,59.86666666666667
Blake Snell,SDP,63.46
Blake Taylor,HOU,53.23333333333333
Blake Treinen,LAD,58.55
Bowden Francis,TOR,66.7
Brad Boxberger,MIL,67.0
Brad Hand,PHI,57.25
Brad Keller,KCR,53.78333333333333
Brady Singer,KCR,58.666666666666664
Brandon Bielak,HOU,49.333333333333336
Brandon Hughes,CHC,66.88
Brandon Woodruff,MIL,63.38333333333333
Braxton Garrett,MIA,65.9
Brayan Bello,BOS,62.56666666666666
Brendon Little,CHC,66.7
Brennan Bernardino,SEA,46.65
Brent Suter,MIL,62.333333333333336
Brett Martin,TEX,61.26666666666667
Brett Phillips,TBR,59.166666666666664
Brian Moran,LAA,60.0
Brian Serven,COL,66.7
Brock Burke,TEX,59.616666666666674
Brooks Raley,TBR,63.86666666666667
Bruce Zimmermann,BAL,61.480000000000004
Brusdar Graterol,LAD,69.51666666666667
Bryan Abreu,HOU,56.26666666666666
Bryan Baker,BAL,63.11666666666667
Bryan Garcia,DET,55.13333333333333
Bryan Hoeing,MIA,50.4
Bryan Shaw,CLE,61.01666666666667
Bryce Elder,ATL,56.53333333333333
Bryce Montes de Oca,NYM,84.2
Bryse Wilson,PIT,57.53333333333333
Bubby Rossman,PHI,40.0
Buck Farmer,CIN,63.58
Cade Cavalli,WSN,56.5
Cal Quantrill,CLE,63.383333333333326
Caleb Ferguson,LAD,48.96
Caleb Kilian,CHC,55.4
Caleb Smith,ARI,61.93333333333334
Caleb Thielbar,MIN,67.55
Calvin Faucher,TBR,46.35
Cam Alldred,PIT,75.0
Cam Vieaux,PIT,61.4
Camilo Doval,SFG,53.699999999999996
Carl Edwards Jr.,WSN,61.739999999999995
Carlos Carrasco,NYM,67.43333333333334
Carlos Estevez,COL,60.86666666666667
Carlos Hernandez,KCR,58.56
Carlos Rodon,SFG,61.56666666666666
Carson Kelly,ARI,57.725
Casey Lawrence,TOR,75.225
Casey Mize,DET,57.8
Cesar Valdez,LAA,60.0
Chad Green,NYY,68.75
Chad Kuhl,COL,60.48333333333333
Chad Pinder,OAK,42.9
Chad Smith,COL,45.175
Charlie Culberson,TEX,56.65
Charlie Morton,ATL,58.833333333333336
Chase Anderson,CIN,61.0
Chase De Jong,PIT,61.166666666666664
Chase Silseth,LAA,63.1
Chasen Shreve,NYM,77.475
Chi Chi Gonzalez,- - -,68.8
Chi Chi Gonzalez,MIL,53.3
Chi Chi Gonzalez,NYY,75.0
Chris Archer,MIN,56.083333333333336
Chris Bassitt,NYM,61.46666666666667
Chris Devenski,ARI,75.0
Chris Devenski,PHI,78.9
Chris Ellis,BAL,56.0
Chris Flexen,SEA,58.699999999999996
Chris Martin,LAD,84.6
Chris Martin,CHC,72.0
Chris Mazza,TBR,57.1
Chris Owings,BAL,80.0
Chris Paddack,MIN,67.2
Chris Sale,BOS,60.0
Chris Stratton,PIT,63.925
Chris Stratton,STL,55.35
Christian Bethancourt,TBR,85.0
Christian Bethancourt,OAK,50.0
Cionel Perez,BAL,60.866666666666674
Clarke Schmidt,NYY,56.13333333333333
Clay Holmes,NYY,54.6
Clayton Kershaw,LAD,66.36666666666666
Cody Morris,CLE,63.0
Cody Poteet,MIA,56.0
Cody Sedlock,BAL,62.5
Cody Stashak,MIN,63.1
Cole Irvin,OAK,66.01666666666667
Cole Ragans,TEX,60.05
Cole Sands,MIN,56.575
Cole Sulser,MIA,63.279999999999994
Cole Waites,SFG,72.0
Colin Holderman,NYM,60.833333333333336
Colin Holderman,PIT,60.8
