Name,Team,K-BB%
A.J. Alexy,TEX,-6.533333333333334
A.J. Ladwig,MIA,0.0
A.J. Minter,ATL,29.333333333333332
A.J. Puk,OAK,19.466666666666665
Aaron Ashby,MIL,15.916666666666666
Aaron Brooks,STL,11.6
Aaron Bummer,CHW,18.55
Aaron Civale,CLE,18.099999999999998
Aaron Fletcher,PIT,-1.4500000000000002
Aaron Loup,LAA,12.116666666666667
Aaron Nola,PHI,25.666666666666668
Aaron Sanchez,WSN,7.2
Aaron Sanchez,MIN,14.6
Adam Cimber,TOR,15.533333333333333
Adam Kolarek,OAK,0.95
Adam Oller,OAK,1.6666666666666667
Adam Ottavino,NYM,24.2
Adam Wainwright,STL,11.066666666666668
Adbert Alzolay,CHC,32.7
Adonis Medina,NYM,20.233333333333334
Adrian Houser,MIL,5.0200000000000005
Adrian Martinez,OAK,12.36
Adrian Morejon,SDP,13.45
Adrian Sampson,CHC,10.42
Albert Abreu,NYY,12.433333333333332
Albert Abreu,- - -,5.4
Albert Abreu,TEX,-3.95
Albert Pujols,STL,-14.3
Alcides Escobar,WSN,-10.0
Alec Mills,CHC,29.25
Alejo Lopez,CIN,0.0
Alek Manoah,TOR,16.666666666666668
Alex Claudio,NYM,0.0
Alex Cobb,SFG,17.933333333333334
Alex Colome,COL,2.4499999999999997
Alex Faedo,DET,3.733333333333333
Alex Lange,DET,18.666666666666668
Alex Vesia,LAD,25.483333333333334
Alex Wood,SFG,18.18
Alex Young,SFG,7.8500000000000005
Alex Young,CLE,50.0
Alexander Wells,BAL,37.5
Alexis Diaz,CIN,18.333333333333332
Amir Garrett,KCR,9.049999999999999
Anderson Espinoza,CHC,3.9333333333333336
Anderson Severino,CHW,14.7
Andre Jackson,LAD,11.9
Andre Pallante,STL,6.45
Andrelton Simmons,CHC,-11.1
Andres Machado,WSN,7.916666666666667
Andres Munoz,SEA,32.68333333333333
Andrew Bellatti,PHI,24.366666666666664
Andrew Chafin,DET,21.916666666666668
Andrew Heaney,LAD,25.3
Andrew Kittredge,TBR,12.0
Andrew Knizner,STL,0.0
Andrew Nardi,MIA,12.2
Andrew Vasquez,TOR,9.633333333333333
Andrew Vasquez,SFG,42.9
Andrew Wantz,LAA,16.6
Aneurys Zabala,MIA,16.65
Angel De Jesus,DET,3.9666666666666663
Angel Rondon,STL,5.0
