Name,Team,RE24
A.J. Alexy,TEX,-1.36
A.J. Ladwig,MIA,-1.64
A.J. Minter,ATL,2.1566666666666667
A.J. Puk,OAK,-0.19166666666666665
Aaron Ashby,MIL,-1.7016666666666669
Aaron Brooks,STL,-3.95
Aaron Bummer,CHW,-0.38249999999999995
Aaron Civale,CLE,-1.3949999999999998
Aaron Fletcher,PIT,-1.7500000000000002
Aaron Loup,LAA,-0.43166666666666687
Aaron Nola,PHI,4.491666666666666
Aaron Sanchez,MIN,-1.24
Aaron Sanchez,WSN,-5.505
Adam Cimber,TOR,0.525
Adam Kolarek,OAK,0.0050000000000000044
Adam Oller,OAK,-3.0683333333333334
Adam Ottavino,NYM,1.8016666666666667
Adam Wainwright,STL,2.1149999999999998
Adbert Alzolay,CHC,0.93
Adonis Medina,NYM,-1.2583333333333335
Adrian Houser,MIL,-2.7399999999999998
Adrian Martinez,OAK,-2.992
Adrian Morejon,SDP,0.5924999999999999
Adrian Sampson,CHC,2.306
Albert Abreu,TEX,-0.95
Albert Abreu,- - -,1.34
Albert Abreu,NYY,-0.8466666666666667
Albert Pujols,STL,-3.54
Alcides Escobar,WSN,-1.2
Alec Mills,CHC,-6.07
Alejo Lopez,CIN,-0.155
Alek Manoah,TOR,6.708333333333333
Alex Claudio,NYM,1.36
Alex Cobb,SFG,0.06166666666666661
Alex Colome,COL,-1.5599999999999998
Alex Faedo,DET,-2.3033333333333332
Alex Lange,DET,-0.8383333333333335
Alex Vesia,LAD,2.07
Alex Wood,SFG,-2.462
Alex Young,CLE,-0.78
Alex Young,SFG,1.235
Alexander Wells,BAL,0.34
Alexis Diaz,CIN,2.595
Amir Garrett,KCR,0.665
Anderson Espinoza,CHC,0.03333333333333336
Anderson Severino,CHW,-1.48
Andre Jackson,LAD,0.94
Andre Pallante,STL,1.3416666666666666
Andrelton Simmons,CHC,-4.45
Andres Machado,WSN,0.30000000000000004
Andres Munoz,SEA,2.2066666666666666
Andrew Bellatti,PHI,0.7400000000000001
Andrew Chafin,DET,0.93
Andrew Heaney,LAD,0.08399999999999994
Andrew Kittredge,TBR,0.8833333333333333
Andrew Knizner,STL,-0.65
Andrew Nardi,MIA,-6.245
Andrew Vasquez,SFG,0.9
Andrew Vasquez,TOR,-0.3499999999999999
Andrew Wantz,LAA,1.612
Aneurys Zabala,MIA,0.195
Angel De Jesus,DET,0.69
Angel Rondon,STL,2.5
Angel Zerpa,KCR,1.97
Anibal Sanchez,WSN,0.28999999999999987
Anthony Banda,TOR,0.89
Anthony Banda,PIT,-2.7066666666666666
Anthony Banda,NYY,-2.29
Anthony Bass,MIA,3.3274999999999997
Anthony Bass,TOR,3.2750000000000004
Anthony Bender,MIA,0.27666666666666667
Anthony Castro,CLE,-2.4074999999999998
Anthony DeSclafani,SFG,-5.985
Anthony Gose,CLE,-0.33499999999999996
Anthony Kay,TOR,-0.07
Anthony Misiewicz,SEA,-0.4366666666666667
Anthony Misiewicz,KCR,-1.285
Antonio Senzatela,COL,-0.5
Archie Bradley,LAA,-0.21666666666666665
Arodys Vizcaino,KCR,-0.7999999999999999
Aroldis Chapman,NYY,-1.018
Art Warren,CIN,-2.276666666666667
Ashton Goudeau,COL,-2.085
Austin Adams,SDP,1.19
Austin Brice,PIT,0.11999999999999998
Austin Davis,MIN,-2.29
Austin Davis,BOS,-2.4240000000000004
Austin Gomber,COL,-1.4183333333333337
Austin Pruitt,OAK,-1.276
Austin Voth,WSN,-5.605
Austin Voth,BAL,2.3724999999999996
Austin Warren,LAA,-2.5866666666666664
Austin Wynns,SFG,-1.0350000000000001
Bailey Falter,PHI,0.06166666666666661
Bailey Ober,MIN,1.1574999999999998
Beau Brieske,DET,0.06499999999999995
Beau Sulser,BAL,-0.05000000000000001
Beau Sulser,PIT,0.69
Beau Sulser,- - -,-5.51
Bennett Sousa,CHW,-3.473333333333334
Blake Snell,SDP,1.9983333333333333
Blake Taylor,HOU,-0.21333333333333335
Blake Treinen,LAD,0.85
Bowden Francis,TOR,0.2
Brad Boxberger,MIL,0.8233333333333333
Brad Hand,PHI,-0.5233333333333333
Brad Keller,KCR,-3.6766666666666663
Brady Singer,KCR,3.2866666666666666
Brandon Bielak,HOU,0.24666666666666673
Brandon Hughes,CHC,1.1560000000000001
Brandon Woodruff,MIL,4.196666666666666
Braxton Garrett,MIA,1.075
Brayan Bello,BOS,-0.6999999999999998
Brendon Little,CHC,-2.75
Brennan Bernardino,SEA,-1.275
Brent Suter,MIL,0.16166666666666676
Brett Martin,TEX,-0.9400000000000001
Brett Phillips,TBR,-2.0733333333333333
Brian Moran,LAA,-2.69
Brian Serven,COL,0.64
Brock Burke,TEX,2.0
Brooks Raley,TBR,0.955
Bruce Zimmermann,BAL,-3.082
Brusdar Graterol,LAD,1.0116666666666665
Bryan Abreu,HOU,0.7866666666666666
Bryan Baker,BAL,0.48500000000000004
Bryan Garcia,DET,0.6466666666666666
Bryan Hoeing,MIA,-5.735
Bryan Shaw,CLE,-1.5916666666666668
Bryce Elder,ATL,2.2133333333333334
Bryce Montes de Oca,NYM,-1.3
Bryse Wilson,PIT,-3.2466666666666666
