Name,Team,WAR
A.J. Alexy,TEX,-0.06666666666666667
A.J. Ladwig,MIA,-0.2
A.J. Minter,ATL,0.3333333333333333
A.J. Puk,OAK,0.03333333333333335
Aaron Ashby,MIL,0.15
Aaron Brooks,STL,-0.2
Aaron Bummer,CHW,0.07500000000000001
Aaron Civale,CLE,0.21666666666666667
Aaron Fletcher,PIT,-0.1
Aaron Loup,LAA,0.049999999999999996
Aaron Nola,PHI,1.05
Aaron Sanchez,WSN,-0.05
Aaron Sanchez,MIN,0.15
Adam Cimber,TOR,0.15
Adam Kolarek,OAK,-0.1
Adam Oller,OAK,-0.16666666666666666
Adam Ottavino,NYM,0.15
Adam Wainwright,STL,0.5000000000000001
Adbert Alzolay,CHC,0.5
Adonis Medina,NYM,-0.016666666666666666
Adrian Houser,MIL,0.2
Adrian Martinez,OAK,-0.04
Adrian Morejon,SDP,0.07500000000000001
Adrian Sampson,CHC,0.3
Albert Abreu,TEX,-0.15
Albert Abreu,NYY,0.06666666666666667
Albert Abreu,- - -,0.0
Albert Pujols,STL,-0.1
Alcides Escobar,WSN,0.0
Alec Mills,CHC,-0.25
Alejo Lopez,CIN,-0.05
Alek Manoah,TOR,0.7000000000000001
Alex Claudio,NYM,0.0
Alex Cobb,SFG,0.6166666666666667
Alex Colome,COL,0.03333333333333333
Alex Faedo,DET,0.13333333333333333
Alex Lange,DET,0.11666666666666665
Alex Vesia,LAD,0.2333333333333333
Alex Wood,SFG,0.36
Alex Young,SFG,0.2
Alex Young,CLE,0.0
Alexander Wells,BAL,-0.1
Alexis Diaz,CIN,0.18333333333333335
Amir Garrett,KCR,0.10000000000000002
Anderson Espinoza,CHC,-0.16666666666666666
Anderson Severino,CHW,0.0
Andre Jackson,LAD,0.2
Andre Pallante,STL,0.10000000000000002
Andrelton Simmons,CHC,0.0
Andres Machado,WSN,-0.016666666666666666
Andres Munoz,SEA,0.31666666666666665
Andrew Bellatti,PHI,0.18333333333333335
Andrew Chafin,DET,0.11666666666666665
Andrew Heaney,LAD,0.24
Andrew Kittredge,TBR,-0.06666666666666667
Andrew Knizner,STL,0.0
Andrew Nardi,MIA,-0.2
Andrew Vasquez,SFG,0.1
Andrew Vasquez,TOR,-0.03333333333333333
Andrew Wantz,LAA,0.0
Aneurys Zabala,MIA,0.0
Angel De Jesus,DET,-0.03333333333333333
Angel Rondon,STL,0.1
Angel Zerpa,KCR,-0.1
Anibal Sanchez,WSN,-0.033333333333333326
Anthony Banda,NYY,0.0
Anthony Banda,PIT,0.03333333333333333
Anthony Banda,TOR,0.0
Anthony Bass,MIA,0.35
Anthony Bass,TOR,-0.05
Anthony Bender,MIA,-0.06666666666666667
Anthony Castro,CLE,-0.125
Anthony DeSclafani,SFG,0.0
Anthony Gose,CLE,-0.025
Anthony Kay,TOR,0.0
Anthony Misiewicz,SEA,0.0
Anthony Misiewicz,KCR,0.05
Antonio Senzatela,COL,0.3
Archie Bradley,LAA,0.06666666666666667
Arodys Vizcaino,KCR,-0.1
Aroldis Chapman,NYY,-0.06000000000000001
Art Warren,CIN,-0.05000000000000001
Ashton Goudeau,COL,0.0
Austin Adams,SDP,0.0
Austin Brice,PIT,0.0
Austin Davis,BOS,0.06000000000000001
Austin Davis,MIN,0.0
Austin Gomber,COL,0.18333333333333335
Austin Pruitt,OAK,-0.06000000000000001
Austin Voth,WSN,-0.05
Austin Voth,BAL,0.275
Austin Warren,LAA,-0.06666666666666667
Austin Wynns,SFG,-0.05
Bailey Falter,PHI,0.09999999999999999
Bailey Ober,MIN,0.375
Beau Brieske,DET,0.04999999999999999
Beau Sulser,PIT,0.0
Beau Sulser,BAL,0.0
Beau Sulser,- - -,0.0
Bennett Sousa,CHW,-0.09999999999999999
Blake Snell,SDP,0.6166666666666666
Blake Taylor,HOU,-0.03333333333333333
Blake Treinen,LAD,0.0
Bowden Francis,TOR,0.0
Brad Boxberger,MIL,0.11666666666666668
Brad Hand,PHI,0.06666666666666667
Brad Keller,KCR,0.11666666666666665
Brady Singer,KCR,0.5
Brandon Bielak,HOU,-0.03333333333333333
Brandon Hughes,CHC,-0.06000000000000001
Brandon Woodruff,MIL,0.6333333333333333
Braxton Garrett,MIA,0.375
Brayan Bello,BOS,0.4000000000000001
Brendon Little,CHC,-0.2
Brennan Bernardino,SEA,-0.05
Brent Suter,MIL,-0.03333333333333333
Brett Martin,TEX,0.016666666666666666
Brett Phillips,TBR,-0.06666666666666667
Brian Moran,LAA,-0.1
Brian Serven,COL,0.0
Brock Burke,TEX,0.13333333333333333
Brooks Raley,TBR,0.16666666666666666
Bruce Zimmermann,BAL,-0.1
