Name,New team offseason 21,CSW%,F-Strike%,RE24,WAR,K-BB%,Type,Year
A.J. Alexy,No,21.700000000000003,55.0,0.3599999999999999,0.0,2.15,Reliever,2021
A.J. Alexy,No,25.2,60.2,-1.36,-0.0666666666666666,-6.533333333333334,Reliever,2022
A.J. Cole,,25.4,53.3,2.67,0.1,20.0,,2021
A.J. Ladwig,No,17.1,80.0,-1.64,-0.2,0.0,Reliever,2022
A.J. Minter,No,30.816666666666663,63.383333333333326,1.2166666666666666,0.1833333333333333,16.9,Reliever,2021
A.J. Minter,No,30.71666666666667,67.21666666666667,2.1566666666666667,0.3333333333333333,29.33333333333333,Reliever,2022
A.J. Puk,No,24.366666666666664,54.06666666666666,-0.9566666666666668,0.0333333333333333,11.933333333333335,Reliever,2021
A.J. Puk,No,30.883333333333336,61.68333333333334,-0.1916666666666666,0.0333333333333333,19.466666666666665,Reliever,2022
AJ Ramos,,27.4,56.3,2.75,0.1,6.3,,2021
Aaron Ashby,No,29.933333333333334,53.66666666666666,-0.7733333333333331,0.1333333333333333,6.0,Starter,2021
Aaron Ashby,No,31.65,60.833333333333336,-1.7016666666666669,0.15,15.916666666666666,Starter,2022
Aaron Brooks,No,31.2,62.8,-3.95,-0.2,11.6,Reliever,2022
Aaron Bummer,No,32.2,59.76666666666667,0.5866666666666667,0.2166666666666666,17.900000000000002,Reliever,2021
Aaron Bummer,No,32.55,51.05,-0.3824999999999999,0.075,18.55,Reliever,2022
Aaron Civale,No,25.975,65.225,2.135,0.2249999999999999,14.15,Starter,2021
Aaron Civale,No,27.63333333333333,63.21666666666667,-1.3949999999999998,0.2166666666666666,18.1,Starter,2022
Aaron Fletcher,No,26.55,52.6,-1.7500000000000002,-0.1,-1.4500000000000002,Reliever,2022
Aaron Fletcher,No,31.4,70.0,-3.16,-0.1,5.0,Reliever,2021
Aaron Loup,No,27.433333333333334,57.98333333333334,-0.4316666666666668,0.0499999999999999,12.116666666666667,Reliever,2022
Aaron Loup,No,30.683333333333337,65.2,2.5316666666666667,0.2666666666666666,20.633333333333333,Reliever,2021
Aaron Nola,No,32.38333333333333,70.2,4.491666666666666,1.05,25.666666666666668,Starter,2022
Aaron Nola,No,31.183333333333334,66.51666666666667,-0.2116666666666668,0.7333333333333334,24.6,Starter,2021
Aaron Northcraft,,23.45,58.0,0.975,-0.05,-7.65,,2021
Aaron Sanchez,Yes,25.7,63.65,-5.505,-0.05,14.6,Reliever,2022
Aaron Sanchez,Yes,25.7,63.65,-5.505,0.15,7.2,Reliever,2022
Aaron Sanchez,Yes,25.7,63.65,-5.505,0.15,14.6,Reliever,2022
Aaron Sanchez,Yes,25.7,59.6,-1.24,-0.05,7.2,Reliever,2022
Aaron Sanchez,Yes,25.7,59.6,-1.24,-0.05,14.6,Reliever,2022
Aaron Sanchez,Yes,25.7,59.6,-1.24,0.15,7.2,Reliever,2022
Aaron Sanchez,Yes,25.7,59.6,-1.24,0.15,14.6,Reliever,2022
Aaron Sanchez,Yes,25.35,63.65,-1.24,-0.05,14.6,Reliever,2022
Aaron Sanchez,Yes,25.7,59.6,-5.505,-0.05,14.6,Reliever,2022
Aaron Sanchez,Yes,25.35,59.6,-5.505,0.15,14.6,Reliever,2022
Aaron Sanchez,Yes,25.35,59.6,-5.505,0.15,7.2,Reliever,2022
Aaron Sanchez,Yes,25.35,59.6,-5.505,-0.05,14.6,Reliever,2022
Aaron Sanchez,Yes,25.35,59.6,-5.505,-0.05,7.2,Reliever,2022
Aaron Sanchez,Yes,25.35,59.6,-1.24,0.15,14.6,Reliever,2022
Aaron Sanchez,Yes,25.35,59.6,-1.24,0.15,7.2,Reliever,2022
Aaron Sanchez,Yes,25.35,59.6,-1.24,-0.05,14.6,Reliever,2022
Aaron Sanchez,Yes,25.35,59.6,-1.24,-0.05,7.2,Reliever,2022
Aaron Sanchez,Yes,25.35,63.65,-5.505,0.15,14.6,Reliever,2022
Aaron Sanchez,Yes,25.35,63.65,-5.505,-0.05,14.6,Reliever,2022
Aaron Sanchez,Yes,25.35,63.65,-5.505,-0.05,7.2,Reliever,2022
Aaron Sanchez,Yes,25.35,63.65,-1.24,0.15,14.6,Reliever,2022
Aaron Sanchez,Yes,25.35,63.65,-1.24,0.15,7.2,Reliever,2022
Aaron Sanchez,Yes,25.7,63.65,-5.505,-0.05,7.2,Reliever,2022
Aaron Sanchez,Yes,25.35,63.65,-1.24,-0.05,7.2,Reliever,2022
Aaron Sanchez,Yes,25.7,59.6,-5.505,0.15,14.6,Reliever,2022
Aaron Sanchez,Yes,25.7,59.6,-5.505,0.15,7.2,Reliever,2022
Aaron Sanchez,Yes,25.7,59.6,-5.505,-0.05,7.2,Reliever,2022
Aaron Sanchez,Yes,25.7,63.65,-1.24,0.15,14.6,Reliever,2022
Aaron Sanchez,Yes,25.35,63.65,-5.505,0.15,7.2,Reliever,2022
Aaron Sanchez,Yes,25.7,63.65,-1.24,-0.05,14.6,Reliever,2022
Aaron Sanchez,Yes,25.7,63.65,-1.24,-0.05,7.2,Reliever,2022
Aaron Sanchez,Yes,25.7,63.65,-1.24,0.15,7.2,Reliever,2022
Aaron Sanchez,Yes,24.25,51.275,1.09,0.1,4.925,Reliever,2021
Aaron Slegers,,24.5,64.34,-2.6380000000000003,-0.06,0.4200000000000002,,2021
Adam Cimber,No,25.633333333333336,61.4,2.07,0.1666666666666666,11.733333333333334,Reliever,2021
Adam Cimber,No,27.133333333333336,65.3,0.525,0.15,15.533333333333331,Reliever,2022
Adam Conley,,29.35,71.05000000000001,2.56,0.05,13.25,,2021
Adam Eaton,,19.0,60.0,0.53,0.0,0.0,,2021
Adam Kolarek,No,21.8,49.400000000000006,0.005,-0.1,0.95,Reliever,2022
Adam Kolarek,No,25.95,62.85,-4.25,-0.1,-2.85,Reliever,2021
Adam Morgan,,31.225,52.875,0.0975,-0.075,14.025,,2021
Adam Oller,No,21.633333333333336,60.23333333333333,-3.0683333333333334,-0.1666666666666666,1.6666666666666667,Starter,2022
Adam Ottavino,No,32.75,59.91666666666666,1.8016666666666667,0.15,24.2,Reliever,2022
Adam Ottavino,No,31.6,55.75,1.096666666666667,0.1,12.883333333333333,Reliever,2021
