Name,PreviousCSW%,ActualCSW%,Difference,DifferenceRate
Javy Guerra,21.7,25.65,3.95,0.18202765
Robert Stephenson,26.98,34.35,7.37,0.273165308
Luke Farrell,24.8,28.1,3.3,0.133064516
Sean Newcomb,24,26.6,2.6,0.108333333
Joel Payamps,23.56,22.1,-1.46,-0.06196944
Derek Law,26.9,28.2,1.3,0.048327138
Robert Dugger,28.8,29.6,0.8,0.027777778
Tyler Beede,22.4,25.6,3.2,0.142857143
Reyes Moronta,28.95,28.9,-0.05,-0.001727116
Jose Urena,22.03333333,28.1,6.06666667,0.275340394
Colin Holderman,17.8,28.46666667,10.66666667,0.599250937
Chi Chi Gonzalez,27.9,24.7,-3.2,-0.114695341
Matt Bush,34.1,33,-1.1,-0.032258065
Taylor Rogers,33.075,37.4,4.325,0.130763416
Yohan Ramirez,28.375,30,1.625,0.057268722
Tucker Davidson,24.45,26.8,2.35,0.096114519
Tommy Romero,34.5,22,-12.5,-0.362318841
Josh Hader,29.15,34.225,5.075,0.174099485
Scott Effross,31.025,30.65,-0.375,-0.012087027
Max Castillo,29.65,24.45,-5.2,-0.175379427
Garrett Cleavinger,31.86666667,36.95,5.08333333,0.159518828
Anthony Misiewicz,18.13333333,32.3,14.16666667,0.78125
Lou Trivino,28.3,26.675,-1.625,-0.057420495
Jesse Chavez,29.2875,29.2,-0.0875,-0.002987623
David McKay,28.6,20.4,-8.2,-0.286713287
David Robertson,31.15,34.5,3.35,0.107544141
Chris Stratton,28.2,26.05,-2.15,-0.076241135
Mychal Givens,28.55,29.4,0.85,0.029772329
Tyler Thornburg,25.25,20.8,-4.45,-0.176237624
Yennier Cano,25,28.23333333,3.23333333,0.129333333
Sergio Romo,26.53333333,26.7,0.16666667,0.006281407
Jake Diekman,30.275,30.4,0.125,0.004128819
Dallas Keuchel,24.225,26.75,2.525,0.104231166
Frankie Montas,24.8,25.3,0.5,0.019762846
Dinelson Lamet,30.83333333,32.9,2.06666667,0.067027027
Chris Devenski,29.6,29.9,0.3,0.010135135
Anthony Banda,26.71666667,22.8,-3.91666667,-0.146600125
Paul Fry,30.7,29.6,-1.1,-0.035830619
Mitch White,24.7,23.5,-1.2,-0.048582996
Ian Gibaut,28.6,28.83333333,0.23333333,0.008158508
Jake Reed,26.36666667,27.9,1.53333333,0.058154235
Luis Castillo,27.63333333,29.3,1.66666667,0.060313631
Luke Bard,25,26.3,1.3,0.052
A.J. Alexy,,25.2,25.2,0
A.J. Ladwig,,17.1,17.1,0
A.J. Minter,,30.71666667,30.71666667,0
A.J. Puk,,30.88333333,30.88333333,0
Aaron Ashby,,31.65,31.65,0
Aaron Brooks,,31.2,31.2,0
Aaron Bummer,,32.55,32.55,0
Aaron Civale,,27.63333333,27.63333333,0
Aaron Fletcher,,26.55,26.55,0
Aaron Loup,,27.43333333,27.43333333,0
Aaron Nola,,32.38333333,32.38333333,0
Adam Cimber,,27.13333333,27.13333333,0
Adam Kolarek,,21.8,21.8,0
Adam Oller,,21.63333333,21.63333333,0
Adam Ottavino,,32.75,32.75,0
Adam Wainwright,,27.85,27.85,0
Adbert Alzolay,,31.6,31.6,0
Adonis Medina,,23.53333333,23.53333333,0
Adrian Houser,,23.9,23.9,0
Adrian Martinez,,26.78,26.78,0
Adrian Morejon,,23.925,23.925,0
Adrian Sampson,,22.16,22.16,0
Albert Pujols,,18.5,18.5,0
Alcides Escobar,,16.7,16.7,0
Alec Mills,,19.7,19.7,0
Alejo Lopez,,18.45,18.45,0
Alek Manoah,,27.36666667,27.36666667,0
Alex Claudio,,18,18,0
Alex Cobb,,29.61666667,29.61666667,0
Alex Colome,,21.98333333,21.98333333,0
Alex Faedo,,26.1,26.1,0
Alex Lange,,34.36666667,34.36666667,0
Alex Vesia,,30.75,30.75,0
Alex Wood,,29,29,0
Alexander Wells,,31.8,31.8,0
Alexis Diaz,,29.78333333,29.78333333,0
Amir Garrett,,27.98333333,27.98333333,0
Anderson Espinoza,,23.16666667,23.16666667,0
Anderson Severino,,31.6,31.6,0
Andre Jackson,,25,25,0
Andre Pallante,,24.55,24.55,0
Andrelton Simmons,,16,16,0
