Name,PreviousF-Strike%,ActualF-Strike%,Difference,DifferenceRate
Luke Farrell,50,70,20,0.4
Beau Sulser,58.65,70,11.35,0.193520887
Derek Law,57.1,62.5,5.4,0.094570928
Robert Stephenson,48.6,56.1,7.5,0.154320988
Tyler Beede,60.85,57,-3.85,-0.063270337
Reyes Moronta,62.22,54.85,-7.37,-0.118450659
Frankie Montas,57.7,59.675,1.975,0.034228769
Lou Trivino,57.2,55.025,-2.175,-0.038024476
Sam Clay,83.3,53.35,-29.95,-0.359543818
Raisel Iglesias,59.6,62.025,2.425,0.040687919
Junior Fernandez,66.9,50,-16.9,-0.252615845
Jose Urena,57.4,69.4,12,0.209059233
Sean Newcomb,56.1,48.6,-7.5,-0.13368984
Ryan Borucki,56.63333333,53.7,-2.93333333,-0.051795174
Ian Gibaut,50,55.06666667,5.06666667,0.101333333
Tommy Romero,72.25,60.9,-11.35,-0.157093426
Rob Zastryzny,41.7,50,8.3,0.199040767
Heath Hembree,55,56.66666667,1.66666667,0.03030303
Danny Young,85,66.7,-18.3,-0.215294118
Jesse Chavez,64.8375,64.3,-0.5375,-0.008289956
Austin Voth,62.8,61.25,-1.55,-0.024681529
Jimmy Yacabonis,75,61,-14,-0.186666667
Jorge Lopez,60.75,62.775,2.025,0.033333333
Shane Greene,60,87.5,27.5,0.458333333
Louis Head,40.7,53.33333333,12.63333333,0.31040131
Foster Griffin,63.35,25,-38.35,-0.605367009
Sergio Romo,64.53333333,42.9,-21.63333333,-0.335227273
Alex Young,62.3,50,-12.3,-0.197431782
Daniel Norris,54.175,61.8,7.625,0.140747577
Yohan Ramirez,56.375,63.6,7.225,0.128159645
Kervin Castro,63,45.5,-17.5,-0.277777778
Yennier Cano,66.7,55.26666667,-11.43333333,-0.171414293
Jake Odorizzi,48.45,58.06666667,9.61666667,0.198486412
David Robertson,63.5,67.95,4.45,0.07007874
Logan Allen,53.3,40,-13.3,-0.249530957
Dinelson Lamet,66.43333333,54.4,-12.03333333,-0.181133969
Jake Diekman,57.725,66.4,8.675,0.150281507
Scott Effross,66,65.15,-0.85,-0.012878788
Christian Bethancourt,85,50,-35,-0.411764706
Andrew Vasquez,42.9,66.5,23.6,0.55011655
