Name,ActualF-Strike%,PreviousF-Strike%
Aaron Fletcher,0.48,0.7
Aaron Loup,0.58,0.64
Adam Cimber,0.65,0.61
Adam Ottavino,0.61,0.55
Adonis Medina,0.63,0.42
Alex Claudio,0.39,0.57
Alex Cobb,0.65,0.61
Alex Colome,0.53,0.55
Amir Garrett,0.59,0.6
Andrew Bellatti,0.56,0.63
Andrew Chafin,0.63,0.62
Andrew Heaney,0.68,0.67
Anthony Castro,0.55,0.52
Archie Bradley,0.58,0.62
Ashton Goudeau,0.57,0.56
Austin Brice,0.67,0.48
Austin Pruitt,0.68,0.62
Austin Wynns,0.4,0.75
Brad Hand,0.56,0.62
Brooks Raley,0.64,0.64
Bryan Baker,0.64,0.5
Bryse Wilson,0.6,0.62
Buck Farmer,0.63,0.59
Carl Edwards Jr.,0.61,0.39
Carlos Rodon,0.62,0.59
Cesar Valdez,0.6,0.61
Chad Kuhl,0.6,0.52
Chase Anderson,0.53,0.59
Chasen Shreve,0.7,0.63
Chris Archer,0.57,0.61
Chris Bassitt,0.61,0.62
Chris Ellis,0.56,0.55
Chris Paddack,0.66,0.64
Cionel Perez,0.62,0.44
Clay Holmes,0.55,0.61
Cole Sulser,0.64,0.6
Collin McHugh,0.65,0.64
Conner Menez,0.2,0.6
Connor Overton,0.63,0.67
Cooper Criswell,0.85,0.4
Corey Kluber,0.68,0.65
Corey Knebel,0.56,0.58
Cory Abbott,0.54,0.51
Craig Kimbrel,0.63,0.63
Daniel Hudson,0.54,0.6
Darin Ruf,0.86,0.67
Darren O'Day,0.64,0.48
Dennis Santana,0.53,0.57
Diego Castillo,0.56,0.57
Domingo Tapia,0.57,0.5
Drew Rasmussen,0.63,0.69
Drew Smyly,0.69,0.65
Dusten Knight,0.59,0.61
Dylan Bundy,0.68,0.57
Eduardo Rodriguez,0.64,0.64
Edwin Uceta,0.58,0.6
Emilio Pagan,0.64,0.6
Enyel De Los Santos,0.66,0.65
Erasmo Ramirez,0.65,0.63
Evan Phillips,0.67,0.67
Francisco Perez,0.6,0.43
Garrett Richards,0.59,0.59
Greg Holland,0.6,0.55
Hansel Robles,0.53,0.56
Hanser Alberto,0.45,0.0
Hector Neris,0.59,0.6
Hunter Harvey,0.62,0.58
Hunter Strickland,0.62,0.59
Ian Kennedy,0.66,0.68
J.B. Wendelken,0.51,0.56
J.P. Feyereisen,0.65,0.63
JC Mejia,0.56,0.54
JT Chargois,0.67,0.54
Jack Mayfield,0.75,1.0
Jakob Junis,0.67,0.57
James Norwood,0.64,0.78
Jason Adam,0.64,0.42
Javy Guerra,0.57,
Jay Jackson,0.4,0.51
Jerad Eickhoff,0.63,0.63
Jesus Luzardo,0.65,0.58
Jesus Tinoco,0.58,0.6
Jhon Romero,0.75,0.41
Jimmy Herget,0.62,0.6
Joe Kelly,0.54,0.58
Joe Smith,0.66,0.65
Joely Rodriguez,0.65,0.57
Joey Krehbiel,0.54,0.53
Johnny Cueto,0.67,0.66
Jon Gray,0.67,0.64
Jordan Lyles,0.61,0.59
Jordan Weems,0.55,0.47
Jose Berrios,0.66,0.65
Josiah Gray,0.58,0.64
Justin Dunn,0.57,0.56
Justin Wilson,0.62,0.56
Kendall Graveman,0.6,0.59
Kenley Jansen,0.69,0.62
Kevin Gausman,0.68,0.64
Keynan Middleton,0.64,0.61
Kirby Snead,0.63,0.73
Kyle Barraclough,0.6,0.55
Kyle Crick,0.56,0.61
Kyle Gibson,0.59,0.59
Kyle Nelson,0.58,0.61
Kyle Tyler,0.57,0.42
Luis Cessa,0.62,0.61
Luis Garcia,0.58,
Marcus Stroman,0.67,0.62
Mark Melancon,0.62,0.64
Martin Perez,0.63,0.63
Marwin Gonzalez,1.0,0.33
Mason Thompson,0.58,0.52
Matt Moore,0.59,0.62
Matt Strahm,0.62,0.61
Matt Wisler,0.64,0.65
Matthew Boyd,0.64,0.72
Mauricio Llovera,0.57,0.6
Max Scherzer,0.66,0.64
Michael Feliz,0.46,0.68
Michael Lorenzen,0.63,0.74
Michael Pineda,0.62,0.7
Michael Wacha,0.61,0.69
Miguel Castro,0.52,0.53
Miguel Diaz,0.43,0.63
Mike Minor,0.6,0.61
Nick Nelson,0.59,0.49
Nick Wittgren,0.59,0.6
Noe Ramirez,0.61,0.65
Oliver Perez,0.67,0.72
Packy Naughton,0.63,0.64
Patrick Murphy,0.56,0.48
Phil Bickford,0.61,0.62
Phil Maton,0.59,0.61
Rafael Montero,0.62,0.64
Ralph Garza,0.69,0.65
Raynel Espinal,0.52,0.5
Rich Hill,0.63,0.63
Riley O'Brien,0.6,0.67
Robbie Ray,0.64,0.62
Robert Gsellman,0.64,0.63
Ross Detwiler,0.59,0.54
Ryan Castellani,0.73,0.59
Ryan Tepera,0.59,0.64
Ryan Weber,0.76,0.64
Sam Selman,0.6,0.56
Sandy Leon,0.67,0.65
Scott Alexander,0.67,0.58
Sean Doolittle,0.77,0.65
Sean Manaea,0.64,0.67
Sean Poppen,0.61,0.61
Shaun Anderson,0.86,0.56
Shelby Miller,0.7,0.48
Sonny Gray,0.61,0.59
Spencer Howard,0.58,0.62
Steve Cishek,0.6,0.56
Steven Brault,0.44,0.51
Steven Matz,0.64,0.59
T.J. Zeuch,0.59,0.7
Tanner Scott,0.55,0.55
Taylor Clarke,0.67,0.63
Tommy Milone,0.7,0.69
Tommy Nance,0.58,0.57
Touki Toussaint,0.45,0.58
Trevor Megill,0.63,0.57
Trevor Richards,0.53,0.57
Trevor Williams,0.68,0.68
Tyler Anderson,0.66,0.69
Tyler Clippard,0.39,0.53
Vince Velasquez,0.62,0.61
Vinny Nittoli,0.38,0.33
Wade Miley,0.66,0.58
Wandy Peralta,0.59,0.64
Will Vest,0.62,0.65
Willians Astudillo,0.43,0.38
Yency Almonte,0.61,0.55
Yimi Garcia,0.62,0.59
Yoan Lopez,0.57,0.64
Yusei Kikuchi,0.57,0.63
Zach Davies,0.56,0.52
Zach Thompson,0.63,0.61
Zack Greinke,0.65,0.66
