Name,PreviousK-BB%,ActualK-BB%,Difference,DifferenceRate
Louis Head,9.166666667,-3.7,-12.86666667,-3.477477478
Frankie Montas,18.375,9.25,-9.125,-0.986486486
Jake Odorizzi,10.7,10.55,-0.15,-0.014218009
Noah Syndergaard,12.625,9.65,-2.975,-0.308290155
Tucker Davidson,-2.6,0.75,3.35,4.466666667
Jacob Barnes,0.133333333,25,24.86666667,0.994666667
Wyatt Mills,5.75,18.3,12.55,0.68579235
Jose Quintana,13.15,13.05,-0.1,-0.007662835
Heath Hembree,-4.833333333,12.1,16.93333333,1.399449036
Jose Urena,-5.6,5.366666667,10.96666667,2.043478261
Mitch White,7.1,12.65,5.55,0.438735178
Johan Oviedo,19.45,9,-10.45,-1.161111111
Raisel Iglesias,27.45,23.35,-4.1,-0.175588865
Anthony Misiewicz,3.55,-5.233333333,-8.783333333,-1.678343949
Chris Martin,25.9,35.7,9.8,0.274509804
Garrett Cleavinger,30.85,28.3,-2.55,-0.090106007
Lou Trivino,18.725,13.2,-5.525,-0.418560606
Shawn Armstrong,5.9,22.3,16.4,0.735426009
Anthony Banda,14.8,-9.05,-23.85,-2.635359116
Thomas Szapucki,-7.7,27.35,35.05,1.281535649
Jimmy Yacabonis,19,-1.25,-20.25,-16.2
Jeurys Familia,11.475,-1.25,-12.725,-10.18
Colin Holderman,11.4,-2,-13.4,-6.7
JP Sears,10.75,8,-2.75,-0.34375
Diego Castillo,14.45,,-14.45,0
JoJo Romero,0,21.2,21.2,0
Luis Garcia,17.18333333,,-17.18333333,0
Luis Ortiz,10.1,,-10.1,0
Luke Bard,4.7,0,-4.7,0
Shane Greene,12.5,0,-12.5,0
Yohan Ramirez,0,7.975,7.975,0
Christian Bethancourt,-25,5,30,6
Jorge Lopez,18.8,4.95,-13.85,-2.797979798
Will Smith,22.35,11.6,-10.75,-0.926724138
Ryan Borucki,5.55,10.46666667,4.91666667,0.469745223
Yennier Cano,2.566666667,7.4,4.833333333,0.653153153
David Robertson,19.825,14.65,-5.175,-0.353242321
Sam Clay,-14.15,16.7,30.85,1.847305389
Austin Voth,13.75,12.95,-0.8,-0.061776062
Rob Zastryzny,25,8.3,-16.7,-2.012048193
Eric Stout,33.3,11.46666667,-21.83333333,-1.904069767
Alex Young,50,7.85,-42.15,-5.369426752
Manny Banuelos,14.3,10.66666667,-3.63333333,-0.340625
Andrew Vasquez,9.633333333,42.9,33.26666667,0.775446775
