Name,PreviousK-BB%,ActualK-BB%,Difference,DifferenceRate
Aaron Fletcher,0.05,0.04,-0.01,-0.2
Aaron Loup,0.19,0.12,-0.07,-0.368421053
Adam Cimber,0.12,0.15,0.03,0.25
Adam Ottavino,0.13,0.24,0.11,0.846153846
Adonis Medina,0.06,0.1,0.04,0.666666667
Alex Claudio,0.1,0,-0.1,0
Alex Cobb,0.17,0.17,0,0
Alex Colome,0.12,0.05,-0.07,-0.583333333
Amir Garrett,0.15,0.09,-0.06,-0.4
Andrew Bellatti,0.11,0.23,0.12,1.090909091
Andrew Chafin,0.17,0.2,0.03,0.176470588
Andrew Heaney,0.2,0.29,0.09,0.45
Anthony Castro,0.22,0.03,-0.19,-0.863636364
Archie Bradley,0.08,0.1,0.02,0.25
Ashton Goudeau,0.04,0.06,0.02,0.5
Austin Brice,0.08,0.07,-0.01,-0.125
Austin Pruitt,0.17,0.13,-0.04,-0.235294118
Austin Wynns,0,-0.1,-0.1,0
Brad Hand,0.13,0.08,-0.05,-0.384615385
Brooks Raley,0.24,0.21,-0.03,-0.125
Bryan Baker,0.25,0.17,-0.08,-0.32
Bryse Wilson,0.08,0.09,0.01,0.125
Buck Farmer,0.09,0.15,0.06,0.666666667
Carl Edwards Jr.,0.1,0.12,0.02,0.2
Carlos Rodon,0.28,0.26,-0.02,-0.071428571
Cesar Valdez,0.15,0,-0.15,0
Chad Kuhl,0.1,0.08,-0.02,-0.2
Chase Anderson,0.07,0.08,0.01,0.142857143
Chasen Shreve,0.07,0.17,0.1,1.428571429
Chris Archer,0.16,0.08,-0.08,-0.5
Chris Bassitt,0.19,0.16,-0.03,-0.157894737
Chris Ellis,0.07,-0.16,-0.23,-3.285714286
Chris Paddack,0.17,0.19,0.02,0.117647059
Cionel Perez,0.05,0.15,0.1,2
Clay Holmes,0.17,0.17,0,0
Cole Sulser,0.2,0.15,-0.05,-0.25
Collin McHugh,0.25,0.22,-0.03,-0.12
Conner Menez,0.19,0.2,0.01,0.052631579
Connor Overton,0.16,0.02,-0.14,-0.875
