Name,PreviousRE24,ActualRE24,Difference,DifferenceRate
Albert Abreu,-0.18,-0.3,-0.12,-0.666666667
Beau Sulser,-2.41,-5.56,-3.15,-1.307053942
Michael Fulmer,0.712,-1.19,-1.902,-2.671348315
Tyler Beede,-2.525,-1.206,1.319,0.522376238
Mitch White,0.765,-8.15,-8.915,-11.65359477
Shawn Armstrong,-0.458,-6.26,-5.802,-12.66812227
Wyatt Mills,-0.693333333,-0.63,0.063333333,0.091346153
Tommy Romero,-1.115,-6.43,-5.315,-4.766816143
Tyler Cyr,-0.9,3.11,4.01,4.455555556
Taylor Rogers,-0.45,-2.81,-2.36,-5.244444444
Jeurys Familia,-1.02,-3.05,-2.03,-1.990196078
Jake Odorizzi,-4.125,0.32,4.445,1.077575758
Chris Devenski,-0.855,-2.02,-1.165,-1.362573099
Dallas Keuchel,-7.585,-4.195,3.39,0.44693474
Alex Young,1.235,-0.78,-2.015,-1.631578947
Frankie Montas,-4.64,1.1275,5.7675,1.24299569
Christian Bethancourt,0.205,0.53,0.325,1.585365854
Yennier Cano,-4.49,-2.053333333,2.436666667,0.542687454
Anthony Banda,-2.498333333,0.89,3.388333333,1.356237492
Jake McGee,-0.945,-1.246666667,-0.301666667,-0.319223986
Luis Castillo,4.64,1.855,-2.785,-0.600215517
Raisel Iglesias,5.495,-0.895,-6.39,-1.162875341
Tucker Davidson,-5.295,-1.36,3.935,0.743153919
Junior Fernandez,-1.676666667,2.39,4.066666667,2.425447316
Mychal Givens,1.63,-1.02,-2.65,-1.625766871
Jimmy Yacabonis,-2.6,-1.615,0.985,0.378846154
Colin Holderman,-2.13,1.126666667,3.256666667,1.528951487
Manny Banuelos,-0.63,0.56,1.19,1.888888889
Jake Diekman,-1.69,-5.575,-3.885,-2.298816568
Jordan Montgomery,1.09,1.64,0.55,0.504587156
Danny Young,-1.27,1.31,2.58,2.031496063
Tyler Mahle,1.2225,-0.1,-1.3225,-1.081799591
Foster Griffin,-2.515,0.85,3.365,1.337972167
Sam Clay,-0.5,-1.485,-0.985,-1.97
Matt Peacock,-1.6,-0.81,0.79,0.49375
Tyler Thornburg,-1.25,1.1,2.35,1.88
Jose Quintana,6.085,1.565,-4.52,-0.742810189
Yohan Ramirez,-0.305,-0.04,0.265,0.868852459
Matt Bush,0.57,-1.625,-2.195,-3.850877193
Austin Davis,-2.424,-2.29,0.134,0.055280528
Aaron Sanchez,-5.505,-1.24,4.265,0.774750227
Eric Stout,-2.47,-0.2,2.27,0.91902834
Jacob Barnes,0.71,-1.353333333,-2.063333333,-2.906103286
Garrett Cleavinger,-1.483333333,2.155,3.638333333,2.452808989
Luke Bard,0.42,1.675,1.255,2.988095238
Daniel Norris,-2.8725,1.32,4.1925,1.459530026
