Name,PreviousRE24,ActualRE24,Difference,DifferenceRate
Aaron Fletcher,-3.16,-3.5,-0.34,-0.107594937
Aaron Loup,15.18,-2.59,-17.77,-1.170619236
Adam Cimber,12.43,3.15,-9.28,-0.746580853
Adam Ottavino,6.57,10.81,4.24,0.645357686
Adonis Medina,0.6,-7.55,-8.15,-13.58333333
Alex Claudio,-8.02,1.36,9.38,1.16957606
Alex Cobb,3.68,0.37,-3.31,-0.899456522
Alex Colome,-9.61,-9.35,0.26,0.027055151
Amir Garrett,-9.93,3.99,13.92,1.401812689
Andrew Bellatti,-1.96,4.44,6.4,3.265306122
Andrew Chafin,17.07,5.59,-11.48,-0.672524897
Andrew Heaney,-13.76,0.42,14.18,1.030523256
Anthony Castro,-0.36,-9.62,-9.26,-25.72222222
Archie Bradley,-0.34,-0.65,-0.31,-0.911764706
Ashton Goudeau,4.76,-4.17,-8.93,-1.87605042
Austin Brice,-4.92,0.36,5.28,1.073170732
Austin Pruitt,0.85,-6.37,-7.22,-8.494117647
Austin Wynns,-0.43,-2.08,-1.65,-3.837209302
Brad Hand,-9.83,-3.14,6.69,0.680569685
Brooks Raley,-6.77,5.73,12.5,1.846381093
Bryan Baker,0.56,2.91,2.35,4.196428571
Bryse Wilson,-7.95,-19.47,-11.52,-1.449056604
Buck Farmer,-7.35,2.94,10.29,1.4
Carl Edwards Jr.,-5.24,9.82,15.06,2.874045802
Carlos Rodon,29.4,27.28,-2.12,-0.072108844
Cesar Valdez,-11.36,-2.72,8.64,0.76056338
Chad Kuhl,-8.15,-17.58,-9.43,-1.157055215
Chase Anderson,-5.38,-4.11,1.27,0.23605948
Chasen Shreve,7.69,-8.7,-16.39,-2.131339402
Chris Archer,-0.73,-4.33,-3.6,-4.931506849
Chris Bassitt,26.88,13.5,-13.38,-0.497767857
Chris Ellis,8.44,-2.78,-11.22,-1.329383886
Chris Paddack,-12.71,0.56,13.27,1.044059795
Cionel Perez,-7.87,13.4,21.27,2.702668361
Clay Holmes,-0.71,8.04,8.75,12.32394366
Cole Sulser,12.23,-2.03,-14.26,-1.165985282
Collin McHugh,15.76,18.01,2.25,0.142766497
Conner Menez,-1.9,0.25,2.15,1.131578947
Connor Overton,1.17,8.53,7.36,6.290598291
Cooper Criswell,-2.88,0.01,2.89,1.003472222
Corey Kluber,4.86,-9.24,-14.1,-2.901234568
Corey Knebel,5.6,-0.57,-6.17,-1.101785714
Cory Abbott,-5.99,-5.18,0.81,0.135225376
Craig Kimbrel,13.56,-4.69,-18.25,-1.345870206
Daniel Hudson,3.53,5.62,2.09,0.592067989
Darin Ruf,-1.53,1.04,2.57,1.679738562
Darren O'Day,0.57,-2.22,-2.79,-4.894736842
Dennis Santana,-1.7,-8.16,-6.46,-3.8
Diego Castillo,6.03,-5.6,-11.63,-1.928689884
Domingo Tapia,9.07,-9.78,-18.85,-2.078280044
Drew Rasmussen,10.59,15.14,4.55,0.429650614
Drew Smyly,-2.75,10.38,13.13,4.774545455
Dusten Knight,-4.19,-3.37,0.82,0.195704057
Dylan Bundy,-16.57,-13.02,3.55,0.214242607
Eduardo Rodriguez,-4.17,-7.06,-2.89,-0.693045564
Edwin Uceta,-7.59,-4.14,3.45,0.454545455
Emilio Pagan,-6.27,-5.93,0.34,0.054226475
Enyel De Los Santos,-16.38,9.66,26.04,1.58974359
Erasmo Ramirez,-0.14,11.74,11.88,84.85714286
Evan Phillips,-0.15,23.72,23.87,159.1333333
Francisco Perez,-0.17,-4.14,-3.97,-23.35294118
Garrett Richards,-8.75,-6.32,2.43,0.277714286
Greg Holland,-4.51,-3.29,1.22,0.270509978
Hansel Robles,-0.05,-5.47,-5.42,-108.4
Hanser Alberto,0.34,0.42,0.08,0.235294118
Hector Neris,0.64,2.08,1.44,2.25
Hunter Harvey,-0.61,5.99,6.6,10.81967213
Hunter Strickland,12,-4.6,-16.6,-1.383333333
Ian Kennedy,6.5,-8.43,-14.93,-2.296923077
J.B. Wendelken,-2.46,-1.42,1.04,0.422764228
J.P. Feyereisen,3.9,10.65,6.75,1.730769231
JC Mejia,-18.53,-6.06,12.47,0.672962763
JT Chargois,8.2,3.63,-4.57,-0.557317073
Jack Mayfield,0.74,0.43,-0.31,-0.418918919
Jakob Junis,0.02,-0.49,-0.51,-25.5
James Norwood,1.21,-6.46,-7.67,-6.338842975
Jason Adam,-2.87,20.01,22.88,7.972125436
Javy Guerra,,-3.25,-3.25,0
Jay Jackson,2.76,0.61,-2.15,-0.778985507
Jerad Eickhoff,-14.88,-8.42,6.46,0.434139785
Jesus Luzardo,-25.33,9.82,35.15,1.38768259
Jesus Tinoco,-5.23,3.69,8.92,1.705544933
Jhon Romero,0.19,-0.76,-0.95,-5
Jimmy Herget,-3.54,13.15,16.69,4.714689266
Joe Kelly,7.64,-6.13,-13.77,-1.802356021
Joe Smith,-9.42,-2.22,7.2,0.76433121
Joely Rodriguez,-3.03,-0.36,2.67,0.881188119
Joey Krehbiel,0.42,-3.01,-3.43,-8.166666667
Johnny Cueto,-5.85,6.94,12.79,2.186324786
Jon Gray,5.82,-2.29,-8.11,-1.39347079
Jordan Lyles,-10.97,-8.17,2.8,0.255241568
Jordan Weems,-6.53,-7.61,-1.08,-0.165390505
Jose Berrios,21.99,-17.87,-39.86,-1.81264211
Josiah Gray,-7.53,-12.58,-5.05,-0.67065073
Justin Dunn,3.94,-5.46,-9.4,-2.385786802
Justin Wilson,-3.72,1.9,5.62,1.510752688
Kendall Graveman,11.55,-0.41,-11.96,-1.035497835
Kenley Jansen,14.74,4.76,-9.98,-0.677069199
Kevin Gausman,29.37,13.31,-16.06,-0.546816479
Keynan Middleton,-5.94,-3.51,2.43,0.409090909
Kirby Snead,3.18,-11.27,-14.45,-4.544025157
Kyle Barraclough,-1.84,3.9,5.74,3.119565217
Kyle Crick,2.24,1.7,-0.54,-0.241071429
Kyle Gibson,16.57,-15.84,-32.41,-1.955944478
Kyle Nelson,-6.33,3.77,10.1,1.595576619
Kyle Tyler,1.46,2.39,0.93,0.636986301
Luis Cessa,9.6,-4.67,-14.27,-1.486458333
Luis Garcia,,1.66,1.66,0
Marcus Stroman,15.4,9.6,-5.8,-0.376623377
Mark Melancon,8.13,-9.87,-18,-2.21402214
Martin Perez,-10.32,21.4,31.72,3.073643411
Marwin Gonzalez,0.57,0.72,0.15,0.263157895
Mason Thompson,-4.39,5.42,9.81,2.234624146
Matt Moore,-16.13,9.29,25.42,1.575945443
Matt Strahm,-3.48,0.09,3.57,1.025862069
Matt Wisler,-3.57,-0.67,2.9,0.81232493
Matthew Boyd,2.66,4.46,1.8,0.676691729
Mauricio Llovera,-2.27,2.14,4.41,1.942731278
Max Scherzer,38.94,30.19,-8.75,-0.224704674
Michael Feliz,-3.92,-0.21,3.71,0.946428571
Michael Lorenzen,-0.88,-0.13,0.75,0.852272727
Michael Pineda,6.54,-7.3,-13.84,-2.116207951
Michael Wacha,-8.58,12.09,20.67,2.409090909
Miguel Castro,4.15,-1.48,-5.63,-1.356626506
Miguel Diaz,5.12,1.08,-4.04,-0.7890625
Mike Minor,-4.93,-21.15,-16.22,-3.290060852
Nick Nelson,-12.14,-1.43,10.71,0.882207578
Nick Wittgren,-2.1,-0.47,1.63,0.776190476
Noe Ramirez,4.8,-5.36,-10.16,-2.116666667
Oliver Perez,0.3,-6.01,-6.31,-21.03333333
Packy Naughton,-3.8,-3.34,0.46,0.121052632
Patrick Murphy,-0.3,-3.73,-3.43,-11.43333333
Phil Bickford,12.39,-2.23,-14.62,-1.179983858
Phil Maton,-5.17,0.12,5.29,1.023210832
Rafael Montero,-15.35,11.62,26.97,1.757003257
Ralph Garza,2.91,0.22,-2.69,-0.924398625
Raynel Espinal,-1.06,-1.01,0.05,0.047169811
Rich Hill,5.46,-5.11,-10.57,-1.935897436
Riley O'Brien,-1.9,0.4,2.3,1.210526316
Robbie Ray,40.07,2.09,-37.98,-0.947841278
Robert Gsellman,1.86,-2.3,-4.16,-2.23655914
Ross Detwiler,-5.44,-2.82,2.62,0.481617647
Ryan Castellani,-0.46,-0.67,-0.21,-0.456521739
Ryan Tepera,14.88,-1.32,-16.2,-1.088709677
Ryan Weber,-7.61,4.05,11.66,1.532194481
Sam Selman,-1.57,-3.84,-2.27,-1.445859873
Sandy Leon,-4.16,0.96,5.12,1.230769231
Scott Alexander,0.07,8.02,7.95,113.5714286
Sean Doolittle,-4.39,4.4,8.79,2.002277904
Sean Manaea,7.22,-16.82,-24.04,-3.329639889
Sean Poppen,-6.16,1.92,8.08,1.311688312
Shaun Anderson,-19.59,-1.49,18.1,0.923940786
