#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
1,Marco Gonzales,SEA,31.1,6.4,1.6, ,7.8,9.6, ,-3.5, , , ,4,7
2,Shane McClanahan,TBR,30.2,6.3, , , ,8.8,-1.8,-4.0, , , ,4,7
3,Martin Perez,TEX,31.2,6.3,0.3, ,9.0,7.8,-2.5,-3.4, , , ,4,7
4,Cole Irvin,OAK,34.0,5.9, , ,8.5,7.7,-5.8,-2.6, , , ,4,7
5,Reid Detmers,LAA,24.0,5.9, , , ,7.4,-1.2,-6.8, , , ,4,7
6,Eric Lauer,MIL,27.1,5.5,-0.2, , ,8.3,-2.1,-3.4, , , ,4,7
7,Braxton Garrett,MIA,30.0,5.5, , ,9.1,9.0,-4.3,-5.8, , , ,4,7
8,Jordan Montgomery,NYY,29.1,5.4,0.7, ,9.5,6.0, ,-1.6, , , ,4,7
9,Aaron Ashby,MIL,25.2,4.7, , ,8.4,8.2,-5.2,-4.7, , , ,4,7
10,Kris Bubic,KCR,35.2,4.6, , , ,8.2, ,-4.7, , , ,4,7
11,Madison Bumgarner,ARI,31.0,4.6,-1.8, , ,8.1, ,-4.8, , , ,4,7
12,Tyler Anderson,LAD,32.1,4.5,-1.3, ,10.0,7.5, ,-0.5, , , ,4,7
13,Framber Valdez,HOU,33.2,4.4, , ,8.4,8.4,-1.8,-6.6, , , ,4,7
14,Robbie Ray,SEA,25.0,4.1, , ,8.9,6.8,-0.9,-1.2, , , ,4,7
15,Austin Gomber,COL,27.1,3.9, , , ,5.3,-2.6,-3.4, , , ,4,7
16,Carlos Rodon,SFG,37.0,3.5, , , ,8.1,-4.5,-3.2, , , ,4,7
17,Kyle Freeland,COL,29.0,3.0,-0.8, ,6.9,6.8,-2.3, , , , ,4,7
18,Blake Snell,SDP,25.2,3.0, , , ,7.1,-2.0,-6.2, , , ,4,7
19,Nestor Cortes,NYY,27.2,2.3,-2.5, , ,6.5,-8.2,-4.1, , , ,4,7
20,Patrick Sandoval,LAA,24.2,2.3, , ,7.7,7.8,-3.7,-5.0, , , ,4,7
21,Julio Urias,LAD,28.0,1.8, , , ,7.5, ,-9.2, , , ,4,7
22,Jose Quintana,PIT,27.0,1.5,-1.9, ,6.4,6.1, ,-4.4, , , ,4,7
23,Max Fried,ATL,38.0,1.3, , ,6.2,6.7,-1.9,-5.2, , , ,4,7
24,Brad Keller,KCR,28.2,1.1, , ,-6.2,-5.3,3.3, , , , ,4,7
25,Clayton Kershaw,LAD,32.1,-0.5, , ,7.4,5.7,-2.7,-2.3, , , ,4,7
26,Sonny Gray,MIN,24.1,-1.0, , ,-7.7, ,7.5,8.3, , , ,4,7
27,Zach Thompson,PIT,27.0,-1.0,1.4, ,-5.4,-6.8, ,2.7, , , ,4,7
28,Adam Wainwright,STL,32.1,-1.1,3.5, ,-7.4,-7.9,5.6,9.0, , , ,4,7
29,Chris Flexen,SEA,27.2,-1.3,3.9, , ,-7.1,5.2,3.8, , , ,4,7
30,Zac Gallen,ARI,29.2,-1.6,3.1, , ,-6.2,5.4,3.9, , , ,4,7
