#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
61,Jose Urquidy,HOU,29.1,-4.6,1.7, , ,-8.6,9.1,5.1, , , ,3,2022-06-01
62,Dean Kremer,BAL,28.0,-4.9,3.1, , ,-8.4, ,5.6, , , ,3,2022-06-01
63,JT Brubaker,PIT,34.1,-5.1, , ,-9.0,-8.5,0.4,4.0, , , ,3,2022-06-01
64,Justin Verlander,HOU,39.2,-5.1, , , ,-8.7,2.7,3.7, , , ,3,2022-06-01
65,Zack Wheeler,PHI,29.2,-5.2, ,-7.5,-9.2,-8.3,1.4,5.5, , , ,3,2022-06-01
66,Adrian Houser,MIL,30.0,-5.2, ,-8.4,-9.3, ,3.6,3.4, , , ,3,2022-06-01
67,Chad Kuhl,COL,29.1,-5.3, , ,-8.3,-7.6,0.9,6.9,6.0, , ,3,2022-06-01
68,German Marquez,COL,34.0,-5.4, , ,-8.4,-6.5,0.1,0.1, , , ,3,2022-06-01
69,Tyler Mahle,CIN,33.2,-5.6,1.8,-7.7, , ,2.9, , , , ,3,2022-06-01
70,Logan Webb,SFG,30.1,-5.7, , ,-8.3,-3.7,6.2, , , , ,3,2022-06-01
71,Jose Berrios,TOR,28.2,-5.8, , ,-9.3,-8.1,9.3, , , , ,3,2022-06-01
72,Charlie Morton,ATL,30.2,-5.9, , ,-9.0,-9.7,1.1,8.9, , , ,3,2022-06-01
73,Jon Gray,TEX,37.2,-5.9, , , ,-7.5,5.9,8.3, , , ,3,2022-06-01
74,Taijuan Walker,NYM,37.2,-6.0,1.1,-6.2,-9.3, ,3.4,4.0, , , ,3,2022-06-01
75,Luis Castillo,CIN,30.1,-6.1, , ,-10.0,-9.8,0.6, , , , ,3,2022-06-01
76,Cal Quantrill,CLE,31.0,-6.2,0.7, ,-7.5,-7.2, ,2.1, , , ,3,2022-06-01
77,Rony Garcia,DET,25.1,-6.3, , ,-9.9,-7.2,4.4, , , , ,3,2022-06-01
78,Gerrit Cole,NYY,29.2,-6.3,-0.2, , ,-7.8,2.7,5.3, , , ,3,2022-06-01
79,Kyle Wright,ATL,38.1,-6.4, , ,-9.4,-9.1,-0.4,5.9, , , ,3,2022-06-01
80,Dane Dunning,TEX,33.2,-6.4,0.6, ,-8.5,-9.8,4.5, , , , ,3,2022-06-01
81,Sandy Alcantara,MIA,47.2,-6.8, , ,-9.9,-9.6,0.7, , , , ,3,2022-06-01
82,Johnny Cueto,CHW,35.1,-6.9,-3.2, ,-10.0,-7.3,0.4,2.3, , , ,3,2022-06-01
83,Hunter Greene,CIN,29.2,-7.2, , , ,-6.2,2.8, , , , ,3,2022-06-01
84,Aaron Nola,PHI,43.0,-7.2,0.4, ,-9.3,-8.7, ,8.1, , , ,3,2022-06-01
85,Jason Alexander,MIL,30.2,-7.6, , ,-9.7,-9.4,7.2, , , , ,3,2022-06-01
86,Zach Davies,ARI,31.2, ,-2.1, ,-8.5,-7.9,9.3,6.1, , , ,3,2022-06-01
87,Alex Wood,SFG,30.1, , , ,8.9,8.0,-1.8, , , , ,3,2022-06-01
88,Sean Manaea,SDP,29.0, , , ,7.7,7.8,-1.1, , , , ,3,2022-06-01
89,Brady Singer,KCR,28.2, , , ,-8.1,-7.9,2.1, , , , ,3,2022-06-01
