#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
31,Ian Anderson,ATL,28.1,-2.8, , , ,-5.9, ,0.1, , , ,2,2022-05-01
32,Humberto Castellanos,ARI,30.1,-2.9, , ,-8.8,-8.3,1.2,6.5, , , ,2,2022-05-01
33,Miles Mikolas,STL,31.0,-2.9, , ,-7.5,-7.2,2.4,5.5,4.8, , ,2,2022-05-01
34,Paul Blackburn,OAK,34.1,-3.0,3.6, ,-7.2,-7.2,8.8,4.7, , , ,2,2022-05-01
35,Tyler Wells,BAL,30.2,-3.1, , , ,-8.2,4.7,5.5, , , ,2,2022-05-01
36,Chris Bassitt,NYM,35.0,-3.2,1.5, ,-9.2,-9.6,8.1,8.9, , , ,2,2022-05-01
37,Walker Buehler,LAD,34.0,-3.3,2.8, ,-7.9,-7.8,8.2,7.0, , , ,2,2022-05-01
38,Jameson Taillon,NYY,31.1,-3.3,2.3, ,-7.9,-8.5,3.7,5.6, , , ,2,2022-05-01
39,Alek Manoah,TOR,31.0,-3.3, , ,-8.7,-8.7,8.5, , , , ,2,2022-05-01
40,Kyle Hendricks,CHC,29.0,-3.5, , ,-7.8,-7.3, ,7.7, , , ,2,2022-05-01
41,Jordan Lyles,BAL,37.0,-3.5, , ,-7.7,-8.0,9.4,4.0, , , ,2,2022-05-01
42,Frankie Montas,OAK,35.0,-3.5, ,-6.1,-8.7, ,3.4, , , , ,2,2022-05-01
43,Zach Plesac,CLE,28.0,-3.7, , , ,-6.4,1.1,1.0, , , ,2,2022-05-01
44,Carlos Carrasco,NYM,30.0,-4.0, , ,-9.1,-4.6,1.2,4.1, , , ,2,2022-05-01
45,Luis Severino,NYY,29.0,-4.0,3.7, , ,-7.9,5.9, , , , ,2,2022-05-01
46,Logan Gilbert,SEA,36.2,-4.1, , , ,-8.8,3.5,3.1, , , ,2,2022-05-01
47,Alex Cobb,SFG,28.1,-4.1, ,-6.8,-8.5, , ,3.9, , , ,2,2022-05-01
48,Shane Bieber,CLE,24.1,-4.3,0.5, , ,-7.0,1.5,4.8, , , ,2,2022-05-01
49,Corbin Burnes,MIL,39.0,-4.4,2.8, ,-6.4,-7.6,4.0,5.2, , , ,2,2022-05-01
50,Logan Webb,SFG,31.0,-4.7, , ,-8.4,-4.1,6.4, , , , ,2,2022-05-01
51,German Marquez,COL,29.0,-4.8, , ,-7.7,-5.6,1.1,1.2, , , ,2,2022-05-01
52,Zack Wheeler,PHI,32.2,-5.3, ,-8.0,-9.1,-10.2,1.5,4.7, , , ,2,2022-05-01
53,Cal Quantrill,CLE,31.2,-5.3,1.5, ,-7.3,-7.1, ,0.9, , , ,2,2022-05-01
54,JT Brubaker,PIT,27.1,-5.4, , ,-9.6,-9.1,0.4,1.5, , , ,2,2022-05-01
55,Justin Verlander,HOU,31.2,-5.5, , , ,-8.4,2.1,3.7, , , ,2,2022-05-01
56,Josiah Gray,WSN,31.1,-5.5, , ,-9.0,-8.6,1.4,1.1, , , ,2,2022-05-01
57,Kevin Gausman,TOR,36.1,-5.9, ,-8.8, , ,0.7, , , , ,2,2022-05-01
58,Tyler Mahle,CIN,31.1,-5.9,1.5,-8.4, , ,2.9,2.7, , , ,2,2022-05-01
59,Charlie Morton,ATL,31.1,-6.1, , ,-10.4,-10.3,0.9,9.0, , , ,2,2022-05-01
60,Sandy Alcantara,MIA,42.1,-6.3, , ,-9.9,-9.1,0.6,2.1, , , ,2,2022-05-01
