#,Name,Team,IP,FA-X,FC-X,FS-X,SI-X,CH-X,SL-X,CU-X,CS-X,KN-X,SB-X,MonthSeason,MonthYear
31,Nick Pivetta,BOS,32.1,-3.1, ,-4.2, , ,3.7,4.8, , , ,6,2022-09-01
32,Pablo Lopez,MIA,34.0,-3.3,0.4, ,-8.8,-10.2, ,5.8, , , ,6,2022-09-01
33,Alek Manoah,TOR,41.0,-3.4, , ,-8.7,-8.7,7.6, , , , ,6,2022-09-01
34,Logan Gilbert,SEA,36.0,-3.4, , ,-7.7,-8.1,3.3,3.3, , , ,6,2022-09-01
35,Jameson Taillon,NYY,36.2,-3.5,1.6, ,-8.3,-8.0,3.3,5.5, , , ,6,2022-09-01
36,Hayden Wesneski,CHC,33.0,-3.6,2.2, ,-9.6,-8.9,10.5, , , , ,6,2022-09-01
37,Ross Stripling,TOR,33.1,-3.7, , ,-6.9,-6.4,2.3,4.2, , , ,6,2022-09-01
38,Brandon Woodruff,MIL,44.2,-3.8, , ,-8.2,-9.4,1.8,0.6, , , ,6,2022-09-01
39,Yu Darvish,SDP,39.0,-4.1,1.0,-3.4,-7.3,-7.7,5.4,5.9,7.2, , ,6,2022-09-01
40,Lucas Giolito,CHW,33.2,-4.2, , , ,-7.2,2.0,4.3, , , ,6,2022-09-01
41,Luis Cessa,CIN,37.0,-4.3, , ,-8.4,-6.6,3.3, , , , ,6,2022-09-01
42,Michael Wacha,BOS,32.1,-4.4,0.4, ,-6.9,-7.1, ,6.0, , , ,6,2022-09-01
43,Mitch Keller,PIT,35.0,-4.5, , ,-8.8,-8.3,11.3,6.9, , , ,6,2022-09-01
44,Merrill Kelly,ARI,42.2,-4.9,-0.5, ,-9.4,-9.7,1.2,5.4, , , ,6,2022-09-01
45,Bryse Wilson,PIT,33.1,-4.9, ,-5.9,-9.3,-7.0,3.2,9.6, , , ,6,2022-09-01
46,Brayan Bello,BOS,31.1,-5.0, , ,-9.8,-9.4,2.9,1.1, , , ,6,2022-09-01
47,Lance McCullers Jr.,HOU,31.2,-5.1,2.2, ,-8.2,-10.2,7.4,7.9, , , ,6,2022-09-01
48,Jon Heasley,KCR,33.1,-5.3, , , ,-7.3,2.0,3.6, , , ,6,2022-09-01
49,Alex Cobb,SFG,38.2,-5.3, ,-7.4,-9.2, , ,3.6, , , ,6,2022-09-01
50,Jose Urena,COL,33.1,-5.3, , ,-8.8,-7.7,1.1, , , , ,6,2022-09-01
51,Taijuan Walker,NYM,34.2,-5.5,0.8,-6.0,-8.6, ,2.3,3.8, , , ,6,2022-09-01
52,Adrian Sampson,CHC,38.2,-5.7, , ,-8.2,-8.9,4.4, , , , ,6,2022-09-01
53,German Marquez,COL,35.0,-5.7, , ,-8.3,-7.2,-0.9,0.5, , , ,6,2022-09-01
54,Shane Bieber,CLE,48.0,-5.7,0.7, , ,-8.0,1.6,6.5, , , ,6,2022-09-01
55,Dean Kremer,BAL,42.0,-5.8,1.9, ,-9.6,-9.2, ,6.2, , , ,6,2022-09-01
56,Cal Quantrill,CLE,37.1,-5.9,1.3, ,-7.9,-7.8, ,2.1, , , ,6,2022-09-01
57,Gerrit Cole,NYY,36.0,-6.0, , , ,-8.7,2.4,6.0, , , ,6,2022-09-01
58,Kevin Gausman,TOR,34.1,-6.1, ,-8.6, , ,0.5, , , , ,6,2022-09-01
59,Charlie Morton,ATL,31.2,-6.5, , ,-10.1,-10.2,1.0,8.6, , , ,6,2022-09-01
60,Johnny Cueto,CHW,34.2,-7.0,-3.3, ,-9.5,-7.3,0.1,2.8, , , ,6,2022-09-01
