#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
61,Jose Urena,COL,29.0,27.8%,67.0%,45.7%,68.8%,92.9%,85.0%,45.7%,22.9,5,2022-08-01
62,Kris Bubic,KCR,31.0,27.5%,69.1%,50.6%,61.9%,90.4%,83.5%,55.4%,24.8,5,2022-08-01
63,Carlos Rodon,SFG,28.1,27.2%,69.5%,48.0%,59.4%,77.8%,72.5%,49.2%,23.4,5,2022-08-01
64,Austin Voth,BAL,28.0,27.1%,65.4%,46.3%,56.9%,84.3%,76.3%,50.0%,25.1,5,2022-08-01
65,Brady Singer,KCR,37.0,26.9%,60.1%,46.4%,61.5%,86.5%,80.6%,58.8%,20.3,5,2022-08-01
66,Adam Wainwright,STL,39.2,26.9%,57.7%,43.6%,72.4%,88.2%,83.8%,54.4%,22.9,5,2022-08-01
67,Freddy Peralta,MIL,29.2,26.8%,61.1%,43.4%,60.6%,80.7%,74.3%,48.2%,21.4,5,2022-08-01
68,Kyle Bradish,BAL,28.2,26.8%,66.8%,47.1%,63.9%,86.6%,80.3%,50.8%,25.0,5,2022-08-01
69,Daniel Lynch,KCR,32.0,26.7%,65.6%,46.5%,60.3%,84.9%,77.9%,50.8%,20.8,5,2022-08-01
70,Corbin Burnes,MIL,33.2,26.6%,63.3%,43.2%,48.2%,83.8%,71.8%,45.3%,25.2,5,2022-08-01
71,Eric Lauer,MIL,30.0,26.5%,63.2%,46.3%,70.5%,85.9%,81.8%,53.9%,21.6,5,2022-08-01
72,Kutter Crawford,BOS,29.2,26.4%,63.8%,46.2%,54.1%,84.9%,76.7%,53.0%,24.7,5,2022-08-01
73,Cal Quantrill,CLE,38.0,25.8%,67.9%,46.6%,63.5%,90.0%,82.6%,49.4%,20.0,5,2022-08-01
74,Martin Perez,TEX,34.0,25.0%,60.1%,43.1%,65.7%,87.8%,81.6%,51.6%,25.6,5,2022-08-01
75,Miles Mikolas,STL,36.0,24.4%,66.3%,48.1%,60.0%,92.9%,85.7%,56.5%,20.0,5,2022-08-01
76,Mike Clevinger,SDP,32.0,24.3%,67.7%,47.2%,60.3%,86.2%,79.8%,52.7%,25.2,5,2022-08-01
77,Tommy Henry,ARI,31.2,24.0%,70.9%,48.9%,60.0%,85.5%,79.6%,53.0%,23.0,5,2022-08-01
78,James Kaprielian,OAK,29.0,22.5%,67.6%,46.4%,69.6%,88.4%,84.1%,53.0%,24.7,5,2022-08-01
79,Anibal Sanchez,WSN,30.2,21.8%,67.6%,43.4%,77.4%,85.0%,83.0%,47.3%,21.9,5,2022-08-01
80,Zach Davies,ARI,28.1,21.7%,60.0%,40.1%,71.7%,91.9%,86.2%,48.0%,21.1,5,2022-08-01
81,Marcus Stroman,CHC,34.0,21.1%,65.7%,44.3%,60.0%,88.7%,82.2%,52.0%,20.8,5,2022-08-01
82,Ryan Feltner,COL,30.0,20.7%,62.1%,42.5%,60.8%,88.8%,82.3%,52.5%,21.7,5,2022-08-01
83,Adam Oller,OAK,29.2,19.6%,72.6%,49.0%,69.2%,87.8%,84.5%,55.5%,22.0,5,2022-08-01
