#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
31,Marco Gonzales,SEA,31.1,32.1%,73.8%,53.3%,77.1%,89.8%,86.0%,50.8%,20.6,4,2022-07-01
32,Pablo Lopez,MIA,31.0,32.1%,66.3%,47.9%,60.9%,81.8%,74.3%,46.5%,25.1,4,2022-07-01
33,Jose Urena,COL,27.0,32.0%,65.6%,46.7%,75.0%,89.1%,83.7%,43.8%,21.9,4,2022-07-01
34,Tyler Wells,BAL,25.0,31.9%,65.3%,47.8%,66.7%,78.1%,74.1%,47.6%,24.3,4,2022-07-01
35,Robbie Ray,SEA,25.0,31.8%,73.0%,53.3%,58.0%,80.3%,74.0%,52.2%,22.4,4,2022-07-01
36,Dylan Cease,CHW,35.2,31.8%,62.8%,45.0%,38.5%,82.4%,64.6%,42.4%,22.5,4,2022-07-01
37,James Kaprielian,OAK,28.0,31.4%,67.1%,49.4%,60.6%,87.4%,78.9%,50.4%,23.2,4,2022-07-01
38,Lance Lynn,CHW,31.2,31.1%,69.0%,50.4%,68.2%,84.7%,79.7%,51.0%,23.1,4,2022-07-01
39,Spencer Strider,ATL,26.2,30.8%,69.1%,50.3%,51.4%,78.5%,70.4%,51.0%,21.7,4,2022-07-01
40,Adrian Sampson,CHC,32.2,30.8%,69.4%,48.1%,64.3%,90.5%,81.2%,44.8%,24.0,4,2022-07-01
41,Max Fried,ATL,38.0,30.3%,69.5%,49.5%,68.5%,87.2%,81.4%,49.0%,24.5,4,2022-07-01
42,Carlos Rodon,SFG,37.0,30.2%,67.0%,49.4%,51.7%,75.8%,68.8%,52.2%,23.3,4,2022-07-01
43,Zac Gallen,ARI,29.2,30.0%,63.6%,46.6%,69.0%,87.1%,81.2%,49.4%,23.3,4,2022-07-01
44,Alex Cobb,SFG,36.0,29.9%,56.1%,42.5%,65.1%,90.1%,81.0%,48.3%,22.5,4,2022-07-01
45,Taijuan Walker,NYM,30.2,29.8%,58.5%,44.2%,68.5%,89.7%,82.6%,50.3%,19.1,4,2022-07-01
46,Josiah Gray,WSN,26.2,29.8%,64.1%,44.7%,49.4%,79.9%,68.4%,43.5%,24.2,4,2022-07-01
47,Johnny Cueto,CHW,34.0,29.8%,64.0%,46.8%,82.7%,91.9%,88.9%,49.8%,20.8,4,2022-07-01
48,Logan Webb,SFG,38.1,29.4%,66.6%,47.8%,60.5%,88.0%,79.4%,49.5%,21.3,4,2022-07-01
49,Triston McKenzie,CLE,33.2,29.1%,69.1%,48.5%,57.7%,86.2%,77.4%,48.5%,21.4,4,2022-07-01
50,Brad Keller,KCR,28.2,29.1%,65.7%,47.6%,54.5%,92.8%,81.3%,50.7%,21.5,4,2022-07-01
51,Brandon Woodruff,MIL,30.0,29.0%,63.3%,45.5%,42.7%,78.9%,67.0%,48.1%,24.2,4,2022-07-01
52,Blake Snell,SDP,25.2,28.9%,66.9%,47.2%,41.9%,81.6%,69.0%,48.0%,25.2,4,2022-07-01
53,Aaron Ashby,MIL,25.2,28.8%,58.0%,43.1%,47.8%,82.4%,70.7%,49.2%,20.5,4,2022-07-01
54,Julio Urias,LAD,28.0,28.5%,64.4%,48.3%,67.3%,89.5%,83.6%,55.0%,24.2,4,2022-07-01
55,Charlie Morton,ATL,30.0,28.3%,62.4%,46.1%,43.3%,81.4%,70.2%,52.1%,21.0,4,2022-07-01
56,Mitch Keller,PIT,31.0,28.2%,63.1%,45.8%,61.3%,88.7%,80.4%,50.6%,20.4,4,2022-07-01
57,Martin Perez,TEX,31.2,28.1%,63.0%,43.5%,66.7%,87.0%,79.6%,44.1%,24.5,4,2022-07-01
58,Reid Detmers,LAA,24.0,28.0%,66.2%,47.5%,44.2%,82.9%,71.8%,51.2%,21.1,4,2022-07-01
59,Joe Ryan,MIN,26.2,27.9%,69.6%,50.7%,54.7%,87.5%,79.3%,54.8%,21.0,4,2022-07-01
60,Merrill Kelly,ARI,41.1,27.1%,66.5%,48.1%,60.8%,83.2%,77.3%,53.4%,21.9,4,2022-07-01
