#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
31,Cal Quantrill,CLE,31.0,32.3%,67.4%,49.9%,75.7%,85.2%,82.1%,50.1%,20.5,3,6
32,Shane McClanahan,TBR,33.0,32.0%,63.1%,48.0%,47.3%,75.3%,66.2%,51.4%,20.4,3,6
33,Jameson Taillon,NYY,33.1,31.7%,65.3%,49.3%,69.4%,85.4%,80.5%,52.3%,22.0,3,6
34,Justin Verlander,HOU,39.2,31.6%,70.9%,53.8%,62.5%,82.8%,77.6%,56.4%,25.6,3,6
35,Graham Ashcraft,CIN,33.0,31.6%,68.3%,51.0%,56.3%,91.2%,81.0%,52.9%,22.5,3,6
36,Corey Kluber,TBR,28.1,31.5%,64.8%,49.9%,60.7%,89.4%,81.3%,55.2%,22.2,3,6
37,Jon Gray,TEX,37.2,31.4%,62.3%,48.0%,58.1%,81.3%,74.3%,53.7%,23.3,3,6
38,Joe Musgrove,SDP,34.0,31.3%,58.1%,45.4%,48.7%,89.9%,76.5%,52.8%,21.2,3,6
39,Shohei Ohtani,LAA,29.2,31.1%,63.8%,47.7%,48.6%,84.1%,72.7%,50.8%,26.9,3,6
40,Cole Irvin,OAK,35.1,31.0%,68.0%,50.6%,65.8%,85.6%,79.8%,52.9%,19.9,3,6
41,Jose Urquidy,HOU,29.1,30.8%,66.1%,48.5%,62.5%,87.2%,79.4%,50.2%,20.6,3,6
42,Dylan Cease,CHW,27.1,30.7%,63.6%,45.3%,42.7%,74.8%,62.7%,44.3%,23.4,3,6
43,Keegan Thompson,CHC,27.1,30.4%,59.7%,44.2%,63.9%,88.9%,79.8%,47.1%,21.3,3,6
44,Johnny Cueto,CHW,35.1,30.3%,67.9%,49.0%,61.4%,89.1%,80.5%,49.7%,20.0,3,6
45,Zack Wheeler,PHI,29.2,30.3%,63.2%,47.7%,63.8%,78.5%,74.1%,53.1%,22.8,3,6
46,Justin Steele,CHC,29.2,29.7%,68.0%,51.2%,65.5%,88.2%,82.5%,56.2%,21.4,3,6
47,Hunter Greene,CIN,29.2,29.2%,65.9%,48.1%,51.3%,79.7%,71.3%,51.5%,21.3,3,6
48,Framber Valdez,HOU,32.0,29.2%,58.6%,44.9%,54.7%,88.4%,78.1%,53.2%,21.7,3,6
49,Ian Anderson,ATL,28.2,29.2%,69.3%,46.8%,54.1%,81.6%,72.0%,43.9%,21.1,3,6
50,Jordan Montgomery,NYY,32.0,29.0%,70.4%,49.5%,46.3%,79.9%,69.9%,49.5%,23.3,3,6
51,Luis Severino,NYY,30.0,28.9%,65.7%,47.6%,52.9%,81.8%,73.1%,50.7%,22.4,3,6
52,Dean Kremer,BAL,28.0,28.9%,65.8%,48.4%,61.4%,87.7%,80.3%,53.0%,21.7,3,6
53,Zach Davies,ARI,31.2,28.8%,59.3%,43.5%,68.6%,83.6%,78.4%,48.2%,21.2,3,6
54,Merrill Kelly,ARI,30.0,28.7%,65.3%,47.7%,65.2%,82.7%,77.6%,51.9%,22.1,3,6
55,Tyler Mahle,CIN,33.2,28.4%,64.0%,46.6%,58.1%,79.5%,73.2%,51.3%,22.6,3,6
56,Frankie Montas,OAK,31.0,28.2%,72.0%,50.5%,57.1%,84.3%,76.9%,50.9%,24.7,3,6
57,Antonio Senzatela,COL,28.1,28.2%,66.9%,48.2%,61.3%,91.8%,83.2%,51.8%,21.2,3,6
58,Lucas Giolito,CHW,27.0,28.2%,68.2%,47.5%,50.7%,86.2%,75.3%,48.4%,24.2,3,6
59,Michael Wacha,BOS,29.2,28.1%,70.0%,49.2%,68.2%,91.0%,84.5%,50.2%,22.9,3,6
60,Eric Lauer,MIL,27.2,28.0%,63.6%,47.4%,68.9%,90.4%,84.6%,54.5%,21.2,3,6
