#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
1,Kevin Gausman,TOR,24.2,53.1%,70.0%,61.1%,45.3%,83.0%,65.7%,47.2%,25.4,1,2022-04-01
2,Max Fried,ATL,24.0,39.1%,66.3%,51.7%,72.2%,83.0%,78.7%,46.5%,23.7,1,2022-04-01
3,Walker Buehler,LAD,24.2,38.5%,66.3%,52.3%,60.0%,86.7%,76.8%,49.9%,21.5,1,2022-04-01
4,Nathan Eovaldi,BOS,28.2,36.6%,70.2%,55.6%,55.7%,84.5%,76.2%,56.5%,22.4,1,2022-04-01
5,Carlos Rodon,SFG,23.0,35.8%,65.4%,50.5%,54.4%,76.4%,68.6%,49.7%,24.4,1,2022-04-01
6,Logan Webb,SFG,30.1,35.7%,62.6%,49.0%,69.1%,82.7%,77.7%,49.4%,20.9,1,2022-04-01
7,Kyle Wright,ATL,24.0,34.9%,59.2%,47.8%,45.8%,81.4%,69.2%,53.1%,21.6,1,2022-04-01
8,Clayton Kershaw,LAD,23.0,34.7%,60.5%,47.1%,57.6%,83.2%,73.4%,48.0%,20.5,1,2022-04-01
9,Joe Musgrove,SDP,25.0,34.7%,59.9%,48.8%,51.9%,84.3%,74.3%,56.1%,22.4,1,2022-04-01
10,Dylan Cease,CHW,22.0,34.6%,70.5%,51.8%,58.5%,76.2%,70.1%,47.9%,23.5,1,2022-04-01
11,Shane McClanahan,TBR,27.0,34.4%,63.1%,49.4%,38.8%,74.8%,62.9%,52.3%,20.6,1,2022-04-01
12,Eric Lauer,MIL,23.1,34.1%,66.0%,50.8%,61.7%,78.1%,72.9%,52.4%,22.4,1,2022-04-01
13,Pablo Lopez,MIA,23.1,34.1%,61.4%,47.4%,60.7%,76.2%,70.5%,48.9%,22.4,1,2022-04-01
14,Sean Manaea,SDP,30.0,33.8%,66.4%,51.6%,62.3%,83.3%,77.1%,54.5%,20.0,1,2022-04-01
15,Frankie Montas,OAK,29.2,33.6%,69.2%,50.9%,50.6%,84.3%,72.8%,48.5%,24.4,1,2022-04-01
16,Brad Keller,KCR,24.2,33.3%,69.8%,50.8%,67.2%,88.3%,81.1%,47.7%,19.6,1,2022-04-01
17,Jesus Luzardo,MIA,20.1,32.2%,53.9%,42.7%,45.6%,82.0%,67.8%,48.2%,19.9,1,2022-04-01
18,Chris Flexen,SEA,24.0,32.0%,68.5%,49.6%,57.9%,88.5%,78.2%,48.1%,22.1,1,2022-04-01
19,Carlos Carrasco,NYM,22.0,32.0%,65.9%,50.2%,52.1%,79.8%,71.6%,53.6%,22.3,1,2022-04-01
20,Shane Bieber,CLE,29.1,32.0%,67.3%,49.5%,45.1%,85.8%,72.6%,49.8%,18.9,1,2022-04-01
21,Corbin Burnes,MIL,25.2,31.8%,64.2%,46.3%,39.1%,73.5%,60.4%,44.8%,25.1,1,2022-04-01
22,Kyle Gibson,PHI,27.2,31.7%,63.6%,47.4%,46.5%,81.2%,69.4%,49.2%,25.1,1,2022-04-01
23,Aaron Nola,PHI,27.2,31.4%,62.3%,48.4%,64.4%,82.6%,77.3%,55.1%,25.6,1,2022-04-01
24,Max Scherzer,NYM,25.0,30.6%,68.4%,49.9%,57.9%,77.3%,71.4%,50.9%,21.4,1,2022-04-01
25,Dane Dunning,TEX,26.0,30.0%,55.8%,42.6%,63.1%,84.5%,76.8%,48.9%,22.2,1,2022-04-01
26,Alek Manoah,TOR,25.0,29.6%,73.3%,52.8%,48.0%,83.6%,74.2%,53.1%,25.0,1,2022-04-01
27,Dylan Bundy,MIN,21.1,29.3%,68.4%,50.8%,51.2%,83.8%,75.3%,55.0%,20.2,1,2022-04-01
28,Merrill Kelly,ARI,28.1,29.3%,62.9%,46.9%,60.0%,87.2%,79.1%,52.2%,22.5,1,2022-04-01
29,German Marquez,COL,21.0,29.2%,65.9%,49.7%,54.8%,95.0%,84.6%,55.8%,22.3,1,2022-04-01
30,Gerrit Cole,NYY,24.0,29.1%,64.6%,46.5%,41.7%,82.8%,69.7%,49.0%,22.2,1,2022-04-01
