#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
31,Drew Rasmussen,TBR,28.2,31.7%,69.6%,51.8%,60.3%,89.0%,80.7%,53.1%,23.6,2,5
32,Cal Quantrill,CLE,31.2,31.6%,66.3%,49.9%,70.8%,93.5%,86.7%,52.8%,20.9,2,5
33,Pablo Lopez,MIA,35.2,31.3%,67.7%,49.5%,42.0%,85.7%,71.8%,49.8%,22.7,2,5
34,Zach Plesac,CLE,28.0,31.3%,68.9%,52.7%,70.5%,87.6%,83.2%,56.9%,22.0,2,5
35,Shane McClanahan,TBR,31.1,31.2%,67.5%,50.2%,46.4%,78.0%,68.7%,52.4%,20.2,2,5
36,Aaron Nola,PHI,33.0,31.0%,55.1%,43.9%,45.9%,85.5%,72.6%,53.6%,24.9,2,5
37,JT Brubaker,PIT,27.1,30.8%,59.8%,45.5%,53.0%,86.3%,75.1%,50.6%,20.7,2,5
38,Dylan Cease,CHW,31.2,30.4%,66.1%,48.1%,49.4%,76.5%,67.9%,49.7%,25.3,2,5
39,Justin Verlander,HOU,31.2,29.9%,74.1%,54.2%,63.6%,85.5%,80.1%,55.0%,24.0,2,5
40,Triston McKenzie,CLE,34.0,29.9%,69.6%,51.3%,47.0%,86.6%,75.9%,53.8%,21.2,2,5
41,Dane Dunning,TEX,28.1,29.8%,59.5%,43.9%,50.7%,88.6%,75.1%,47.5%,23.2,2,5
42,Martin Perez,TEX,42.1,29.7%,63.9%,46.7%,69.8%,83.2%,78.9%,49.8%,25.3,2,5
43,Kyle Hendricks,CHC,29.0,29.4%,61.9%,45.7%,73.8%,87.7%,83.3%,50.2%,22.1,2,5
44,Nick Pivetta,BOS,38.1,29.3%,66.7%,48.3%,60.8%,91.4%,82.3%,50.8%,23.5,2,5
45,Adam Wainwright,STL,32.0,29.3%,58.0%,44.8%,68.7%,93.6%,86.1%,54.0%,22.2,2,5
46,Josiah Gray,WSN,31.1,29.2%,67.7%,47.4%,54.2%,84.3%,74.5%,47.2%,25.0,2,5
47,Patrick Sandoval,LAA,28.1,29.0%,59.7%,44.4%,61.2%,85.5%,77.6%,50.0%,24.7,2,5
48,German Marquez,COL,29.0,29.0%,70.8%,51.2%,50.0%,88.1%,78.0%,53.1%,21.9,2,5
49,Ian Anderson,ATL,28.1,28.7%,68.9%,47.8%,55.6%,89.2%,78.6%,47.6%,23.8,2,5
50,Paul Blackburn,OAK,34.1,28.7%,58.5%,43.3%,62.2%,86.1%,78.0%,48.8%,25.2,2,5
51,Zach Davies,ARI,30.0,28.6%,61.4%,45.0%,70.1%,86.6%,81.3%,49.8%,21.9,2,5
52,Kyle Wright,ATL,29.2,28.6%,62.2%,46.6%,58.3%,83.3%,76.2%,53.4%,22.4,2,5
53,Lucas Giolito,CHW,28.1,28.4%,62.3%,44.0%,43.2%,84.9%,70.4%,46.1%,26.2,2,5
54,Luis Severino,NYY,29.0,28.1%,70.8%,48.8%,51.4%,78.2%,70.2%,48.3%,20.3,2,5
55,Marco Gonzales,SEA,36.2,27.9%,74.5%,50.9%,79.0%,91.4%,88.0%,49.3%,22.3,2,5
56,Nestor Cortes,NYY,32.1,27.7%,67.7%,49.0%,64.1%,86.0%,80.2%,53.2%,19.6,2,5
57,Walker Buehler,LAD,34.0,27.7%,72.6%,48.9%,51.3%,86.7%,76.1%,47.3%,21.8,2,5
58,Logan Gilbert,SEA,36.2,27.4%,69.8%,51.1%,66.7%,81.1%,77.7%,55.9%,20.6,2,5
59,Jordan Lyles,BAL,37.0,27.3%,65.2%,45.5%,60.0%,86.1%,77.9%,48.0%,21.4,2,5
60,Jakob Junis,SFG,27.0,27.1%,56.7%,42.7%,58.8%,89.8%,80.5%,52.5%,18.5,2,5
