#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,Year,YearDate
1,Nick Maton,PHI,0.1,66.7%,100.0%,75.0%,0.0%,0.0%,0.0%,25.0%,10.0,2021.0,2021-01-01
2,Danny Mendick,CHW,1.0,57.1%,62.5%,60.0%,50.0%,80.0%,66.7%,53.3%,15.3,2021.0,2021-01-01
3,Dylan Lee,ATL,2.0,54.5%,66.7%,62.1%,50.0%,83.3%,72.2%,62.1%,22.6,2021.0,2021-01-01
4,Hernan Perez,WSN,2.0,50.0%,100.0%,71.4%,75.0%,66.7%,70.0%,42.9%,13.1,2021.0,2021-01-01
5,Pat Valaika,BAL,1.1,50.0%,100.0%,85.7%,100.0%,100.0%,100.0%,71.4%,13.5,2021.0,2021-01-01
6,Mike Tauchman,SFG,1.0,50.0%,77.8%,60.0%,87.5%,85.7%,86.7%,36.0%,11.2,2021.0,2021-01-01
7,Stevie Wilkerson,BAL,1.0,50.0%,100.0%,66.7%,100.0%,0.0%,50.0%,33.3%,13.7,2021.0,2021-01-01
8,Sergio Alcantara,CHC,0.1,50.0%,100.0%,75.0%,100.0%,100.0%,100.0%,50.0%,18.3,2021.0,2021-01-01
9,John Nogowski,PIT,3.0,50.0%,73.9%,65.7%,83.3%,100.0%,95.7%,65.7%,15.6,2021.0,2021-01-01
10,Jonathan Arauz,BOS,1.0,50.0%,100.0%,60.0%,100.0%,100.0%,100.0%,20.0%,16.4,2021.0,2021-01-01
11,Romy Gonzalez,CHW,0.1,50.0%,100.0%,75.0%,0.0%,50.0%,33.3%,50.0%,14.3,2021.0,2021-01-01
12,Luke Maile,MIL,1.0,46.2%,71.4%,55.0%,83.3%,80.0%,81.8%,35.0%,16.9,2021.0,2021-01-01
13,Andrew Bellatti,MIA,3.1,44.9%,76.5%,57.8%,63.6%,88.5%,77.1%,41.0%,29.1,2021.0,2021-01-01
14,Kutter Crawford,BOS,2.0,44.8%,67.9%,56.1%,84.6%,63.2%,71.9%,49.1%,22.1,2021.0,2021-01-01
15,Preston Guilmet,MIA,2.0,44.4%,36.4%,41.4%,62.5%,100.0%,75.0%,37.9%,21.9,2021.0,2021-01-01
16,Corey Oswalt,NYM,10.1,42.7%,70.3%,55.8%,51.4%,84.6%,71.3%,47.4%,23.1,2021.0,2021-01-01
17,Ronald Torreyes,PHI,2.2,41.7%,59.1%,52.9%,100.0%,100.0%,100.0%,64.7%,12.2,2021.0,2021-01-01
18,James Paxton,SEA,1.1,41.7%,66.7%,52.4%,80.0%,83.3%,81.8%,42.9%,23.1,2021.0,2021-01-01
19,Andy Burns,LAD,1.0,41.7%,58.3%,50.0%,80.0%,85.7%,83.3%,50.0%,14.8,2021.0,2021-01-01
20,Neftali Feliz,- - -,4.0,41.2%,75.8%,58.2%,85.7%,80.0%,82.1%,49.3%,25.6,2021.0,2021-01-01
21,Andrew Kittredge,TBR,71.2,40.3%,68.6%,54.5%,47.7%,83.4%,70.3%,50.2%,24.4,2021.0,2021-01-01
22,Mitch Moreland,OAK,1.0,40.0%,57.1%,47.1%,100.0%,100.0%,100.0%,41.2%,15.6,2021.0,2021-01-01
23,Brady Lail,SEA,2.0,40.0%,61.1%,53.6%,75.0%,72.7%,73.3%,64.3%,20.7,2021.0,2021-01-01
24,Jake Cronenworth,SDP,0.2,40.0%,100.0%,57.1%,50.0%,100.0%,75.0%,28.6%,16.8,2021.0,2021-01-01
25,Cesar Valdez,BAL,46.0,39.5%,64.6%,51.8%,56.2%,83.7%,73.0%,48.9%,25.4,2021.0,2021-01-01
26,Jacob deGrom,NYM,92.0,39.0%,72.2%,55.4%,36.4%,74.1%,60.7%,49.3%,22.3,2021.0,2021-01-01
27,Matt Strahm,SDP,6.2,38.5%,68.2%,56.9%,75.0%,86.2%,83.3%,62.0%,24.7,2021.0,2021-01-01
28,Kyle Dohy,PHI,1.0,38.5%,42.9%,40.0%,80.0%,100.0%,87.5%,35.0%,25.4,2021.0,2021-01-01
29,Emmanuel Clase,CLE,69.2,37.9%,70.3%,54.8%,44.0%,82.0%,69.4%,52.3%,29.0,2021.0,2021-01-01
30,Marwin Gonzalez,BOS,1.0,37.5%,100.0%,50.0%,100.0%,100.0%,100.0%,20.0%,13.9,2021.0,2021-01-01
31,Francisco Mejia,TBR,2.0,37.5%,58.3%,46.4%,100.0%,100.0%,100.0%,42.9%,11.7,2021.0,2021-01-01
32,Max Schrock,CIN,1.2,37.5%,85.7%,60.0%,66.7%,100.0%,88.9%,46.7%,13.6,2021.0,2021-01-01
