#,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,MonthSeason,MonthYear
1,Sandy Alcantara,MIA,43.0,43.7%,71.0%,57.9%,63.7%,84.5%,77.0%,52.2%,20.2,6,2022-09-01
2,Marco Gonzales,SEA,36.1,40.2%,65.9%,52.7%,67.3%,89.1%,80.5%,48.4%,19.7,6,2022-09-01
3,Kevin Gausman,TOR,34.1,38.7%,70.0%,55.2%,46.9%,84.7%,72.1%,52.5%,25.7,6,2022-09-01
4,Triston McKenzie,CLE,38.2,38.5%,70.4%,56.0%,49.5%,83.0%,72.6%,54.9%,20.5,6,2022-09-01
5,Clayton Kershaw,LAD,41.0,37.0%,69.0%,53.6%,41.3%,81.8%,68.4%,51.9%,20.8,6,2022-09-01
6,Corbin Burnes,MIL,43.2,36.7%,61.6%,47.7%,51.9%,83.4%,69.9%,44.4%,25.2,6,2022-09-01
7,Ross Stripling,TOR,33.1,35.9%,67.9%,52.6%,63.9%,84.8%,78.0%,52.2%,20.9,6,2022-09-01
8,Jose Quintana,STL,33.1,34.5%,65.6%,48.1%,66.7%,85.1%,77.6%,43.6%,22.4,6,2022-09-01
9,Gerrit Cole,NYY,36.0,34.2%,59.7%,45.9%,35.4%,80.7%,62.4%,45.7%,22.3,6,2022-09-01
10,Shane Bieber,CLE,48.0,34.2%,66.9%,50.9%,45.9%,87.3%,73.7%,51.2%,19.4,6,2022-09-01
11,Michael Wacha,BOS,32.1,33.6%,69.2%,52.4%,65.8%,85.7%,79.7%,52.8%,21.2,6,2022-09-01
12,Zac Gallen,ARI,38.1,33.5%,62.8%,49.1%,56.8%,86.7%,77.2%,53.2%,23.5,6,2022-09-01
13,Dean Kremer,BAL,42.0,33.0%,67.2%,51.2%,65.0%,91.8%,83.7%,53.2%,22.9,6,2022-09-01
14,Aaron Nola,PHI,34.1,32.8%,61.4%,48.8%,40.8%,79.6%,68.1%,56.0%,24.7,6,2022-09-01
15,Lance Lynn,CHW,37.1,32.7%,74.4%,55.4%,55.1%,80.1%,73.3%,54.4%,24.4,6,2022-09-01
16,Jordan Montgomery,STL,33.0,32.6%,69.9%,51.9%,65.9%,82.6%,77.5%,51.7%,25.7,6,2022-09-01
17,Dylan Cease,CHW,37.0,32.2%,66.7%,48.0%,59.8%,86.0%,76.5%,45.7%,23.0,6,2022-09-01
18,Lucas Giolito,CHW,33.2,32.2%,64.7%,48.3%,46.2%,86.7%,73.1%,49.6%,24.5,6,2022-09-01
19,Charlie Morton,ATL,31.2,32.1%,57.8%,44.8%,47.2%,86.5%,72.1%,49.2%,22.7,6,2022-09-01
20,Merrill Kelly,ARI,42.2,32.1%,65.6%,49.2%,68.9%,84.2%,79.3%,51.2%,21.4,6,2022-09-01
21,Cal Quantrill,CLE,37.1,31.9%,69.1%,49.8%,67.0%,90.8%,82.9%,48.1%,20.6,6,2022-09-01
22,Jeffrey Springs,TBR,34.1,31.9%,64.6%,48.8%,54.3%,79.4%,71.5%,51.6%,24.4,6,2022-09-01
23,Nick Lodolo,CIN,36.1,31.8%,59.2%,46.3%,49.4%,82.9%,72.1%,53.0%,21.4,6,2022-09-01
24,Luis Castillo,SEA,33.2,31.7%,66.9%,50.2%,53.7%,83.9%,74.8%,52.6%,20.0,6,2022-09-01
25,Jameson Taillon,NYY,36.2,31.6%,65.0%,48.2%,51.1%,88.0%,75.9%,49.8%,22.7,6,2022-09-01
26,Marcus Stroman,CHC,37.0,31.6%,60.5%,46.2%,59.5%,87.2%,77.8%,50.5%,21.9,6,2022-09-01
27,Brandon Woodruff,MIL,44.2,31.6%,64.8%,49.0%,45.1%,79.6%,69.0%,52.4%,24.2,6,2022-09-01
28,Lance McCullers Jr.,HOU,31.2,31.3%,59.1%,44.5%,46.3%,87.8%,72.4%,47.3%,23.7,6,2022-09-01
29,Yu Darvish,SDP,39.0,31.1%,66.9%,52.0%,63.2%,84.6%,79.3%,58.3%,26.5,6,2022-09-01
30,Rich Hill,BOS,34.2,31.1%,65.8%,48.8%,64.8%,84.5%,78.4%,51.0%,18.9,6,2022-09-01
