#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,MonthSeason,MonthYear
61,Tommy Henry,ARI,31.2,-0.5, , , ,0.3,-0.9,0.0, , , ,5,8
62,Aaron Nola,PHI,32.0,-0.5,-0.4, ,3.1,-0.3, ,2.1, , , ,5,8
63,Luis Garcia,HOU,29.0,-0.5,1.1, ,0.3,-1.9,0.3,-1.2, , , ,5,8
64,Marco Gonzales,SEA,33.2,-0.6,-0.9, ,-2.4,-1.1, ,-1.4, , , ,5,8
65,Kyle Gibson,PHI,31.1,-0.9,4.0, ,-1.5,0.1,3.2,-1.8, , , ,5,8
66,Adam Wainwright,STL,39.2,-0.9,4.9, ,0.5,-0.2, ,2.6, , , ,5,8
67,Noah Syndergaard,PHI,30.2,-1.0, , ,0.2,-0.1,0.7,-0.7, , , ,5,8
68,Sandy Alcantara,MIA,36.1,-1.1, , ,3.7,2.8,-0.5, , , , ,5,8
69,Adam Oller,OAK,29.2,-1.1,3.4, ,0.5,0.4,-0.5, , , , ,5,8
70,Anibal Sanchez,WSN,30.2,-1.4,1.1,-0.4,3.1,1.1,-2.4,-1.4, , , ,5,8
71,Brandon Woodruff,MIL,30.0,-1.8, , ,0.2,0.0,1.2,1.6, , , ,5,8
72,Lucas Giolito,CHW,31.2,-2.1, , , ,-1.1,-1.1,0.0, , , ,5,8
73,Jose Urena,COL,29.0,-2.6, , ,-4.2,-1.9,0.0, , , , ,5,8
74,Chris Bassitt,NYM,33.1,-2.9,2.0, ,3.6,-0.8,1.3,2.5, , , ,5,8
75,Kyle Wright,ATL,32.0,-3.0, , ,3.9,1.5,0.5,3.6, , , ,5,8
76,Jordan Lyles,BAL,34.0,-3.0, , ,-0.6,0.3,2.5,-1.0, , , ,5,8
77,Ryan Feltner,COL,30.0,-3.4, , ,-0.3,-1.7,-1.1,-0.7, , , ,5,8
78,Nick Pivetta,BOS,28.2,-4.0, ,0.0, , ,3.7,0.3, , , ,5,8
79,Kutter Crawford,BOS,29.2,-8.0,-0.6,0.9, , ,-0.5,-3.4, , , ,5,8
80,Kris Bubic,KCR,31.0,-8.5, , , ,-0.4, ,0.2, , , ,5,8
81,Drew Smyly,CHC,30.0, ,1.6, ,4.2, , ,0.8, , , ,5,8
82,Zach Davies,ARI,28.1, ,-0.3, ,0.0,0.8,-0.4,0.3, , , ,5,8
83,Kyle Bradish,BAL,28.2, ,-0.7, , ,1.0,-0.1,1.7, , , ,5,8
