#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,MonthSeason,MonthYear
31,James Kaprielian,OAK,28.0,1.5, , ,0.5,1.3,0.2,1.9, , , ,4,2022-07-01
32,Eric Lauer,MIL,27.1,1.2,1.1, , ,0.1,0.8,-2.0, , , ,4,2022-07-01
33,Jose Quintana,PIT,27.0,1.2,-0.1, ,1.2,-2.9, ,3.1, , , ,4,2022-07-01
34,Yu Darvish,SDP,34.0,1.2,1.7,2.3,-0.7,-0.1,1.6,-1.9, , , ,4,2022-07-01
35,Taijuan Walker,NYM,30.2,1.1,-0.6,2.8,-0.6, ,0.4,0.3, , , ,4,2022-07-01
36,Logan Gilbert,SEA,28.1,1.1, , , ,-1.2,-0.8,-0.5, , , ,4,2022-07-01
37,Kyle Gibson,PHI,27.1,1.0,1.4, ,1.1,0.1,-3.8,-0.8, , , ,4,2022-07-01
38,Braxton Garrett,MIA,30.0,1.0, , ,2.2,0.8,2.7,0.0, , , ,4,2022-07-01
39,Madison Bumgarner,ARI,31.0,1.0,-2.8, , ,1.2, ,1.0, , , ,4,2022-07-01
40,Brandon Woodruff,MIL,30.0,1.0, , ,4.0,0.1,-0.3,0.7, , , ,4,2022-07-01
41,Adrian Sampson,CHC,32.2,0.9, , ,-3.9,2.4,0.3, , , , ,4,2022-07-01
42,Adam Wainwright,STL,32.1,0.7,-0.1, ,-1.3,1.4,-0.1,0.5, , , ,4,2022-07-01
43,Mitch Keller,PIT,31.0,0.6, , ,-0.5,-1.2,4.3,-1.3, , , ,4,2022-07-01
44,Martin Perez,TEX,31.2,0.6,1.5, ,-3.3,1.7,1.1,0.3, , , ,4,2022-07-01
45,Jordan Lyles,BAL,32.2,0.5, , ,-0.6,-0.9,0.7,-2.4, , , ,4,2022-07-01
46,Chris Flexen,SEA,27.2,0.4,-0.5, , ,0.7,2.3,0.1, , , ,4,2022-07-01
47,Charlie Morton,ATL,30.0,0.4, , ,-0.4,0.7,0.6,4.6, , , ,4,2022-07-01
48,Jose Berrios,TOR,36.0,0.3, , ,-2.0,-1.2,6.0, , , , ,4,2022-07-01
49,Corbin Burnes,MIL,31.1,0.2,4.2, ,-2.1,1.4,1.5,2.0, , , ,4,2022-07-01
50,Kris Bubic,KCR,35.2,0.1, , , ,-1.9, ,1.5, , , ,4,2022-07-01
51,Dylan Bundy,MIN,24.1,0.0, ,-2.9, , ,2.3,-0.1, , , ,4,2022-07-01
52,Alex Cobb,SFG,36.0,0.0, ,3.3,3.2, , ,0.2, , , ,4,2022-07-01
53,Framber Valdez,HOU,33.2,0.0, , ,0.0,0.6,2.0,2.6, , , ,4,2022-07-01
54,Brady Singer,KCR,30.2,0.0, , ,0.7,0.9,3.9, , , , ,4,2022-07-01
55,Zach Thompson,PIT,27.0,-0.1,-1.6, ,0.3,-1.7, ,-0.4, , , ,4,2022-07-01
56,Tony Gonsolin,LAD,30.2,-0.2, ,2.2, , ,-1.1,1.3, , , ,4,2022-07-01
57,Glenn Otto,TEX,29.2,-0.2, , ,0.1,1.1,-0.4,-0.9, , , ,4,2022-07-01
58,Alek Manoah,TOR,31.1,-0.2, , ,-1.1,3.8,-1.5, , , , ,4,2022-07-01
59,Corey Kluber,TBR,32.0,-0.3,1.2, ,-2.0,-0.9,0.2, , , , ,4,2022-07-01
60,Sandy Alcantara,MIA,34.0,-0.4, , ,2.2,4.2,1.6, , , , ,4,2022-07-01
