#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,MonthSeason,MonthYear
31,Chris Bassitt,NYM,24.0,0.4,3.2, ,1.2,-1.3,2.2,0.3, , , ,1,4
32,Logan Webb,SFG,30.1,0.1,-0.8, ,-1.7,3.6,-0.2, , , , ,1,4
33,Chad Kuhl,COL,23.2,0.1, , ,-0.6,-0.1,6.6,1.5, , , ,1,4
34,Adam Wainwright,STL,27.0,0.0,-2.6, ,0.3,-0.9, ,1.0, , , ,1,4
35,Miles Mikolas,STL,29.2,0.0, , ,3.7,1.0,2.8,-0.7,0.2, , ,1,4
36,Frankie Montas,OAK,29.2,-0.1, ,5.6,-1.8, ,1.4, , , , ,1,4
37,Martin Perez,TEX,21.0,-0.2,0.9, ,1.9,2.1, ,-0.7, , , ,1,4
38,Shane Bieber,CLE,29.1,-0.4,0.1, , ,0.4,1.3,3.0, , , ,1,4
39,Chris Flexen,SEA,24.0,-0.6,3.8, , ,-1.3, ,-0.1, , , ,1,4
40,Luis Garcia,HOU,21.2,-0.6,-0.4, , ,1.2,-1.2,1.7, , , ,1,4
41,Max Fried,ATL,24.0,-0.8, , ,2.9,0.6,1.3,1.2, , , ,1,4
42,Madison Bumgarner,ARI,23.0,-1.5,3.2, ,0.1,2.4, ,-1.5,0.0, , ,1,4
43,Gerrit Cole,NYY,24.0,-1.9,3.1, , ,0.9,-0.7,0.3, , , ,1,4
44,Walker Buehler,LAD,24.2,-2.0,0.8, ,-0.8,1.5,0.8,2.2, , , ,1,4
45,Zach Plesac,CLE,21.1,-2.2, , ,-1.1,1.0,0.7,-0.2, , , ,1,4
46,Tarik Skubal,DET,20.2,-2.3, , ,0.7,0.6,2.1,0.3, , , ,1,4
47,Jesus Luzardo,MIA,20.1,-2.4, , ,0.7,0.3,3.2, , , , ,1,4
48,German Marquez,COL,21.0,-4.1, , ,1.0,0.4,0.7,-1.7, , , ,1,4
49,Jose Berrios,TOR,24.0,-4.3, , ,0.7,-1.1,0.2, , , , ,1,4
50,Shane McClanahan,TBR,27.0,-4.4, , , ,4.1,1.5,2.4, , , ,1,4
51,Elieser Hernandez,MIA,20.1,-5.8, , , ,-0.2,1.4, , , , ,1,4
52,Joan Adon,WSN,23.1,-5.8, , ,0.1,0.1, ,-1.8, , , ,1,4
53,Sean Manaea,SDP,30.0, , , ,3.6,1.5,0.9, , , , ,1,4
54,Corbin Burnes,MIL,25.2, ,5.2, ,-0.9,-0.1,-1.0,3.5, , , ,1,4
55,Dane Dunning,TEX,26.0, ,-0.1, ,0.5,-0.4,-0.7, , , , ,1,4
