#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,MonthSeason,MonthYear
1,Nick Pivetta,BOS,38.1,6.9, ,-1.8, , ,2.7,0.4, , , ,2,5
2,Triston McKenzie,CLE,34.0,4.7, , , , ,1.7,0.9, , , ,2,5
3,Zack Wheeler,PHI,32.2,4.2, ,-0.1,0.5,0.0,1.8,0.6, , , ,2,5
4,Ian Anderson,ATL,28.1,4.1, , , ,-4.9, ,-0.2, , , ,2,5
5,Nestor Cortes,NYY,32.1,4.0,2.8, , ,1.0,1.2, , , , ,2,5
6,Shane McClanahan,TBR,31.1,3.9, , , ,2.8,-0.4,2.8, , , ,2,5
7,Gerrit Cole,NYY,33.2,3.7,2.2, , ,-1.2,4.3,-1.8, , , ,2,5
8,Luis Severino,NYY,29.0,3.6,-1.4, , ,-2.3,2.0, , , , ,2,5
9,Carlos Carrasco,NYM,30.0,3.3, , ,-0.9,0.5,-0.9,-0.9, , , ,2,5
10,Jose Quintana,PIT,27.0,3.1,-0.1, ,1.6,-2.1, ,2.2, , , ,2,5
11,Tarik Skubal,DET,31.0,3.1, , ,0.7,1.1,6.5,-3.5, , , ,2,5
12,Paul Blackburn,OAK,34.1,3.0,0.4, ,0.5,-3.7,-1.8,3.6, , , ,2,5
13,Kevin Gausman,TOR,36.1,3.0, ,1.4, , ,0.0, , , , ,2,5
14,Yusei Kikuchi,TOR,26.2,2.8,0.1, , ,2.2,0.9, , , , ,2,5
15,Dylan Cease,CHW,31.2,2.7, ,-1.7, , ,4.9,-6.1, , , ,2,5
16,Jameson Taillon,NYY,31.1,2.6,-0.2, ,-0.4,2.6,0.8,0.6, , , ,2,5
17,Michael Lorenzen,LAA,32.2,2.5,-0.9, ,4.1,-0.6,1.3, , , , ,2,5
18,Charlie Morton,ATL,31.1,2.4, , ,-0.1,0.4,0.8,-3.4, , , ,2,5
19,Aaron Nola,PHI,33.0,2.1,-1.5, ,3.0,-0.5, ,1.6, , , ,2,5
20,Frankie Montas,OAK,35.0,1.8, ,-0.5,3.8, ,2.0, , , , ,2,5
21,Julio Urias,LAD,35.0,1.6, , , ,-2.6, ,-1.3, , , ,2,5
22,Martin Perez,TEX,42.1,1.4,5.6, ,3.2,5.7, ,-1.9, , , ,2,5
23,Framber Valdez,HOU,43.0,1.3, , ,-1.2,3.0,1.0,5.7, , , ,2,5
24,Logan Gilbert,SEA,36.2,1.3, , , ,1.0,0.4,0.5, , , ,2,5
25,Jordan Lyles,BAL,37.0,1.1, , ,0.2,0.9,-1.6,1.2, , , ,2,5
26,Miles Mikolas,STL,31.0,1.1, , ,0.4,-1.6,1.1,-0.8,0.0, , ,2,5
27,Drew Rasmussen,TBR,28.2,1.0,2.6, , , ,-1.5,0.0, , , ,2,5
28,Justin Verlander,HOU,31.2,0.8, , , ,0.4,0.7,3.0, , , ,2,5
29,Pablo Lopez,MIA,35.2,0.6,-0.8, ,-1.7,3.7, ,-0.1, , , ,2,5
30,Ranger Suarez,PHI,29.2,0.6, , ,3.2,-3.7,-2.5,-0.7, , , ,2,5
