#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,MonthSeason,MonthYear
1,Logan Gilbert,SEA,36.0,6.8, , ,-1.0,0.1,3.5,-2.0, , , ,6,9
2,Triston McKenzie,CLE,38.2,6.5, , , , ,-0.4,2.3, , , ,6,9
3,Lance Lynn,CHW,37.1,6.3,1.1, ,-1.4,0.2,-3.7,0.3, , , ,6,9
4,Zac Gallen,ARI,38.1,6.1,-0.5, , ,1.5, ,2.5, , , ,6,9
5,Jose Quintana,STL,33.1,5.6, , ,2.8,0.1, ,4.6, , , ,6,9
6,Blake Snell,SDP,35.0,5.0, , , ,-0.5,4.2,-0.5, , , ,6,9
7,Jesus Luzardo,MIA,35.0,4.7, , ,1.0,-0.7,-0.8, , , , ,6,9
8,Brandon Woodruff,MIL,44.2,4.4, , ,0.7,1.7,2.5,-1.4, , , ,6,9
9,Marco Gonzales,SEA,36.1,3.7,-2.8, ,-2.7,-0.8, ,1.1, , , ,6,9
10,Clayton Kershaw,LAD,41.0,3.7, , , , ,5.2,3.0, , , ,6,9
11,Yu Darvish,SDP,39.0,3.4,-0.1,-0.6,1.0,0.3,3.2,1.4,0.1, , ,6,9
12,Luis Castillo,SEA,33.2,3.3,-0.2, ,1.3,-4.0,3.2, , , , ,6,9
13,Nick Lodolo,CIN,36.1,3.3, , ,-1.7,0.1, ,3.2, , , ,6,9
14,Alek Manoah,TOR,41.0,3.0, , ,5.7,-0.1,2.5, , , , ,6,9
15,Hayden Wesneski,CHC,33.0,2.8,0.3, ,0.6,-0.5,1.8, , , , ,6,9
16,Pablo Lopez,MIA,34.0,2.5,0.5, ,0.8,-3.0, ,0.7, , , ,6,9
17,Cal Quantrill,CLE,37.1,2.4,2.0, ,-4.3,1.3, ,-0.3, , , ,6,9
18,Kyle Freeland,COL,32.2,2.4,1.1, ,-4.5,-1.6,0.4, , , , ,6,9
19,Kevin Gausman,TOR,34.1,2.3, ,-2.4, , ,-0.2, , , , ,6,9
20,Dylan Cease,CHW,37.0,1.8, ,-0.1, , ,6.1,-0.1, , , ,6,9
21,Adrian Sampson,CHC,38.2,1.7, , ,5.7,1.2,1.2, , , , ,6,9
22,Aaron Nola,PHI,34.1,1.7,3.4, ,2.3,1.2, ,0.1, , , ,6,9
23,Merrill Kelly,ARI,42.2,1.3,-0.6, ,-2.3,-2.6,0.2,0.0, , , ,6,9
24,Johnny Cueto,CHW,34.2,1.0,-3.0, ,2.5,-2.9,0.7,-1.1, , , ,6,9
25,Joe Musgrove,SDP,31.2,0.6,1.3, ,-0.6,1.1,-0.6,-2.9, , , ,6,9
26,Jose Urena,COL,33.1,0.6, , ,0.9,-0.9,0.5, , , , ,6,9
27,Luis Cessa,CIN,37.0,0.5, , ,2.3,1.6,-2.0, , , , ,6,9
28,Shane Bieber,CLE,48.0,0.4,3.0, , ,-1.3,2.6,2.8, , , ,6,9
29,Jeffrey Springs,TBR,34.1,0.3, , , ,8.5,-1.9, , , , ,6,9
30,Dean Kremer,BAL,42.0,0.2,4.8, ,-2.1,-0.7, ,-0.9, , , ,6,9
