#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
1,Jacob deGrom,NYM,46.7%,99.4,44.2%,93.1, , ,3.5%,83.5,5.6%,92.8, , , , , ,5,8
2,Sandy Alcantara,MIA,51.8%,98.1,23.2%,90.5, , ,0.2%,88.0,24.8%,92.0, , , , , ,5,8
3,Gerrit Cole,NYY,60.1%,97.6,20.2%,89.0,0.5%,91.0,11.9%,82.9,7.3%,89.2, , , , , ,5,8
4,Luis Castillo,SEA,61.1%,97.3,18.5%,86.6, , , , ,20.4%,88.6, , , , , ,5,8
5,Dylan Cease,CHW,40.5%,97.1,43.9%,87.7, , ,14.8%,81.4,0.8%,79.5, , , , , ,5,8
6,Corbin Burnes,MIL,6.0%,96.4,4.5%,89.2,57.3%,95.5,20.2%,81.1,12.0%,90.2, , , , , ,5,8
7,Brandon Woodruff,MIL,61.1%,96.4,6.1%,88.1, , ,20.2%,84.5,12.6%,86.6, , , , , ,5,8
8,German Marquez,COL,57.1%,96.2,16.4%,89.3, , ,25.3%,87.2,1.2%,86.5, , , , , ,5,8
9,Jose Urena,COL,58.6%,95.9,25.3%,87.1, , , , ,16.1%,90.6, , , , , ,5,8
10,Blake Snell,SDP,57.6%,95.9,23.4%,88.2, , ,16.3%,81.1,2.7%,87.3, , , , , ,5,8
11,Edward Cabrera,MIA,33.7%,95.7,16.2%,87.0, , ,19.0%,83.5,31.1%,92.3, , , , , ,5,8
12,Drew Rasmussen,TBR,46.0%,95.6,17.7%,85.2,28.7%,89.0,7.6%,79.9, , , , , , ,0.2%,5,8
13,George Kirby,SEA,62.5%,95.4,16.2%,85.5, , ,14.5%,82.0,6.9%,86.9, , , , , ,5,8
14,Jesus Luzardo,MIA,43.9%,95.3,26.4%,82.9, , , , ,29.7%,86.7, , , , , ,5,8
15,Justin Verlander,HOU,53.2%,95.2,23.1%,87.7, , ,21.5%,79.5,2.3%,86.8, , , , , ,5,8
16,Yu Darvish,SDP,35.2%,95.1,15.0%,83.0,33.6%,87.1,7.0%,76.0,0.4%,87.0,8.8%,89.5, , , ,5,8
17,Alex Cobb,SFG,43.4%,95.1, , , , ,14.0%,84.5,42.6%,89.6, , , , , ,5,8
18,Kyle Bradish,BAL,47.7%,94.9,31.1%,87.4, , ,14.3%,83.9,6.9%,90.5, , , , , ,5,8
19,Carlos Rodon,SFG,57.0%,94.8,32.6%,85.1, , ,7.0%,79.8,3.4%,84.4, , , , , ,5,8
20,Charlie Morton,ATL,42.4%,94.6, , ,9.7%,88.8,42.1%,81.5,5.8%,87.0, , , , , ,5,8
21,Kevin Gausman,TOR,49.2%,94.6,10.8%,84.4, , , , ,1.4%,85.1,38.6%,85.0, , , ,5,8
22,James Kaprielian,OAK,58.7%,94.4,15.7%,83.5, , ,16.6%,79.8,9.1%,85.6, , , , , ,5,8
23,Kyle Wright,ATL,41.0%,94.4,11.5%,90.7, , ,36.5%,85.3,11.0%,88.2, , , , , ,5,8
24,Daniel Lynch,KCR,48.3%,94.3,30.6%,86.3, , ,6.3%,80.9,14.8%,85.2, , , , , ,5,8
25,Cal Quantrill,CLE,49.4%,94.1,32.6%,88.9, , ,7.1%,83.3,10.9%,85.7, , , , , ,5,8
26,Ryan Feltner,COL,54.4%,94.0,25.3%,84.2, , ,11.8%,77.6,8.5%,84.0, , , , , ,5,8
27,Cristian Javier,HOU,58.5%,94.0,31.7%,80.2, , ,7.1%,76.9,2.6%,84.1, , , , , ,5,8
28,Zac Gallen,ARI,43.0%,94.0,9.4%,89.1,13.3%,90.5,23.1%,81.8,11.3%,84.8, , , , , ,5,8
29,Nick Lodolo,CIN,58.9%,94.0,32.4%,80.9, , , , ,8.7%,88.1, , , , , ,5,8
30,Max Scherzer,NYM,45.5%,94.0,26.2%,84.7,8.6%,89.3,8.6%,74.2,11.1%,84.2, , , , , ,5,8
