#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
1,Shohei Ohtani,LAA,22.0%,98.3,44.6%,85.7,12.2%,90.9,8.4%,79.3, , ,12.9%,90.3, , , ,4,7
2,Gerrit Cole,NYY,52.1%,98.1,25.0%,89.1,2.5%,92.0,10.2%,82.7,10.2%,90.0, , , , , ,4,7
3,Spencer Strider,ATL,68.3%,98.1,25.5%,86.6, , , , ,6.3%,89.2, , , , ,0.2%,4,7
4,Sandy Alcantara,MIA,52.3%,98.0,17.2%,89.8, , ,0.4%,86.0,30.1%,91.9, , , , , ,4,7
5,Luis Castillo,CIN,58.3%,97.3,18.9%,87.1, , , , ,22.8%,88.7, , , , , ,4,7
6,Dylan Cease,CHW,34.2%,97.1,52.9%,87.8, , ,11.1%,82.2,1.8%,79.8, , , , , ,4,7
7,Jon Gray,TEX,43.4%,96.8,42.2%,85.4, , ,4.1%,77.8,10.2%,89.0, , , , , ,4,7
8,Shane McClanahan,TBR,31.0%,96.3,13.7%,89.1, , ,23.9%,81.4, , ,31.3%,87.5, , , ,4,7
9,Corbin Burnes,MIL,7.4%,96.3,7.8%,89.5,53.5%,95.2,18.9%,81.9,12.4%,90.4, , , , , ,4,7
10,Logan Gilbert,SEA,50.2%,96.2,24.6%,86.8, , ,18.0%,81.2,7.2%,86.3, , , , , ,4,7
11,Brandon Woodruff,MIL,62.3%,96.1,8.4%,87.8, , ,10.4%,83.7,18.8%,86.0, , , , , ,4,7
12,Jose Urena,COL,65.2%,96.0,18.7%,87.7, , , , ,16.2%,90.6, , , , , ,4,7
13,Blake Snell,SDP,55.3%,95.8,20.5%,89.4, , ,20.3%,82.3,3.9%,86.8, , , , , ,4,7
14,Aaron Ashby,MIL,37.0%,95.8,29.2%,83.7, , ,13.7%,79.6,20.0%,89.9, , , , , ,4,7
15,Zack Wheeler,PHI,60.5%,95.7,14.2%,89.2,11.6%,91.1,12.6%,81.1, , ,1.0%,90.2, , , ,4,7
16,German Marquez,COL,59.1%,95.6,11.3%,88.6, , ,27.2%,86.7,2.5%,87.8, , , , , ,4,7
17,Carlos Rodon,SFG,62.0%,95.6,29.4%,85.6, , ,5.5%,80.7,3.2%,85.0, , , , , ,4,7
18,Kyle Wright,ATL,41.1%,95.1,5.4%,90.3, , ,40.6%,84.8,12.9%,88.3, , , , , ,4,7
19,Josiah Gray,WSN,41.9%,95.0,27.7%,86.4, , ,28.3%,83.0,2.1%,88.5, , , , ,0.2%,4,7
20,Alex Cobb,SFG,44.0%,95.0, , , , ,10.6%,84.3,45.4%,89.9, , , , , ,4,7
21,Andre Pallante,STL,57.0%,95.0,25.6%,87.2, , ,17.1%,77.4,0.2%,83.0, , , , , ,4,7
22,Charlie Morton,ATL,38.4%,95.0, , ,14.3%,89.1,38.4%,81.1,8.9%,87.0, , , , , ,4,7
23,Yu Darvish,SDP,30.9%,95.0,16.3%,83.0,36.9%,86.7,8.6%,76.1,1.0%,88.8,6.3%,89.7, , , ,4,7
24,Brad Keller,KCR,58.0%,94.5,38.5%,86.2, , , , ,3.5%,90.6, , , , ,0.9%,4,7
25,Kutter Crawford,BOS,31.9%,94.5,7.6%,85.4,32.7%,89.4,21.4%,79.9,6.4%,88.0, , , , , ,4,7
26,Mitch Keller,PIT,53.9%,94.4,27.0%,82.4, , ,12.8%,77.7,6.3%,90.5, , , , , ,4,7
27,Max Scherzer,NYM,46.4%,94.4,27.9%,85.2,6.4%,89.5,8.4%,74.6,10.9%,84.5, , , , , ,4,7
28,Robbie Ray,SEA,64.1%,94.2,33.7%,87.4, , ,1.3%,79.0,0.9%,87.0, , , , , ,4,7
29,Brady Singer,KCR,55.2%,94.1,36.8%,85.9, , , , ,8.1%,87.1, , , , , ,4,7
30,Zac Gallen,ARI,51.4%,94.0,6.4%,89.5,6.4%,90.0,19.9%,80.8,15.8%,85.4, , , , ,0.2%,4,7
