#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
61,Aaron Nola,PHI,54.0%,92.8, , ,5.4%,87.1,26.2%,78.7,14.5%,85.9, , , , ,0.3%,3,6
62,Zach Plesac,CLE,43.4%,92.5,25.9%,85.6, , ,9.9%,79.9,20.8%,86.5, , , , , ,3,6
63,Logan Webb,SFG,31.4%,92.4,40.0%,82.4, , , , ,28.6%,86.8, , , , , ,3,6
64,Triston McKenzie,CLE,58.6%,92.4,21.8%,87.3, , ,19.6%,80.0, , , , , , , ,3,6
65,Chad Kuhl,COL,44.4%,92.3,36.1%,86.6, , ,10.6%,78.4,8.9%,87.3, , , , ,1.0%,3,6
66,Pablo Lopez,MIA,45.9%,92.3, , ,14.2%,88.0,2.8%,79.8,37.1%,87.1, , , , , ,3,6
67,Alex Wood,SFG,41.9%,92.1,34.9%,84.4, , , , ,23.2%,85.2, , , , , ,3,6
68,Dakota Hudson,STL,50.7%,92.0,32.1%,89.4, , ,12.9%,80.6,4.3%,86.7, , , , , ,3,6
69,Justin Steele,CHC,71.7%,92.0,23.8%,81.9, , ,1.3%,79.5,3.1%,87.1, , , , , ,3,6
70,Paul Blackburn,OAK,45.7%,91.9,3.5%,79.4,20.4%,87.4,21.5%,78.8,8.8%,86.0, , , , ,0.9%,3,6
71,Ross Stripling,TOR,39.0%,91.7,26.9%,87.5, , ,9.0%,76.0,25.0%,82.2, , , , , ,3,6
72,Jordan Lyles,BAL,49.4%,91.6,24.5%,79.7, , ,12.3%,78.6,13.8%,86.2, , , , , ,3,6
73,Jeffrey Springs,TBR,40.1%,91.5,30.1%,85.5, , , , ,29.8%,80.8, , , , , ,3,6
74,Chris Flexen,SEA,40.8%,91.5,9.0%,81.5,32.9%,87.3,2.4%,73.4,14.9%,80.8, , , , , ,3,6
75,Madison Bumgarner,ARI,35.3%,91.4,35.3%,87.6, , ,17.1%,78.4,12.3%,85.2, , , , , ,3,6
76,Jose Quintana,PIT,50.9%,91.4,7.8%,78.8, , ,20.4%,78.7,21.0%,86.8, , , , , ,3,6
77,Johnny Cueto,CHW,37.4%,91.1,19.8%,83.9,16.0%,86.6,0.6%,80.0,26.2%,82.4, , , , , ,3,6
78,Shane Bieber,CLE,34.0%,91.1,32.0%,84.5,11.8%,86.4,18.5%,81.7,3.6%,86.6, , , , , ,3,6
79,Sean Manaea,SDP,64.7%,91.0,13.1%,82.6, , , , ,22.2%,83.5, , , , , ,3,6
80,Tyler Anderson,LAD,45.9%,90.8, , ,17.1%,85.9,3.0%,72.6,34.0%,79.2, , , , , ,3,6
81,Kyle Freeland,COL,48.8%,90.3,22.2%,86.3, , ,14.2%,81.4,14.8%,85.1, , , , , ,3,6
82,Cole Irvin,OAK,57.5%,90.1,5.2%,78.6,1.3%,87.1,12.5%,76.0,23.5%,82.5, , , , ,0.8%,3,6
83,Zach Davies,ARI,49.7%,89.4,1.9%,76.0,6.0%,87.2,5.8%,74.1,36.7%,79.4, , , , , ,3,6
84,Adam Wainwright,STL,35.9%,88.9, , ,30.5%,84.8,28.3%,72.6,5.2%,83.0, , , , , ,3,6
85,Corey Kluber,TBR,29.7%,88.7, , ,34.0%,86.4,25.2%,80.9,11.1%,82.9, , , , , ,3,6
86,Dane Dunning,TEX,39.3%,88.7,29.5%,77.7,8.7%,85.6, , ,22.5%,83.4, , , , , ,3,6
87,Rich Hill,BOS,35.1%,88.5,7.3%,69.1,16.4%,84.4,40.0%,71.9, , ,1.2%,81.2, , , ,3,6
88,Marco Gonzales,SEA,38.3%,87.8, , ,15.6%,86.0,14.6%,76.0,31.6%,79.3, , , , ,0.8%,3,6
89,Kyle Hendricks,CHC,53.6%,86.4, , , , ,13.0%,71.9,33.4%,79.9, , , , , ,3,6
