#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
31,Alek Manoah,TOR,58.4%,93.7,30.7%,81.1, , , , ,10.9%,86.2, , , , , ,2,2022-05-01
32,Carlos Carrasco,NYM,51.4%,93.6,20.6%,86.1, , ,4.7%,81.7,23.4%,87.9, , , , , ,2,2022-05-01
33,Tyler Wells,BAL,38.5%,93.5,11.7%,79.7,23.9%,86.9,5.8%,76.0,20.1%,86.9, , , , , ,2,2022-05-01
34,Brad Keller,KCR,53.3%,93.3,41.5%,86.5, , , , ,5.2%,89.2, , , , , ,2,2022-05-01
35,Lucas Giolito,CHW,47.7%,93.2,24.2%,84.7, , ,4.1%,79.6,24.0%,81.5, , , , , ,2,2022-05-01
36,Miles Mikolas,STL,48.1%,93.2,28.1%,87.7, , ,18.5%,75.7,5.3%,83.5, , , , , ,2,2022-05-01
37,Patrick Sandoval,LAA,38.1%,93.1,29.2%,86.4, , ,9.1%,80.6,23.6%,84.6, , , , , ,2,2022-05-01
38,Cal Quantrill,CLE,50.7%,93.1,38.7%,87.9, , ,0.6%,81.7,9.9%,84.9, , , , , ,2,2022-05-01
39,JT Brubaker,PIT,52.2%,93.1,35.3%,87.1, , ,8.3%,80.1,4.2%,87.0, , , , , ,2,2022-05-01
40,Ranger Suarez,PHI,68.3%,93.0,7.7%,82.7, , ,2.6%,77.4,21.4%,85.5, , , , , ,2,2022-05-01
41,Chris Bassitt,NYM,47.0%,92.9,15.7%,78.3,19.1%,88.8,9.8%,71.7,8.4%,86.4, , , , , ,2,2022-05-01
42,Julio Urias,LAD,41.7%,92.9, , , , ,37.5%,81.1,20.8%,85.8, , , , , ,2,2022-05-01
43,Nick Pivetta,BOS,49.9%,92.8,16.9%,85.9, , ,29.3%,76.5,3.8%,86.1, , , , , ,2,2022-05-01
44,Pablo Lopez,MIA,40.7%,92.8, , ,17.3%,88.9,3.9%,79.5,38.0%,87.2, , , , , ,2,2022-05-01
45,Jordan Montgomery,NYY,47.4%,92.6, , ,6.1%,88.4,19.0%,80.0,27.5%,82.0, , , , , ,2,2022-05-01
46,Joe Musgrove,SDP,27.5%,92.6,30.3%,82.9,17.4%,89.7,20.2%,81.7,4.6%,86.2, , , , , ,2,2022-05-01
47,Martin Perez,TEX,46.4%,92.6, , ,25.1%,89.5,3.3%,78.6,25.3%,84.3, , , , , ,2,2022-05-01
48,Aaron Nola,PHI,55.5%,92.4, , ,3.1%,87.3,28.0%,78.6,13.4%,85.7, , , , , ,2,2022-05-01
49,Erick Fedde,WSN,35.4%,92.4,27.5%,77.9,36.0%,88.6, , ,1.2%,86.5, , , , , ,2,2022-05-01
50,Triston McKenzie,CLE,56.9%,92.3,19.7%,87.6, , ,23.4%,79.3, , , , , , , ,2,2022-05-01
51,Logan Webb,SFG,37.6%,92.1,32.5%,82.1, , , , ,29.9%,86.4, , , , , ,2,2022-05-01
52,Patrick Corbin,WSN,57.4%,92.0,31.6%,81.8, , , , ,10.9%,81.5, , , , ,0.8%,2,2022-05-01
53,Zach Plesac,CLE,45.9%,91.9,24.0%,85.1, , ,8.8%,79.4,21.3%,85.4, , , , , ,2,2022-05-01
54,Paul Blackburn,OAK,47.0%,91.7,5.2%,78.9,18.1%,87.0,17.3%,78.7,12.5%,85.6, , , , ,0.4%,2,2022-05-01
55,Jordan Lyles,BAL,47.0%,91.4,25.9%,80.1, , ,11.5%,79.1,15.6%,86.4, , , , , ,2,2022-05-01
56,Jakob Junis,SFG,31.1%,91.3,54.8%,82.3, , , , ,14.1%,83.4, , , , , ,2,2022-05-01
57,Nestor Cortes,NYY,40.5%,91.1,15.4%,77.4,40.3%,86.4, , ,3.8%,81.4, , , , , ,2,2022-05-01
58,Jose Quintana,PIT,52.6%,90.9,10.0%,78.7, , ,14.1%,78.5,23.4%,86.5, , , , ,0.9%,2,2022-05-01
59,Humberto Castellanos,ARI,41.6%,90.7,18.9%,76.6,28.1%,86.3, , ,11.3%,84.4, , , , , ,2,2022-05-01
60,Bruce Zimmermann,BAL,40.7%,90.7,20.2%,84.9, , ,10.4%,80.8,28.7%,84.9, , , , , ,2,2022-05-01
