#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,Year,YearDate
1,Emmanuel Clase,CLE,70.1%,100.3,29.9%,91.9, , , , , , , , , , ,0.6%,2021.0,2021-01-01
2,Brusdar Graterol,LAD,61.2%,100.0,31.4%,88.3,7.5%,95.4, , , , , , , , ,4.4%,2021.0,2021-01-01
3,Andres Munoz,SEA,70.6%,99.8,29.4%,82.2, , , , , , , , , , , ,2021.0,2021-01-01
4,Jose Alvarado,PHI,80.6%,99.4,16.1%,94.1, , ,3.3%,87.1, , , , , , ,1.5%,2021.0,2021-01-01
5,Anthony Gose,CLE,73.0%,99.4,27.0%,84.7, , , , , , , , , , , ,2021.0,2021-01-01
6,Jordan Hicks,STL,69.6%,99.3,26.1%,87.1, , , , , , ,4.3%,90.2, , , ,2021.0,2021-01-01
7,Jacob deGrom,NYM,57.4%,99.3,33.4%,91.6, , ,0.3%,83.5,8.9%,91.4, , , , , ,2021.0,2021-01-01
8,Julian Fernandez,COL,84.6%,99.0, , , , , , ,15.4%,89.3, , , , , ,2021.0,2021-01-01
9,Edwin Diaz,NYM,62.2%,98.8,37.8%,90.7, , , , , , , , , , ,0.4%,2021.0,2021-01-01
10,Camilo Doval,SFG,41.6%,98.7,58.4%,86.5, , , , , , , , , , ,0.9%,2021.0,2021-01-01
11,Nicklaus Snyder,TEX,78.0%,98.7,22.0%,85.5, , , , , , , , , , , ,2021.0,2021-01-01
12,Aroldis Chapman,NYY,62.3%,98.5,26.7%,85.1, , , , , , ,11.1%,88.5, , ,0.8%,2021.0,2021-01-01
13,Javy Guerra,SDP,89.4%,98.4,10.6%,89.3, , , , , , , , , , , ,2021.0,2021-01-01
14,Jonathan Loaisiga,NYY,58.8%,98.4, , , , ,22.8%,87.1,18.4%,90.0, , , , , ,2021.0,2021-01-01
15,Luis Garcia,STL,59.5%,98.3,28.7%,86.1, , , , , , ,11.8%,88.7, , ,0.8%,2021.0,2021-01-01
16,Gregory Soto,DET,62.4%,98.3,37.6%,88.4, , , , , , , , , , ,0.7%,2021.0,2021-01-01
17,Dylan Coleman,KCR,60.6%,98.3,39.4%,84.7, , , , , , , , , , , ,2021.0,2021-01-01
18,Miguel Castro,NYM,42.1%,98.1,35.3%,85.7, , , , ,22.6%,92.3, , , , , ,2021.0,2021-01-01
19,Sam Coonrod,PHI,73.0%,98.0,14.6%,89.5,4.2%,92.9, , ,8.1%,90.4, , , , ,0.6%,2021.0,2021-01-01
20,Dustin May,LAD,58.7%,98.0, , ,18.5%,93.1,22.8%,86.6, , , , , , , ,2021.0,2021-01-01
21,Albert Abreu,NYY,49.1%,98.0,34.9%,87.3, , ,0.2%,81.0,15.9%,88.2, , , , ,0.6%,2021.0,2021-01-01
22,Spencer Strider,ATL,78.9%,97.9,21.1%,85.5, , , , , , , , , , , ,2021.0,2021-01-01
23,Nate Pearson,TOR,62.8%,97.9,34.6%,87.1, , ,1.7%,74.4,1.0%,83.3, , , , ,1.3%,2021.0,2021-01-01
24,Sandy Alcantara,MIA,50.0%,97.9,24.0%,90.5, , ,2.7%,84.0,23.3%,91.9, , , , ,0.1%,2021.0,2021-01-01
25,Junior Fernandez,STL,47.6%,97.7,20.7%,88.6, , , , ,31.7%,89.6, , , , ,1.1%,2021.0,2021-01-01
26,Gerrit Cole,NYY,48.0%,97.7,22.2%,88.4, , ,15.7%,83.5,14.2%,89.9, , , , , ,2021.0,2021-01-01
27,Liam Hendriks,CHW,69.0%,97.7,21.7%,89.0, , ,9.3%,85.8, , , , , , ,0.5%,2021.0,2021-01-01
28,Genesis Cabrera,STL,64.3%,97.7, , , , ,18.9%,81.0,16.8%,89.8, , , , ,0.7%,2021.0,2021-01-01
